PRCP       014401 19161201 20180131 missing_value=99999.9 WARRUWI                                   
19761201 19761231    39.0
19770101 19770131   144.7
19770201 19770228    83.8
19770301 19770331   212.3
19770401 19770430    81.6
19770501 19770531    41.2
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    89.9
19771201 19771231   146.1
19780101 19780131   261.0
19780201 19780228   198.8
19780301 19780331   139.6
19780401 19780430    92.4
19780501 19780531     2.3
19780601 19780630     4.0
19780701 19780731     0.8
19780801 19780831     0.1
19780901 19780930     0.0
19781001 19781031     2.6
19781101 19781130    70.4
19781201 19781231   259.1
19790101 19790131   274.6
19790201 19790228    61.3
19790301 19790331   153.6
19790401 19790430    33.0
19790501 19790531     8.6
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031    24.8
19791101 19791130     4.6
19791201 19791231    48.5
19800101 19800131   583.2
19800201 19800229   368.3
19800301 19800331   245.7
19800401 19800430   105.0
19800501 19800531     5.0
19800601 19800630     0.2
19800701 19800731     5.5
19800801 19800831     0.3
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130    15.9
19801201 19801231   145.7
19810101 19810131   398.6
19810201 19810228   170.2
19810301 19810331   530.2
19810401 19810430     2.0
19810501 19810531     5.0
19810601 19810630     4.0
19810701 19810731     5.0
19810801 19810831     0.0
19810901 19810930     7.2
19811001 19811031    27.0
19811101 19811130   114.2
19811201 19811231   324.8
19820101 19820131   338.4
19820201 19820228   396.2
19820301 19820331   228.8
19820401 19820430    33.6
19820501 19820531    28.4
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     5.6
19820901 19820930     0.5
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231   122.8
19830101 19830131    58.2
19830201 19830228   179.5
19830301 19830331   199.5
19830401 19830430   240.8
19830501 19830531    77.6
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031    57.8
19831101 19831130    64.3
19831201 19831231    47.9
19840101 19840131   275.6
19840201 19840229   467.5
19840301 19840331   510.3
19840401 19840430    68.3
19840501 19840531    14.2
19840601 19840630     4.4
19840701 19840731     2.8
19840801 19840831     0.0
19840901 19840930     7.8
19841001 19841031    18.4
19841101 19841130     9.6
19841201 19841231   352.8
19850101 19850131   192.4
19850201 19850228   411.6
19850301 19850331   236.8
19850401 19850430   652.4
19850501 19850531     1.6
19850601 19850630     3.4
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     3.4
19851001 19851031     0.0
19851101 19851130    63.2
19851201 19851231   171.0
19860101 19860131   329.4
19860201 19860228   168.4
19860301 19860331   194.8
19860401 19860430   126.0
19860501 19860531     0.8
19860601 19860630     0.4
19860701 19860731    43.8
19860801 19860831     0.0
19860901 19860930     0.0
19861001 19861031    37.6
19861101 19861130    28.4
19861201 19861231    41.4
19870101 19870131   278.0
19870201 19870228   464.8
