PRCP       044168 19040101 20151231 missing_value=99999.9 BAYRICK                                   
19460201 19460228    26.7
19460301 19460331     5.8
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     4.8
19461001 19461031     0.0
19461101 19461130     6.9
19461201 19461231    33.0
19470101 19470131    39.1
19470201 19470228   187.9
19470301 19470331    51.3
19470401 19470430     0.0
19470501 19470531    30.5
19470601 19470630    15.2
19470701 19470731     0.0
19470801 19470831    50.1
19470901 19470930    69.9
19471001 19471031    55.8
19471101 19471130    25.5
19471201 19471231   112.7
19480101 19480131    16.2
19480201 19480229    55.9
19480301 19480331   148.6
19480401 19480430     7.6
19480501 19480531     2.5
19480601 19480630    15.3
19480701 19480731    34.8
19480801 19480831     0.0
19480901 19480930    30.5
19481001 19481031     0.0
19481101 19481130    13.9
19481201 19481231    25.5
19490101 19490131    19.7
19490201 19490228    97.7
19490301 19490331   229.4
19490401 19490430    15.3
19490501 19490531    43.2
19490601 19490630     9.1
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    33.1
19491001 19491031   137.3
19491101 19491130    66.4
19491201 19491231    18.5
19500101 19500131   179.8
19500201 19500228    77.5
19500301 19500331    80.1
19500401 19500430    65.6
19500501 19500531    39.5
19500601 19500630    51.9
19500701 19500731   207.1
19500801 19500831     0.0
19500901 19500930    16.7
19501001 19501031   160.6
19501101 19501130   101.1
19501201 19501231    22.4
19510101 19510131    52.6
19510201 19510228     8.4
19510301 19510331    33.0
19510401 19510430     0.0
19510501 19510531     6.9
19510601 19510630    39.8
19510701 19510731     0.0
19510801 19510831     4.1
19510901 19510930     6.9
19511001 19511031    17.5
19511101 19511130     0.0
19511201 19511231    40.4
19520101 19520131    27.7
19520201 19520229    71.6
19520301 19520331    18.1
19520401 19520430    57.9
19520501 19520531    47.4
19520601 19520630     5.0
19520701 19520731    29.7
19520801 19520831    38.1
19520901 19520930     4.3
19521001 19521031    64.7
19521101 19521130    14.0
19521201 19521231    20.1
19530101 19530131    69.1
19530201 19530228    89.1
19530301 19530331     0.0
19530401 19530430    11.7
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    24.1
19530901 19530930     0.0
19531001 19531031    33.5
19531101 19531130    15.4
19531201 19531231     0.0
19540101 19540131   150.8
19540201 19540228   227.4
19540301 19540331     0.0
19540401 19540430    12.4
19540501 19540531     5.1
19540601 19540630    31.5
19540701 19540731    48.8
19540801 19540831    41.4
19540901 19540930    23.6
19541001 19541031   127.9
19541101 19541130    46.3
19541201 19541231    30.2
19550101 19550131    66.0
19550201 19550228   160.2
19550301 19550331   125.9
19550401 19550430    90.4
19550501 19550531    88.4
19550601 19550630     0.0
19550701 19550731    40.1
19550801 19550831    16.0
19550901 19550930     0.0
19551001 19551031    68.6
19551101 19551130    12.5
19551201 19551231    26.9
19560101 19560131   103.4
19560201 19560229   297.6
19560301 19560331   363.9
19560401 19560430    52.6
19560501 19560531    85.9
19560601 19560630    42.7
19560701 19560731    72.6
19560801 19560831     0.0
19560901 19560930    36.6
19561001 19561031    12.9
19561101 19561130    45.2
19561201 19561231    52.4
19570101 19570131     8.2
19570201 19570228    44.4
19570301 19570331    17.0
19570401 19570430    27.4
19570501 19570531     0.5
19570601 19570630    53.3
19570701 19570731    52.5
19570801 19570831    21.3
19570901 19570930     0.0
19571001 19571031    28.4
19571101 19571130    39.6
19571201 19571231    39.1
19580101 19580131    33.3
19580201 19580228    19.8
19580301 19580331     8.6
19580401 19580430    17.2
19580501 19580531     0.0
19580601 19580630    44.7
19580701 19580731     0.8
19580801 19580831    11.2
19580901 19580930     7.1
19581001 19581031    39.6
19581101 19581130    94.5
19581201 19581231   122.8
19590101 19590131    49.4
19590201 19590228    20.0
19590301 19590331    86.6
19590401 19590430    55.1
19590501 19590531    52.2
19590601 19590630     0.0
19590701 19590731     7.9
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031    23.4
19591101 19591130    33.8
19591201 19591231   132.3
19600101 19600131    56.3
19600201 19600229    56.1
19600301 19600331     4.8
19600401 19600430     7.9
19600501 19600531    39.8
19600601 19600630    18.8
19600701 19600731    26.2
19600801 19600831    20.3
19600901 19600930    16.5
19601001 19601031    10.3
19601101 19601130    59.9
19601201 19601231    68.3
19610101 19610131    26.4
19610201 19610228   272.6
19610301 19610331     0.0
19610401 19610430    49.4
19610501 19610531    19.6
19610601 19610630    10.4
19610701 19610731    27.2
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    44.0
19611101 19611130    76.0
19611201 19611231    24.9
19620101 19620131   194.5
19620201 19620228    46.8
19620301 19620331   121.6
19620401 19620430    23.9
19620501 19620531     0.0
19620601 19620630    29.7
19620701 19620731    36.3
19620801 19620831     0.0
19620901 19620930     5.3
19621001 19621031    64.0
19621101 19621130     0.0
19621201 19621231   113.9
19630101 19630131   136.9
19630201 19630228    44.1
19630301 19630331   187.2
19630401 19630430    53.3
19630501 19630531     9.1
19630601 19630630    35.5
19630701 19630731     0.0
19630801 19630831    17.1
19630901 19630930    11.5
19631001 19631031    14.0
19631101 19631130   124.0
19631201 19631231    31.2
19640101 19640131    24.4
19640201 19640229    57.4
19640301 19640331   175.4
19640401 19640430     0.0
19640501 19640531    26.2
19640601 19640630    12.2
19640701 19640731     0.0
19640801 19640831     8.6
19640901 19640930   109.5
19641001 19641031    23.3
19641101 19641130    76.5
19641201 19641231    28.3
19650101 19650131    31.2
19650201 19650228    21.1
19650301 19650331     9.9
19650401 19650430    13.7
19650501 19650531     8.1
19650601 19650630     0.0
19650701 19650731     5.3
19650801 19650831     3.0
19650901 19650930    15.7
19651001 19651031     0.0
19651101 19651130     0.0
19651201 19651231    93.8
19660101 19660131   185.7
19660201 19660228    54.1
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531     4.3
19660601 19660630    16.3
19660701 19660731     6.4
19660801 19660831   127.4
19660901 19660930    23.1
19661001 19661031     0.0
19661101 19661130    14.4
19661201 19661231     6.8
19670101 19670131    18.8
19670201 19670228    21.6
19670301 19670331    55.3
19670401 19670430     0.0
19670501 19670531     3.8
19670601 19670630    85.3
19670701 19670731     3.3
19670801 19670831     8.0
19670901 19670930     0.0
19671001 19671031    11.0
19671101 19671130     0.8
19671201 19671231   105.5
19680101 19680131    47.9
19680201 19680229   157.4
19680301 19680331    63.7
19680401 19680430    83.3
19680501 19680531    33.6
19680601 19680630     3.3
19680701 19680731    37.4
19680801 19680831     4.8
19680901 19680930     8.9
19681001 19681031     0.0
19681101 19681130     2.8
19681201 19681231    27.4
19690101 19690131    31.9
19690201 19690228    36.9
19690301 19690331    76.3
19690401 19690430     0.0
19690501 19690531    13.0
19690601 19690630     7.4
19690701 19690731     2.5
19690801 19690831     3.6
19690901 19690930     0.0
19691001 19691031    53.9
19691101 19691130     8.7
19691201 19691231   106.9
19700101 19700131    77.2
19700201 19700228    20.8
19700301 19700331    39.9
19700401 19700430    11.9
19700501 19700531     0.0
19700601 19700630     1.3
19700701 19700731     1.3
19700801 19700831     7.4
19700901 19700930    66.9
19701001 19701031    16.5
19701101 19701130    70.9
19701201 19701231    76.4
19710101 19710131    18.8
19710201 19710228    68.6
19710301 19710331    49.1
19710401 19710430    21.3
19710501 19710531     8.9
19710601 19710630     0.0
19710701 19710731    25.1
19710801 19710831    29.7
19710901 19710930    16.5
19711001 19711031    24.3
19711101 19711130    16.5
19711201 19711231   166.8
19720101 19720131    36.3
19720201 19720229     4.8
19720301 19720331    18.3
19720401 19720430     0.0
19720501 19720531    25.4
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     5.1
19720901 19720930     5.8
19721001 19721031     7.6
19721101 19721130   212.3
19721201 19721231    39.1
19730101 19730131    27.2
19730201 19730228   260.4
19730301 19730331     8.8
19730401 19730430    42.1
19730501 19730531    11.7
19730601 19730630     0.0
19730701 19730731    29.7
19730801 19730831    24.1
19730901 19730930   102.2
19731001 19731031    49.7
19731101 19731130   106.3
19731201 19731231    30.2
19740101 19740131   229.9
19740201 19740228    14.5
19740301 19740331    26.5
19740401 19740430    81.0
19740501 19740531    33.4
19740601 19740630     8.0
19740701 19740731     0.0
19740801 19740831    35.0
19740901 19740930    28.4
19741001 19741031    53.0
19741101 19741130    39.6
19741201 19741231    16.8
19750101 19750131    63.5
19750201 19750228    51.7
19750301 19750331   145.4
19750401 19750430     0.0
19750501 19750531     1.8
19750601 19750630    43.6
19750701 19750731    25.2
19750801 19750831    21.1
19750901 19750930     4.1
19751001 19751031    26.2
19751101 19751130     0.0
19751201 19751231   250.1
19760101 19760131   117.7
19760201 19760229   165.0
19760301 19760331    38.7
19760401 19760430     0.0
19760501 19760531    36.2
19760601 19760630    10.6
19760701 19760731    33.1
19760801 19760831     1.0
19760901 19760930    19.3
19761001 19761031    23.1
19761101 19761130    42.0
19761201 19761231    46.6
19770101 19770131    36.8
19770201 19770228   135.2
19770301 19770331   120.7
19770401 19770430    70.2
19770501 19770531   109.4
19770601 19770630     6.5
19770701 19770731     7.0
19770801 19770831     3.2
19770901 19770930     8.8
19771001 19771031    20.1
19771101 19771130    23.4
19771201 19771231    27.9
19780101 19780131    76.3
19780201 19780228    34.1
19780301 19780331    13.3
19780401 19780430     9.1
19780501 19780531    89.8
19780601 19780630    25.0
19780701 19780731   116.4
19780801 19780831    83.9
19780901 19780930    37.5
19781001 19781031    81.2
19781101 19781130    40.4
19781201 19781231    35.6
19790101 19790131    13.6
19790201 19790228   100.2
19790301 19790331    21.6
19790401 19790430    16.4
19790501 19790531    16.8
19790601 19790630    25.2
19790701 19790731     3.5
19790801 19790831     3.4
19790901 19790930    12.4
19791001 19791031    22.1
19791101 19791130    18.4
19791201 19791231    24.2
19800101 19800131    33.8
19800201 19800229    51.4
19800301 19800331    82.0
19800401 19800430     4.8
19800501 19800531    30.0
19800601 19800630     0.0
19800701 19800731    31.8
19800801 19800831    21.6
