PRCP       078078 18830101 20180131 missing_value=99999.9 KANIVA                                    
19330601 19330630    26.0
19330701 19330731    13.5
19330801 19330831    44.6
19330901 19330930    57.9
19331001 19331031    20.3
19331101 19331130    43.2
19331201 19331231    22.6
19340101 19340131    17.0
19340201 19340228    11.0
19340301 19340331     9.7
19340401 19340430    45.2
19340501 19340531     0.0
19340601 19340630     8.2
19340701 19340731    31.4
19340801 19340831    48.5
19340901 19340930    61.0
19341001 19341031   114.9
19341101 19341130    73.9
19341201 19341231     7.8
19350101 19350131    20.5
19350201 19350228     0.8
19350301 19350331    40.1
19350401 19350430    29.6
19350501 19350531    47.7
19350601 19350630    85.0
19350701 19350731    75.8
19350801 19350831    66.1
19350901 19350930    59.2
19351001 19351031    23.7
19351101 19351130    29.4
19351201 19351231    18.8
19360101 19360131    34.2
19360201 19360229     7.9
19360301 19360331     7.9
19360401 19360430     6.1
19360501 19360531    35.5
19360601 19360630    69.0
19360701 19360731   117.9
19360801 19360831    61.6
19360901 19360930    24.5
19361001 19361031    71.9
19361101 19361130     5.4
19361201 19361231   141.3
19370101 19370131    61.8
19370201 19370228    14.1
19370301 19370331    30.0
19370401 19370430     9.7
19370501 19370531    48.7
19370601 19370630    16.8
19370701 19370731    32.5
19370801 19370831    66.3
19370901 19370930    54.1
19371001 19371031    51.2
19371101 19371130    10.9
19371201 19371231    71.9
19380101 19380131     8.0
19380201 19380228    41.6
19380301 19380331     5.1
19380401 19380430    61.0
19380501 19380531     6.4
19380601 19380630    53.9
19380701 19380731    51.7
19380801 19380831    21.6
19380901 19380930    25.0
19381001 19381031     3.5
19381101 19381130    22.1
19381201 19381231     4.6
19390101 19390131    52.5
19390201 19390228    25.5
19390301 19390331     9.7
19390401 19390430    35.1
19390501 19390531    49.5
19390601 19390630    47.6
19390701 19390731    25.9
19390801 19390831   102.0
19390901 19390930    23.8
19391001 19391031    24.2
19391101 19391130    68.2
19391201 19391231    14.7
19400101 19400131    22.8
19400201 19400229     1.8
19400301 19400331    10.4
19400401 19400430    71.9
19400501 19400531    28.2
19400601 19400630    16.4
19400701 19400731    41.9
19400801 19400831    20.6
19400901 19400930    34.6
19401001 19401031    28.0
19401101 19401130    46.9
19401201 19401231    40.4
19410101 19410131   104.9
19410201 19410228     9.1
19410301 19410331    60.8
19410401 19410430    46.2
19410501 19410531    13.7
19410601 19410630    44.6
19410701 19410731    84.6
19410801 19410831    29.7
19410901 19410930    85.0
19411001 19411031    37.3
19411101 19411130    21.1
19411201 19411231     9.8
19420101 19420131    24.2
19420201 19420228    16.7
19420301 19420331    10.5
19420401 19420430    21.1
19420501 19420531    77.3
19420601 19420630    72.4
19420701 19420731    67.1
19420801 19420831    72.4
19420901 19420930    65.5
19421001 19421031    54.1
19421101 19421130    44.8
19421201 19421231    29.2
19430101 19430131    16.0
19430201 19430228    28.2
19430301 19430331     5.1
19430401 19430430    40.2
19430501 19430531    19.4
19430601 19430630    48.2
19430701 19430731    64.6
19430801 19430831    64.3
19430901 19430930    65.8
19431001 19431031    30.9
19431101 19431130    35.5
19431201 19431231    18.1
19440101 19440131    15.7
19440201 19440229    10.1
19440301 19440331     7.5
19440401 19440430    35.9
19440501 19440531    47.2
19440601 19440630     6.6
19440701 19440731    26.5
19440801 19440831     4.5
19440901 19440930    11.7
19441001 19441031    42.9
19441101 19441130    17.9
19441201 19441231    25.6
19450101 19450131    14.3
19450201 19450228    50.9
19450301 19450331     4.4
19450401 19450430     2.6
19450501 19450531    34.1
19450601 19450630    33.7
19450701 19450731    25.0
19450801 19450831    69.8
19450901 19450930    32.7
19451001 19451031    45.5
19451101 19451130    31.7
19451201 19451231    33.8
19460101 19460131    43.4
19460201 19460228   134.6
19460301 19460331    72.4
19460401 19460430    11.2
19460501 19460531    31.4
19460601 19460630    54.3
19460701 19460731   118.5
19460801 19460831    39.5
19460901 19460930    28.5
19461001 19461031    22.4
19461101 19461130    16.5
19461201 19461231    43.9
19470101 19470131     9.4
19470201 19470228    25.9
19470301 19470331    81.0
19470401 19470430    34.2
19470501 19470531    18.1
19470601 19470630    73.0
19470701 19470731    97.4
19470801 19470831    62.4
19470901 19470930    59.7
19471001 19471031    65.2
19471101 19471130    58.9
19471201 19471231    87.0
19480101 19480131     0.8
19480201 19480229    30.2
19480301 19480331     6.9
19480401 19480430    98.7
19480501 19480531    41.1
19480601 19480630    46.2
19480701 19480731    39.1
19480801 19480831    51.3
19480901 19480930    30.9
19481001 19481031    80.1
19481101 19481130    65.1
19481201 19481231    38.4
19490101 19490131    22.7
19490201 19490228   117.6
19490301 19490331     4.6
19490401 19490430     2.4
19490501 19490531    59.8
19490601 19490630    13.7
19490701 19490731    32.6
19490801 19490831    10.9
19490901 19490930    30.5
19491001 19491031    59.9
19491101 19491130    31.2
19491201 19491231     1.0
19500101 19500131     0.0
19500201 19500228    56.6
19500301 19500331    63.3
19500401 19500430    17.0
19500501 19500531    81.2
19500601 19500630    23.9
19500701 19500731    24.8
19500801 19500831    46.0
19500901 19500930    57.7
19501001 19501031    23.9
19501101 19501130    15.2
19501201 19501231    12.7
19510101 19510131    24.9
19510201 19510228    29.0
19510301 19510331     8.3
19510401 19510430    35.5
19510501 19510531    99.6
19510601 19510630    53.0
19510701 19510731    70.3
19510801 19510831    74.4
19510901 19510930    11.8
19511001 19511031    82.1
19511101 19511130    14.1
19511201 19511231    28.4
19520101 19520131    96.5
19520201 19520229    32.6
19520301 19520331     7.6
19520401 19520430    28.7
19520501 19520531    53.8
19520601 19520630    90.8
19520701 19520731    45.5
19520801 19520831    37.5
19520901 19520930    37.4
19521001 19521031    37.0
19521101 19521130    53.6
19521201 19521231    14.8
19530101 19530131    17.2
19530201 19530228     0.0
19530301 19530331     4.8
19530401 19530430    24.3
19530501 19530531    29.2
19530601 19530630    89.0
19530701 19530731    79.4
19530801 19530831    64.6
19530901 19530930    70.5
19531001 19531031    53.8
19531101 19531130    43.7
19531201 19531231    36.5
19540101 19540131    24.0
19540201 19540228     0.8
19540301 19540331     5.9
19540401 19540430    86.7
19540501 19540531    11.9
19540601 19540630    45.1
19540701 19540731    47.5
19540801 19540831    21.6
19540901 19540930    23.1
19541001 19541031    41.9
19541101 19541130    30.8
19541201 19541231    48.1
19550101 19550131     2.4
19550201 19550228    37.3
19550301 19550331    28.0
19550401 19550430    25.9
19550501 19550531    71.4
19550601 19550630   103.4
19550701 19550731    33.5
19550801 19550831   146.0
19550901 19550930    29.0
19551001 19551031    52.8
19551101 19551130    54.6
19551201 19551231    16.5
19560101 19560131    13.7
19560201 19560229     1.6
19560301 19560331    54.1
19560401 19560430    70.9
