PRCP       016055 18940101 20180131 missing_value=99999.9 YARDEA                                    
19550301 19550331    35.0
19550401 19550430    24.9
19550501 19550531    34.8
19550601 19550630    90.0
19550701 19550731    17.8
19550801 19550831    54.9
19550901 19550930    12.6
19551001 19551031    15.2
19551101 19551130    20.8
19551201 19551231     0.0
19560101 19560131     4.3
19560201 19560229    33.0
19560301 19560331    12.7
19560401 19560430    43.3
19560501 19560531    66.4
19560601 19560630    70.4
19560701 19560731   127.8
19560801 19560831    21.9
19560901 19560930    32.5
19561001 19561031    75.4
19561101 19561130     4.3
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     2.8
19570301 19570331     2.0
19570401 19570430     0.0
19570501 19570531     1.0
19570601 19570630    15.2
19570701 19570731    23.7
19570801 19570831    17.2
19570901 19570930    22.4
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231    38.1
19580101 19580131     2.5
19580201 19580228     0.0
19580301 19580331    42.0
19580401 19580430     5.1
19580501 19580531    50.9
19580601 19580630     0.0
19580701 19580731    15.7
19580801 19580831    84.4
19580901 19580930    64.7
19581001 19581031    50.1
19581101 19581130     8.1
19581201 19581231    28.2
19590101 19590131     0.0
19590201 19590228    16.0
19590301 19590331    22.9
19590401 19590430     5.6
19590501 19590531     9.1
19590601 19590630    10.9
19590701 19590731    40.1
19590801 19590831     7.1
19590901 19590930     7.9
19591001 19591031     5.9
19591101 19591130    22.8
19591201 19591231     8.2
19600101 19600131    21.8
19600201 19600229    30.2
19600301 19600331     2.3
19600401 19600430    50.3
19600501 19600531    60.7
19600601 19600630    36.3
19600701 19600731    26.2
19600801 19600831    17.6
19600901 19600930    57.3
19601001 19601031     0.0
19601101 19601130     6.4
19601201 19601231     4.9
19610101 19610131     0.0
19610201 19610228     2.5
19610301 19610331     1.3
19610401 19610430    83.8
19610501 19610531     8.9
19610601 19610630     8.9
19610701 19610731    18.8
19610801 19610831    45.7
19610901 19610930     8.4
19611001 19611031     0.0
19611101 19611130    26.6
19611201 19611231     8.9
19620101 19620131    21.6
19620201 19620228    21.3
19620301 19620331    12.4
19620401 19620430     3.0
19620501 19620531    66.0
19620601 19620630     4.9
19620701 19620731    16.2
19620801 19620831    15.9
19620901 19620930    16.5
19621001 19621031    70.7
19621101 19621130     0.0
19621201 19621231     6.4
19630101 19630131     4.1
19630201 19630228     0.0
19630301 19630331     3.3
19630401 19630430    35.0
19630501 19630531    50.8
19630601 19630630    61.3
19630701 19630731    50.2
19630801 19630831    25.4
19630901 19630930     8.4
19631001 19631031     2.8
19631101 19631130     1.5
19631201 19631231     0.0
19640101 19640131     0.8
19640201 19640229     1.3
19640301 19640331     0.0
19640401 19640430    34.0
19640501 19640531    18.6
19640601 19640630    37.1
19640701 19640731    59.5
19640801 19640831    17.9
19640901 19640930    72.2
19641001 19641031    43.2
19641101 19641130    11.1
19641201 19641231     5.8
19650101 19650131     0.0
19650201 19650228     2.3
19650301 19650331     1.5
19650401 19650430     2.4
19650501 19650531    49.8
19650601 19650630    23.4
19650701 19650731    26.1
19650801 19650831    80.3
19650901 19650930    29.1
19651001 19651031     1.3
19651101 19651130    16.7
19651201 19651231    32.0
19660101 19660131     6.1
19660201 19660228    43.5
19660301 19660331    33.3
19660401 19660430     0.8
19660501 19660531    15.0
19660601 19660630    35.2
19660701 19660731    22.5
19660801 19660831    20.4
19660901 19660930    29.9
19661001 19661031     7.7
19661101 19661130    28.2
19661201 19661231    97.5
19670101 19670131    21.3
19670201 19670228    12.7
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    13.5
19670601 19670630     3.6
19670701 19670731    38.7
19670801 19670831    22.6
19670901 19670930    31.4
19671001 19671031     2.3
19671101 19671130     0.0
19671201 19671231     2.3
19680101 19680131    45.5
19680201 19680229    24.1
19680301 19680331    21.1
19680401 19680430    34.9
19680501 19680531    44.9
19680601 19680630   124.5
19680701 19680731    47.4
19680801 19680831    46.6
19680901 19680930    19.1
19681001 19681031    24.8
19681101 19681130    23.3
19681201 19681231    18.0
19690101 19690131    14.5
19690201 19690228    56.2
19690301 19690331    25.9
19690401 19690430    16.0
19690501 19690531    46.0
19690601 19690630    40.6
19690701 19690731    37.6
19690801 19690831    41.9
19690901 19690930    39.0
19691001 19691031     0.0
19691101 19691130     5.8
19691201 19691231     1.8
19700101 19700131     2.3
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430     8.6
19700501 19700531    16.5
19700601 19700630    25.0
19700701 19700731    10.1
19700801 19700831    39.9
19700901 19700930    50.3
19701001 19701031     3.3
19701101 19701130    12.5
19701201 19701231    25.7
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331    56.4
19710401 19710430    26.9
19710501 19710531    17.8
19710601 19710630    24.9
19710701 19710731    23.8
19710801 19710831    34.8
19710901 19710930    17.2
19711001 19711031     2.5
19711101 19711130    51.5
19711201 19711231    19.1
19720101 19720131    25.9
19720201 19720229     4.4
19720301 19720331     1.3
19720401 19720430     1.8
19720501 19720531     7.4
19720601 19720630    17.6
19720701 19720731    36.2
19720801 19720831    72.9
19720901 19720930     3.3
19721001 19721031    12.8
19721101 19721130     2.3
19721201 19721231     4.8
19730101 19730131     9.9
19730201 19730228    86.8
19730301 19730331    22.9
19730401 19730430    19.6
19730501 19730531    17.6
19730601 19730630    44.4
19730701 19730731    53.6
19730801 19730831    63.1
19730901 19730930    46.7
19731001 19731031    46.0
19731101 19731130    23.6
19731201 19731231    52.4
19740101 19740131    57.6
19740201 19740228    10.8
19740301 19740331     2.2
19740401 19740430    38.6
19740501 19740531    73.6
19740601 19740630    28.4
19740701 19740731    70.4
19740801 19740831    15.0
19740901 19740930    48.8
19741001 19741031    77.8
19741101 19741130     3.8
19741201 19741231     1.0
19750101 19750131     3.6
19750201 19750228    19.6
19750301 19750331     9.2
19750401 19750430     6.0
19750501 19750531    17.8
19750601 19750630     2.6
19750701 19750731    35.6
19750801 19750831    18.8
19750901 19750930    49.8
19751001 19751031    43.2
19751101 19751130    14.4
19751201 19751231     8.4
19760101 19760131     2.2
19760201 19760229    25.2
19760301 19760331    14.2
19760401 19760430     0.0
19760501 19760531    10.0
19760601 19760630    16.2
19760701 19760731     3.0
19760801 19760831    12.0
19760901 19760930    15.6
19761001 19761031    90.0
19761101 19761130    39.0
19761201 19761231     1.2
19770101 19770131    12.2
19770201 19770228     8.4
19770301 19770331     1.6
19770401 19770430     0.0
19770501 19770531    22.0
19770601 19770630    19.0
19770701 19770731    10.4
19770801 19770831    15.0
19770901 19770930    13.6
19771001 19771031    11.4
19771101 19771130    47.0
19771201 19771231    18.8
19780101 19780131    28.8
19780201 19780228     0.0
19780301 19780331     1.2
19780401 19780430     2.0
19780501 19780531    12.8
19780601 19780630    37.2
19780701 19780731    70.2
19780801 19780831    47.8
19780901 19780930    61.4
19781001 19781031     6.4
19781101 19781130    31.4
19781201 19781231     3.2
19790101 19790131     2.0
19790201 19790228     5.2
19790301 19790331     0.4
19790401 19790430    31.0
19790501 19790531    96.2
19790601 19790630    11.6
19790701 19790731    14.6
19790801 19790831    66.3
19790901 19790930   182.8
19791001 19791031    15.0
19791101 19791130    59.6
19791201 19791231     1.4
19800101 19800131     0.0
19800201 19800229     1.6
19800301 19800331     0.0
19800401 19800430    32.8
19800501 19800531    31.6
19800601 19800630    48.0
19800701 19800731    38.8
19800801 19800831     5.4
19800901 19800930    13.2
19801001 19801031    59.6
19801101 19801130    28.9
19801201 19801231    17.0
19810101 19810131    44.0
19810201 19810228    11.6
19810301 19810331    24.0
19810401 19810430     1.6
19810501 19810531    29.4
19810601 19810630    86.0
19810701 19810731    28.4
19810801 19810831    37.0
19810901 19810930     0.0
19811001 19811031     8.4
19811101 19811130     6.6
19811201 19811231     1.0
19820101 19820131     6.6
19820201 19820228     1.2
19820301 19820331    70.6
19820401 19820430     6.6
19820501 19820531    10.6
19820601 19820630    40.4
19820701 19820731     8.8
19820801 19820831     3.2
19820901 19820930    11.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    18.6
19830101 19830131     0.0
19830201 19830228     6.4
19830301 19830331    27.0
19830401 19830430    45.2
19830501 19830531    40.8
19830601 19830630     3.0
19830701 19830731    45.2
19830801 19830831    35.6
19830901 19830930    29.0
19831001 19831031    14.0
19831101 19831130     9.4
19831201 19831231     3.2
19840101 19840131     7.0
19840201 19840229     0.0
19840301 19840331     3.9
19840401 19840430    23.0
19840501 19840531    27.8
19840601 19840630    26.8
19840701 19840731    49.8
19840801 19840831    61.8
19840901 19840930    33.2
19841001 19841031    25.2
19841101 19841130     5.8
19841201 19841231    11.0
19850101 19850131     0.4
19850201 19850228     8.0
19850301 19850331    13.8
19850401 19850430    11.0
19850501 19850531     8.0
19850601 19850630    16.8
19850701 19850731     9.6
19850801 19850831    77.8
19850901 19850930    22.4
19851001 19851031    47.6
19851101 19851130    13.4
19851201 19851231    19.0
19860101 19860131     0.0
19860201 19860228     6.8
19860301 19860331     0.0
19860401 19860430     9.4
19860501 19860531    21.4
19860601 19860630    30.2
19860701 19860731    81.8
19860801 19860831    30.8
19860901 19860930    19.8
19861001 19861031    68.2
19861101 19861130    33.2
19861201 19861231     8.8
19870101 19870131    23.2
19870201 19870228    22.4
19870301 19870331     0.8
19870401 19870430    13.4
19870501 19870531    51.4
19870601 19870630    22.2
19870701 19870731    31.6
19870801 19870831    25.4
19870901 19870930    17.4
19871001 19871031    13.0
19871101 19871130     2.2
19871201 19871231    14.4
19880101 19880131     7.4
19880201 19880229     3.4
19880301 19880331     9.6
19880401 19880430     2.2
19880501 19880531    21.6
19880601 19880630    40.0
19880701 19880731    32.6
19880801 19880831     4.6
19880901 19880930    21.8
19881001 19881031     9.6
19881101 19881130    28.4
19881201 19881231    16.8
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331    31.4
19890401 19890430    21.6
19890501 19890531    56.4
19890601 19890630    46.6
