PRCP       091044 19080101 20180131 missing_value=99999.9 IRISHTOWN (JOHNS HILL ROAD)               
19831001 19831031    44.0
19831101 19831130    80.6
19831201 19831231    20.0
19840101 19840131    42.0
19840201 19840229    16.9
19840301 19840331   109.1
19840401 19840430    77.3
19840501 19840531    92.4
19840601 19840630    75.3
19840701 19840731   136.6
19840801 19840831   214.4
19840901 19840930   151.6
19841001 19841031    87.4
19841101 19841130    60.2
19841201 19841231   108.2
19850101 19850131    60.4
19850201 19850228    21.0
19850301 19850331    47.8
19850401 19850430    68.6
19850501 19850531   148.6
19850601 19850630   139.2
19850701 19850731   141.2
19850801 19850831   103.2
19850901 19850930    28.6
19851001 19851031   102.4
19851101 19851130    81.2
19851201 19851231   144.0
19860101 19860131    44.8
19860201 19860228    46.6
19860301 19860331    22.4
19860401 19860430   125.5
19860501 19860531    85.4
19860601 19860630   118.2
19860701 19860731   188.9
19860801 19860831    73.4
19860901 19860930   135.6
19861001 19861031   141.4
19861101 19861130    10.2
19861201 19861231   189.8
19870101 19870131    68.4
19870201 19870228    37.4
19870301 19870331    81.8
19870401 19870430    52.0
19870501 19870531   134.4
19870601 19870630    89.4
19870701 19870731   100.8
19870801 19870831    76.0
19870901 19870930    94.4
19871001 19871031    59.0
19871101 19871130    84.0
19871201 19871231    51.0
19880101 19880131    15.4
19880201 19880229    29.6
19880301 19880331     9.8
19880401 19880430    63.2
19880501 19880531   205.2
19880601 19880630   123.0
19880701 19880731   200.8
19880801 19880831   128.0
19880901 19880930   104.6
19881001 19881031   211.4
19881101 19881130   101.4
19881201 19881231    77.2
19890101 19890131    84.0
19890201 19890228    29.6
19890301 19890331    97.6
19890401 19890430   179.8
19890501 19890531   103.6
19890601 19890630   118.6
19890701 19890731   136.2
19890801 19890831    77.6
19890901 19890930   165.9
19891001 19891031   156.9
19891101 19891130    46.2
19891201 19891231    54.4
19900101 19900131    26.2
19900201 19900228   149.8
19900301 19900331    48.6
19900401 19900430    71.0
19900501 19900531    64.8
19900601 19900630   133.4
19900701 19900731   142.4
19900801 19900831   153.0
19900901 19900930   102.2
19901001 19901031   100.8
19901101 19901130    77.2
19901201 19901231    62.0
19910101 19910131    52.5
19910201 19910228     8.2
19910301 19910331    61.6
19910401 19910430 99999.9
19910501 19910531    35.3
19910601 19910630   198.5
19910701 19910731   136.0
19910801 19910831 99999.9
19910901 19910930 99999.9
19911001 19911031 99999.9
19911101 19911130 99999.9
19911201 19911231 99999.9
19920101 19920131 99999.9
19920201 19920229 99999.9
19920301 19920331 99999.9
19920401 19920430 99999.9
19920501 19920531 99999.9
19920601 19920630 99999.9
19920701 19920731 99999.9
19920801 19920831 99999.9
19920901 19920930 99999.9
19921001 19921031 99999.9
19921101 19921130 99999.9
19921201 19921231 99999.9
19930101 19930131 99999.9
19930201 19930228 99999.9
19930301 19930331 99999.9
19930401 19930430 99999.9
19930501 19930531 99999.9
19930601 19930630 99999.9
19930701 19930731 99999.9
19930801 19930831 99999.9
19930901 19930930 99999.9
19931001 19931031 99999.9
19931101 19931130 99999.9
19931201 19931231 99999.9
19940101 19940131 99999.9
19940201 19940228 99999.9
19940301 19940331 99999.9
19940401 19940430 99999.9
19940501 19940531 99999.9
19940601 19940630 99999.9
19940701 19940731 99999.9
19940801 19940831 99999.9
19940901 19940930 99999.9
19941001 19941031 99999.9
19941101 19941130 99999.9
19941201 19941231 99999.9
19950101 19950131 99999.9
19950201 19950228 99999.9
19950301 19950331 99999.9
19950401 19950430 99999.9
19950501 19950531 99999.9
19950601 19950630 99999.9
19950701 19950731 99999.9
19950801 19950831 99999.9
19950901 19950930 99999.9
19951001 19951031 99999.9
19951101 19951130 99999.9
19951201 19951231 99999.9
19960101 19960131 99999.9
19960201 19960229 99999.9
19960301 19960331 99999.9
19960401 19960430 99999.9
19960501 19960531 99999.9
19960601 19960630 99999.9
19960701 19960731 99999.9
19960801 19960831 99999.9
19960901 19960930 99999.9
19961001 19961031 99999.9
19961101 19961130 99999.9
19961201 19961231 99999.9
19970101 19970131   120.6
19970201 19970228    36.0
19970301 19970331    65.2
19970401 19970430    55.4
19970501 19970531   177.0
19970601 19970630    51.6
19970701 19970731    83.8
19970801 19970831   128.4
19970901 19970930   116.8
19971001 19971031    62.8
19971101 19971130    94.1
19971201 19971231    69.2
19980101 19980131    22.2
19980201 19980228    55.4
19980301 19980331    43.4
19980401 19980430    92.4
19980501 19980531    97.8
19980601 19980630    98.1
19980701 19980731   145.2
19980801 19980831    89.2
19980901 19980930   180.0
19981001 19981031   150.6
19981101 19981130    77.7
19981201 19981231    70.6
19990101 19990131     1.4
19990201 19990228   116.2
19990301 19990331    50.0
19990401 19990430    51.1
19990501 19990531   179.4
19990601 19990630    86.8
19990701 19990731   115.7
19990801 19990831   107.2
19990901 19990930    80.0
19991001 19991031   110.5
19991101 19991130    74.6
19991201 19991231    60.4
20000101 20000131    51.0
20000201 20000229    60.0
20000301 20000331    43.0
20000401 20000430    55.4
20000501 20000531   132.8
20000601 20000630    83.8
20000701 20000731   219.8
20000801 20000831    75.6
20000901 20000930   154.0
20001001 20001031   136.4
20001101 20001130    53.8
20001201 20001231    65.8
20010101 20010131    37.0
20010201 20010228    30.0
20010301 20010331   110.0
20010401 20010430    43.6
20010501 20010531    29.0
20010601 20010630   167.4
20010701 20010731    58.2
20010801 20010831   229.4
20010901 20010930   144.0
20011001 20011031   160.2
20011101 20011130    62.0
20011201 20011231    66.1
20020101 20020131    64.8
20020201 20020228    42.4
20020301 20020331    11.8
20020401 20020430    24.0
20020501 20020531    61.2
20020601 20020630   166.8
20020701 20020731   163.6
20020801 20020831   179.2
20020901 20020930   145.6
20021001 20021031   115.4
20021101 20021130    42.4
20021201 20021231    40.8
20030101 20030131    55.8
20030201 20030228     5.6
20030301 20030331    86.8
20030401 20030430   121.0
