PRCP       020005 19110501 20160930 missing_value=99999.9 ERUDINA                                   
19541101 19541130    17.8
19541201 19541231    49.8
19550101 19550131    31.4
19550201 19550228    62.5
19550301 19550331    88.2
19550401 19550430     5.4
19550501 19550531    83.1
19550601 19550630    24.4
19550701 19550731    13.5
19550801 19550831    42.3
19550901 19550930    35.1
19551001 19551031     5.8
19551101 19551130    19.3
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229    16.8
19560301 19560331   111.5
19560401 19560430     8.8
19560501 19560531    12.5
19560601 19560630    13.6
19560701 19560731    51.8
19560801 19560831     0.5
19560901 19560930     1.0
19561001 19561031    17.1
19561101 19561130     0.0
19561201 19561231     0.0
19570101 19570131     0.5
19570201 19570228    32.5
19570301 19570331    24.7
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630    42.2
19570701 19570731     5.6
19570801 19570831    10.2
19570901 19570930     0.0
19571001 19571031     5.1
19571101 19571130     0.0
19571201 19571231    42.5
19580101 19580131     7.6
19580201 19580228     7.6
19580301 19580331    30.5
19580401 19580430    12.7
19580501 19580531     7.4
19580601 19580630     0.0
19580701 19580731    11.7
19580801 19580831    25.7
19580901 19580930     4.4
19581001 19581031    38.5
19581101 19581130    80.7
19581201 19581231    22.3
19590101 19590131     3.3
19590201 19590228     5.6
19590301 19590331    16.7
19590401 19590430     0.0
19590501 19590531    28.2
19590601 19590630     1.5
19590701 19590731    11.5
19590801 19590831    20.8
19590901 19590930     1.0
19591001 19591031     6.9
19591101 19591130     0.0
19591201 19591231     5.8
19600101 19600131    27.7
19600201 19600229     2.5
19600301 19600331     1.5
19600401 19600430     2.1
19600501 19600531    19.0
19600601 19600630     0.0
19600701 19600731    20.8
19600801 19600831     3.0
19600901 19600930    17.6
19601001 19601031     2.0
19601101 19601130    17.8
19601201 19601231     0.0
19610101 19610131     9.9
19610201 19610228     2.0
19610301 19610331     0.0
19610401 19610430    64.8
19610501 19610531     3.3
19610601 19610630     0.0
19610701 19610731     4.8
19610801 19610831     2.0
19610901 19610930     3.8
19611001 19611031     0.3
19611101 19611130    56.4
19611201 19611231    22.9
19620101 19620131    85.5
19620201 19620228     5.1
19620301 19620331    63.0
19620401 19620430     0.0
19620501 19620531    24.7
19620601 19620630     0.0
19620701 19620731     9.2
19620801 19620831     6.6
19620901 19620930     0.0
19621001 19621031     8.2
19621101 19621130     0.0
19621201 19621231    21.9
19630101 19630131    25.4
19630201 19630228     0.0
19630301 19630331     2.9
19630401 19630430    10.5
19630501 19630531    48.2
19630601 19630630    38.4
19630701 19630731     3.3
19630801 19630831    27.2
19630901 19630930     3.8
19631001 19631031    11.5
19631101 19631130     0.0
19631201 19631231     5.9
19640101 19640131     4.0
19640201 19640229    13.3
19640301 19640331     0.0
19640401 19640430    13.7
19640501 19640531     2.4
19640601 19640630     0.5
19640701 19640731     1.8
19640801 19640831    38.3
19640901 19640930    64.7
19641001 19641031     8.4
19641101 19641130     0.5
19641201 19641231    10.0
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    10.1
19650601 19650630     5.1
19650701 19650731     5.3
19650801 19650831    18.8
19650901 19650930    11.9
19651001 19651031     2.5
19651101 19651130     1.8
19651201 19651231     5.8
19660101 19660131    21.4
19660201 19660228    21.4
19660301 19660331    13.5
19660401 19660430     0.0
19660501 19660531     8.2
19660601 19660630     6.6
19660701 19660731     0.3
19660801 19660831     3.1
19660901 19660930     2.3
19661001 19661031     2.9
19661101 19661130    14.5
19661201 19661231    57.7
19670101 19670131     4.1
19670201 19670228    16.7
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    20.3
19670601 19670630     9.2
19670701 19670731     2.8
19670801 19670831    12.2
19670901 19670930     0.0
19671001 19671031     6.3
19671101 19671130     2.0
19671201 19671231     0.0
19680101 19680131   177.4
19680201 19680229     0.0
19680301 19680331     0.0
19680401 19680430    61.0
19680501 19680531    46.2
19680601 19680630    12.5
19680701 19680731    31.0
19680801 19680831     1.3
19680901 19680930     0.8
19681001 19681031     0.5
19681101 19681130     7.7
19681201 19681231     7.1
19690101 19690131    15.5
19690201 19690228    35.3
19690301 19690331    28.5
19690401 19690430     8.4
19690501 19690531    11.7
19690601 19690630    14.0
19690701 19690731    17.3
19690801 19690831     3.6
19690901 19690930     9.6
19691001 19691031     8.1
19691101 19691130    11.7
19691201 19691231     6.1
19700101 19700131     2.3
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430    44.0
19700501 19700531     0.0
19700601 19700630     3.8
19700701 19700731     0.0
19700801 19700831     6.9
19700901 19700930    35.5
19701001 19701031     9.6
19701101 19701130    37.3
19701201 19701231    14.5
19710101 19710131     2.8
19710201 19710228    39.2
19710301 19710331   217.7
19710401 19710430    67.6
19710501 19710531     8.0
19710601 19710630     9.7
19710701 19710731    12.9
19710801 19710831    11.4
19710901 19710930    24.1
19711001 19711031     0.0
19711101 19711130    29.3
19711201 19711231     7.7
19720101 19720131   110.1
19720201 19720229     6.9
19720301 19720331     0.0
19720401 19720430     0.8
19720501 19720531     4.6
19720601 19720630     2.3
19720701 19720731     0.0
19720801 19720831    18.6
19720901 19720930     3.3
19721001 19721031     8.9
19721101 19721130     0.3
19721201 19721231     2.0
19730101 19730131    28.1
19730201 19730228    52.6
19730301 19730331    41.6
19730401 19730430    11.0
19730501 19730531    24.7
19730601 19730630    31.4
19730701 19730731    36.9
19730801 19730831    49.3
19730901 19730930    12.5
19731001 19731031    86.1
19731101 19731130    14.1
19731201 19731231    87.9
19740101 19740131   134.6
19740201 19740228    60.0
19740301 19740331    12.4
19740401 19740430   157.2
19740501 19740531   117.2
19740601 19740630     5.4
19740701 19740731     6.4
19740801 19740831     8.4
19740901 19740930    34.6
19741001 19741031    55.8
19741101 19741130     5.4
19741201 19741231     0.0
19750101 19750131    23.4
19750201 19750228    57.0
19750301 19750331     0.6
19750401 19750430     0.0
