PRCP       056023 19121201 20180131 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
19920901 19920930    24.8
19921001 19921031    49.0
19921101 19921130    87.2
19921201 19921231    74.8
19930101 19930131    76.6
19930201 19930228    51.4
19930301 19930331    79.0
19930401 19930430    18.8
19930501 19930531    43.4
19930601 19930630    15.5
19930701 19930731    50.6
19930801 19930831    20.6
19930901 19930930    31.0
19931001 19931031    87.4
19931101 19931130    34.0
19931201 19931231   106.8
19940101 19940131    31.4
19940201 19940228    90.4
19940301 19940331   194.4
19940401 19940430    28.0
19940501 19940531    20.6
19940601 19940630     5.8
19940701 19940731    12.4
19940801 19940831     2.0
19940901 19940930    12.4
19941001 19941031    52.0
19941101 19941130    66.8
19941201 19941231   131.0
19950101 19950131    82.0
19950201 19950228   150.2
19950301 19950331    38.2
19950401 19950430     7.4
19950501 19950531    38.6
19950601 19950630    33.8
19950701 19950731     6.4
19950801 19950831     8.6
19950901 19950930    34.6
19951001 19951031    41.4
19951101 19951130   157.0
19951201 19951231   114.7
19960101 19960131   194.2
19960201 19960229    65.0
19960301 19960331    59.6
19960401 19960430    37.0
19960501 19960531   342.0
19960601 19960630    24.8
19960701 19960731    32.2
19960801 19960831    68.6
19960901 19960930    41.0
19961001 19961031    59.2
19961101 19961130    66.6
19961201 19961231   172.4
19970101 19970131    53.2
19970201 19970228   190.6
19970301 19970331    79.6
19970401 19970430    17.2
19970501 19970531    77.0
19970601 19970630    35.8
19970701 19970731    19.4
19970801 19970831     3.4
19970901 19970930    56.4
19971001 19971031   125.6
19971101 19971130   140.6
19971201 19971231   166.0
19980101 19980131   150.2
19980201 19980228   113.4
19980301 19980331    26.2
19980401 19980430    72.0
19980501 19980531    30.4
19980601 19980630    36.4
19980701 19980731   102.0
19980801 19980831    87.2
19980901 19980930    70.2
19981001 19981031    36.0
19981101 19981130    79.6
19981201 19981231    51.0
19990101 19990131   159.4
19990201 19990228   154.0
19990301 19990331   195.6
19990401 19990430    74.6
19990501 19990531    65.6
19990601 19990630    71.8
19990701 19990731   104.4
19990801 19990831    45.6
19990901 19990930    29.2
19991001 19991031   134.4
19991101 19991130    97.0
19991201 19991231   129.8
20000101 20000131    96.2
20000201 20000229    26.2
20000301 20000331    79.2
20000401 20000430    33.8
20000501 20000531    44.6
20000601 20000630    58.4
20000701 20000731     3.0
20000801 20000831    16.8
20000901 20000930     5.0
20001001 20001031    34.4
20001101 20001130    54.4
