PRCP       032032 18900501 20180131 missing_value=99999.9 MACKNADE SUGAR MILL                       
19630901 19630930     5.1
19631001 19631031    28.3
19631101 19631130    25.1
19631201 19631231    19.7
19640101 19640131   184.5
19640201 19640229   917.4
19640301 19640331   318.0
19640401 19640430   135.1
19640501 19640531   291.7
19640601 19640630    72.9
19640701 19640731    16.6
19640801 19640831     0.0
19640901 19640930    85.1
19641001 19641031   213.1
19641101 19641130   143.1
19641201 19641231   755.7
19650101 19650131   374.8
19650201 19650228   257.8
19650301 19650331   617.0
19650401 19650430   462.9
19650501 19650531    76.9
19650601 19650630    55.9
19650701 19650731    11.3
19650801 19650831    10.7
19650901 19650930     2.1
19651001 19651031    42.5
19651101 19651130    23.8
19651201 19651231   359.3
19660101 19660131   327.2
19660201 19660228   240.1
19660301 19660331   137.1
19660401 19660430   223.6
19660501 19660531   129.9
19660601 19660630    40.6
19660701 19660731    19.3
19660801 19660831   142.8
19660901 19660930    19.4
19661001 19661031    22.7
19661101 19661130   107.5
19661201 19661231    78.7
19670101 19670131   170.0
19670201 19670228   457.5
19670301 19670331   361.2
19670401 19670430    39.9
19670501 19670531   107.5
19670601 19670630   199.2
19670701 19670731    34.0
19670801 19670831    34.8
19670901 19670930     0.0
19671001 19671031    58.1
19671101 19671130    17.0
19671201 19671231   190.0
19680101 19680131   368.5
19680201 19680229   739.5
19680301 19680331   250.9
19680401 19680430    91.5
19680501 19680531    93.1
19680601 19680630     1.0
19680701 19680731    54.0
19680801 19680831    23.6
19680901 19680930    68.6
19681001 19681031    11.7
19681101 19681130     4.3
19681201 19681231    27.2
19690101 19690131   305.8
19690201 19690228   196.0
19690301 19690331   429.3
19690401 19690430    41.8
19690501 19690531    49.6
19690601 19690630   164.1
19690701 19690731    21.9
19690801 19690831    65.2
19690901 19690930     0.0
19691001 19691031    74.0
19691101 19691130    16.5
19691201 19691231    89.9
19700101 19700131    84.7
19700201 19700228   487.9
19700301 19700331   740.6
19700401 19700430   125.9
19700501 19700531    44.2
19700601 19700630    59.4
19700701 19700731    62.7
19700801 19700831    70.3
19700901 19700930     7.2
19701001 19701031    79.2
19701101 19701130   172.6
19701201 19701231   319.8
19710101 19710131   120.1
19710201 19710228   502.0
19710301 19710331   541.5
19710401 19710430   135.2
19710501 19710531    72.2
19710601 19710630    59.4
19710701 19710731    46.0
19710801 19710831    47.9
19710901 19710930     0.0
19711001 19711031     6.6
19711101 19711130    79.3
19711201 19711231   225.6
19720101 19720131  1087.1
19720201 19720229   724.4
19720301 19720331   342.8
19720401 19720430    39.7
19720501 19720531    67.1
19720601 19720630    21.1
19720701 19720731     1.8
19720801 19720831     4.3
19720901 19720930    72.7
19721001 19721031     0.0
19721101 19721130    45.8
19721201 19721231    73.1
19730101 19730131   275.3
19730201 19730228   414.1
19730301 19730331   452.0
19730401 19730430   387.8
19730501 19730531    74.4
19730601 19730630    48.8
19730701 19730731    22.1
19730801 19730831    20.6
19730901 19730930   108.0
19731001 19731031    57.2
19731101 19731130   131.4
19731201 19731231   538.9
19740101 19740131   832.4
19740201 19740228   672.3
19740301 19740331   829.9
19740401 19740430   145.6
19740501 19740531   241.0
19740601 19740630     5.5
19740701 19740731     0.0
19740801 19740831   125.0
19740901 19740930    23.6
19741001 19741031    21.8
19741101 19741130   129.4
19741201 19741231   161.2
19750101 19750131   290.2
19750201 19750228   241.0
19750301 19750331   371.4
19750401 19750430   195.2
19750501 19750531    35.2
19750601 19750630     7.6
19750701 19750731    55.0
19750801 19750831   108.4
19750901 19750930   161.8
19751001 19751031   144.8
19751101 19751130    29.7
19751201 19751231   626.2
19760101 19760131   379.8
19760201 19760229   704.6
19760301 19760331   231.4
19760401 19760430   231.3
19760501 19760531    26.6
19760601 19760630    22.8
19760701 19760731     8.2
19760801 19760831     7.6
19760901 19760930     0.2
19761001 19761031    29.8
19761101 19761130    87.4
19761201 19761231   347.2
19770101 19770131   427.4
19770201 19770228   475.2
19770301 19770331   781.6
19770401 19770430   532.6
19770501 19770531   307.0
19770601 19770630    13.6
19770701 19770731    18.4
19770801 19770831    10.6
19770901 19770930    32.8
19771001 19771031    37.0
19771101 19771130   119.2
19771201 19771231   242.8
19780101 19780131   480.0
19780201 19780228   555.0
19780301 19780331   257.4
19780401 19780430   339.8
19780501 19780531   210.6
19780601 19780630    29.0
19780701 19780731    19.6
19780801 19780831    78.4
19780901 19780930    52.6
19781001 19781031    85.8
19781101 19781130   114.4
19781201 19781231    89.2
19790101 19790131   814.2
19790201 19790228   426.6
19790301 19790331   410.6
19790401 19790430   189.8
19790501 19790531    64.0
19790601 19790630    80.6
19790701 19790731    60.0
19790801 19790831    12.6
19790901 19790930     8.0
19791001 19791031    36.2
19791101 19791130     0.2
19791201 19791231   331.2
19800101 19800131   366.4
19800201 19800229   234.0
19800301 19800331   507.2
19800401 19800430   231.4
19800501 19800531   108.3
19800601 19800630    31.3
19800701 19800731    58.8
19800801 19800831    42.7
19800901 19800930     2.4
19801001 19801031     8.2
19801101 19801130    20.8
19801201 19801231    82.6
19810101 19810131  1811.5
19810201 19810228   608.5
19810301 19810331   169.2
19810401 19810430    75.4
19810501 19810531   212.1
19810601 19810630    20.4
19810701 19810731   118.4
19810801 19810831    12.0
19810901 19810930    90.2
19811001 19811031    61.4
19811101 19811130   173.3
19811201 19811231    57.7
19820101 19820131   284.6
19820201 19820228   441.8
19820301 19820331   373.5
19820401 19820430   603.3
19820501 19820531    65.4
19820601 19820630    40.9
19820701 19820731    28.8
19820801 19820831    12.6
19820901 19820930    38.0
19821001 19821031     0.0
19821101 19821130    23.3
19821201 19821231   129.6
19830101 19830131    53.4
19830201 19830228    90.8
19830301 19830331   725.7
19830401 19830430   212.8
19830501 19830531   248.4
19830601 19830630    34.6
19830701 19830731    11.3
19830801 19830831     3.4
19830901 19830930    21.6
19831001 19831031    29.6
19831101 19831130    99.8
19831201 19831231   158.0
19840101 19840131   192.0
19840201 19840229  1052.8
19840301 19840331   271.1
19840401 19840430   155.0
19840501 19840531     6.8
19840601 19840630    39.1
19840701 19840731    85.0
19840801 19840831    11.6
19840901 19840930    15.6
19841001 19841031    27.8
19841101 19841130    95.5
19841201 19841231    75.8
19850101 19850131    43.4
19850201 19850228   362.2
19850301 19850331   353.4
19850401 19850430   258.6
19850501 19850531   114.4
19850601 19850630    23.2
19850701 19850731    18.0
19850801 19850831     8.4
19850901 19850930     4.4
19851001 19851031   117.0
19851101 19851130   206.4
19851201 19851231    37.2
19860101 19860131   519.6
19860201 19860228   315.7
19860301 19860331   177.4
