PRCP       061000 18940601 20130531 missing_value=99999.9 ABERDEEN (MAIN RD)                        
19390201 19390228     1.5
19390301 19390331    95.4
19390401 19390430    41.7
19390501 19390531     2.3
19390601 19390630    11.7
19390701 19390731    19.0
19390801 19390831    25.8
19390901 19390930    31.6
19391001 19391031    35.1
19391101 19391130    35.0
19391201 19391231    15.8
19400101 19400131    43.2
19400201 19400229     1.0
19400301 19400331    24.4
19400401 19400430    66.6
19400501 19400531     3.0
19400601 19400630     7.1
19400701 19400731     0.8
19400801 19400831    26.1
19400901 19400930    20.1
19401001 19401031    19.6
19401101 19401130    51.6
19401201 19401231    97.9
19410101 19410131    88.8
19410201 19410228    29.8
19410301 19410331    57.2
19410401 19410430     6.1
19410501 19410531    16.8
19410601 19410630    45.7
19410701 19410731     8.1
19410801 19410831    23.1
19410901 19410930    21.1
19411001 19411031    69.7
19411101 19411130    25.9
19411201 19411231    12.7
19420101 19420131     5.8
19420201 19420228    33.5
19420301 19420331   119.9
19420401 19420430     1.8
19420501 19420531    19.0
19420601 19420630    38.2
19420701 19420731   115.6
19420801 19420831    22.3
19420901 19420930    28.3
19421001 19421031   120.2
19421101 19421130    83.5
19421201 19421231    17.1
19430101 19430131   116.5
19430201 19430228    43.0
19430301 19430331     9.1
19430401 19430430    27.9
19430501 19430531    85.4
19430601 19430630    28.2
19430701 19430731    16.0
19430801 19430831    36.5
19430901 19430930    73.4
19431001 19431031    57.0
19431101 19431130    79.0
19431201 19431231    56.1
19440101 19440131    40.4
19440201 19440229    41.1
19440301 19440331    12.0
19440401 19440430    33.5
19440501 19440531    98.0
19440601 19440630     9.4
19440701 19440731    39.3
19440801 19440831    76.4
19440901 19440930    24.9
19441001 19441031     4.3
19441101 19441130    24.1
19441201 19441231    22.1
19450101 19450131    67.8
19450201 19450228    96.1
19450301 19450331    31.7
19450401 19450430    60.2
19450501 19450531    86.5
19450601 19450630   127.1
19450701 19450731    52.9
19450801 19450831    63.4
19450901 19450930     1.3
19451001 19451031    56.5
19451101 19451130    32.5
19451201 19451231    52.1
19460101 19460131    56.7
19460201 19460228    18.1
19460301 19460331    44.3
19460401 19460430   127.5
19460501 19460531    14.4
19460601 19460630    53.6
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930    19.0
19461001 19461031     8.6
19461101 19461130    31.8
19461201 19461231    55.0
19470101 19470131    70.3
19470201 19470228    68.2
19470301 19470331    17.5
19470401 19470430    28.8
19470501 19470531    20.2
19470601 19470630    16.3
19470701 19470731    28.6
19470801 19470831    23.6
19470901 19470930    57.6
19471001 19471031    62.4
19471101 19471130    61.6
19471201 19471231   159.8
19480101 19480131    90.8
19480201 19480229    67.9
19480301 19480331    94.1
19480401 19480430    25.6
19480501 19480531    28.2
19480601 19480630    83.0
19480701 19480731     3.3
19480801 19480831     7.9
19480901 19480930    92.7
19481001 19481031     7.6
19481101 19481130    26.2
19481201 19481231   149.4
19490101 19490131    62.5
19490201 19490228   153.2
19490301 19490331    55.2
19490401 19490430    62.9
19490501 19490531    16.7
19490601 19490630    95.9
19490701 19490731    53.1
19490801 19490831    45.1
19490901 19490930   123.8
19491001 19491031    70.9
19491101 19491130    81.6
19491201 19491231    45.4
19500101 19500131   100.3
19500201 19500228   147.1
19500301 19500331    22.9
19500401 19500430   113.3
19500501 19500531    70.2
19500601 19500630   224.5
19500701 19500731   109.2
19500801 19500831    50.2
19500901 19500930    48.8
19501001 19501031   144.5
19501101 19501130   127.7
19501201 19501231    29.2
19510101 19510131   180.6
19510201 19510228     9.7
19510301 19510331    58.0
19510401 19510430    25.1
19510501 19510531    17.0
19510601 19510630   149.0
19510701 19510731    46.6
19510801 19510831    40.9
19510901 19510930    35.8
19511001 19511031    14.8
19511101 19511130    16.5
19511201 19511231    24.2
19520101 19520131    27.7
19520201 19520229    49.9
19520301 19520331    55.9
19520401 19520430    61.6
19520501 19520531    27.1
19520601 19520630    40.7
19520701 19520731    52.5
19520801 19520831   160.6
19520901 19520930    10.3
19521001 19521031    72.8
19521101 19521130    26.2
19521201 19521231    61.2
19530101 19530131    68.6
19530201 19530228    88.7
19530301 19530331    22.1
19530401 19530430    23.6
19530501 19530531   198.8
19530601 19530630     1.8
19530701 19530731    25.6
19530801 19530831    62.5
19530901 19530930    23.0
19531001 19531031    34.4
19531101 19531130    53.9
19531201 19531231    34.8
19540101 19540131   141.6
19540201 19540228   253.3
19540301 19540331    14.0
19540401 19540430     8.7
19540501 19540531    11.2
19540601 19540630    52.1
19540701 19540731    13.3
19540801 19540831    21.7
19540901 19540930    30.6
19541001 19541031    87.8
19541101 19541130    52.7
19541201 19541231    65.2
19550101 19550131    95.7
19550201 19550228   432.5
19550301 19550331    16.3
19550401 19550430    59.6
19550501 19550531    53.8
19550601 19550630    21.8
19550701 19550731     7.6
19550801 19550831    56.3
19550901 19550930    18.3
19551001 19551031    75.9
19551101 19551130   112.5
19551201 19551231    67.4
19560101 19560131   120.9
19560201 19560229   161.3
19560301 19560331    90.4
19560401 19560430    42.7
19560501 19560531    91.4
19560601 19560630    78.5
19560701 19560731    49.8
19560801 19560831    14.9
19560901 19560930    14.0
19561001 19561031    57.6
19561101 19561130    12.7
19561201 19561231    37.6
19570101 19570131    58.6
19570201 19570228   101.5
19570301 19570331    15.5
19570401 19570430    32.8
19570501 19570531     0.0
19570601 19570630    20.8
19570701 19570731    31.1
19570801 19570831    44.4
19570901 19570930     4.3
19571001 19571031     3.1
19571101 19571130    15.2
19571201 19571231    73.8
19580101 19580131   123.2
19580201 19580228    29.7
19580301 19580331    13.9
19580401 19580430    36.3
19580501 19580531    44.0
19580601 19580630    34.6
19580701 19580731     6.6
19580801 19580831    32.3
19580901 19580930    79.3
19581001 19581031    63.5
19581101 19581130    22.3
19581201 19581231    57.1
19590101 19590131    84.6
19590201 19590228    97.0
19590301 19590331    81.1
19590401 19590430    28.2
19590501 19590531    15.0
19590601 19590630    50.6
19590701 19590731    29.8
19590801 19590831    22.1
19590901 19590930    21.3
19591001 19591031    99.6
19591101 19591130    56.4
19591201 19591231    55.0
19600101 19600131    52.8
19600201 19600229    63.3
19600301 19600331    23.3
19600401 19600430    30.7
19600501 19600531    18.2
19600601 19600630    20.8
19600701 19600731    54.5
19600801 19600831    27.0
19600901 19600930    61.7
19601001 19601031    70.9
19601101 19601130    55.2
19601201 19601231   116.3
19610101 19610131    60.0
19610201 19610228    74.2
19610301 19610331   116.3
19610401 19610430    22.6
19610501 19610531     6.1
19610601 19610630    38.0
19610701 19610731    32.0
19610801 19610831    92.3
19610901 19610930     4.1
19611001 19611031    59.7
19611101 19611130   147.4
