PRCP       012013 18970101 20180131 missing_value=99999.9 BULONG                                    
19700801 19700831     4.8
19700901 19700930    19.9
19701001 19701031     6.1
19701101 19701130     3.8
19701201 19701231     3.6
19710101 19710131     4.0
19710201 19710228     1.6
19710301 19710331    31.2
19710401 19710430     1.5
19710501 19710531     0.3
19710601 19710630    24.4
19710701 19710731     8.7
19710801 19710831    10.5
19710901 19710930     1.5
19711001 19711031    10.4
19711101 19711130    10.9
19711201 19711231     1.8
19720101 19720131     2.3
19720201 19720229     1.6
19720301 19720331    19.8
19720401 19720430     2.3
19720501 19720531     0.0
19720601 19720630    34.9
19720701 19720731    17.3
19720801 19720831    13.5
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    35.6
19721201 19721231     0.0
19730101 19730131     4.1
19730201 19730228     2.8
19730301 19730331     7.4
19730401 19730430    41.1
19730501 19730531    30.2
19730601 19730630    54.5
19730701 19730731    47.8
19730801 19730831    61.5
19730901 19730930    15.2
19731001 19731031    19.4
19731101 19731130    31.0
19731201 19731231    24.7
19740101 19740131    27.4
19740201 19740228    32.0
19740301 19740331   128.0
19740401 19740430    50.6
19740501 19740531    26.4
19740601 19740630    27.8
19740701 19740731    29.6
19740801 19740831    11.6
19740901 19740930    56.0
19741001 19741031    37.2
19741101 19741130    32.4
19741201 19741231     8.8
19750101 19750131     0.0
19750201 19750228   173.4
19750301 19750331    27.2
19750401 19750430    43.4
19750501 19750531    25.8
19750601 19750630     8.2
19750701 19750731    49.2
19750801 19750831    18.0
19750901 19750930     7.8
19751001 19751031    77.4
19751101 19751130    13.2
19751201 19751231    11.8
19760101 19760131     3.2
19760201 19760229    17.0
19760301 19760331     1.2
19760401 19760430     6.0
19760501 19760531     3.4
19760601 19760630     2.8
19760701 19760731     3.4
19760801 19760831     7.6
19760901 19760930    17.0
19761001 19761031    37.2
19761101 19761130     9.6
19761201 19761231     5.0
19770101 19770131     0.0
19770201 19770228     1.4
19770301 19770331     9.0
19770401 19770430     7.8
19770501 19770531    25.0
19770601 19770630     4.2
19770701 19770731     1.0
19770801 19770831    19.2
19770901 19770930    10.8
19771001 19771031    49.9
19771101 19771130     4.8
19771201 19771231    17.2
19780101 19780131     8.8
19780201 19780228    43.0
19780301 19780331     0.0
19780401 19780430    10.4
19780501 19780531     4.0
