PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
19460901 19460930     5.8
19461001 19461031     2.0
19461101 19461130     4.9
19461201 19461231    43.2
19470101 19470131     7.4
19470201 19470228   124.9
19470301 19470331    74.0
19470401 19470430     0.0
19470501 19470531    35.3
19470601 19470630    10.9
19470701 19470731     0.0
19470801 19470831    44.9
19470901 19470930    54.9
19471001 19471031    15.3
19471101 19471130    45.7
19471201 19471231    41.5
19480101 19480131    67.3
19480201 19480229    29.8
19480301 19480331    25.4
19480401 19480430     2.5
19480501 19480531    16.3
19480601 19480630    22.6
19480701 19480731    36.6
19480801 19480831     0.0
19480901 19480930    40.7
19481001 19481031     0.0
19481101 19481130     8.9
19481201 19481231    80.9
19490101 19490131    50.5
19490201 19490228    52.4
19490301 19490331   188.2
19490401 19490430     3.8
19490501 19490531    28.7
19490601 19490630    11.7
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    55.1
19491001 19491031   242.7
19491101 19491130    44.4
19491201 19491231     0.0
19500101 19500131   102.6
19500201 19500228    78.0
19500301 19500331    78.1
19500401 19500430    76.7
19500501 19500531    28.9
19500601 19500630    38.3
19500701 19500731   204.5
19500801 19500831     0.0
19500901 19500930     6.6
19501001 19501031   165.3
19501101 19501130    77.2
19501201 19501231    32.3
19510101 19510131    92.5
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    33.8
19510701 19510731    30.2
19510801 19510831     8.4
19510901 19510930    23.4
19511001 19511031    21.0
19511101 19511130    22.1
19511201 19511231    36.1
19520101 19520131     5.6
19520201 19520229    69.1
19520301 19520331    62.9
19520401 19520430    41.2
19520501 19520531    25.3
19520601 19520630    10.9
19520701 19520731     8.9
19520801 19520831    31.4
19520901 19520930     1.8
19521001 19521031    50.3
19521101 19521130    30.5
19521201 19521231    17.3
19530101 19530131    90.3
19530201 19530228   113.3
19530301 19530331     6.1
19530401 19530430    22.5
19530501 19530531     6.9
19530601 19530630     0.0
19530701 19530731     0.3
19530801 19530831    23.4
19530901 19530930     0.0
19531001 19531031    82.9
19531101 19531130    19.3
19531201 19531231     2.0
19540101 19540131   145.1
19540201 19540228   167.5
19540301 19540331     3.6
19540401 19540430     9.6
19540501 19540531     4.8
19540601 19540630    26.2
19540701 19540731    38.3
19540801 19540831    88.7
19540901 19540930    25.0
19541001 19541031   129.8
19541101 19541130    34.3
19541201 19541231    35.6
19550101 19550131   134.3
19550201 19550228   142.8
19550301 19550331   111.4
19550401 19550430   205.8
19550501 19550531    82.3
19550601 19550630     4.9
19550701 19550731    56.3
19550801 19550831     9.2
19550901 19550930     0.0
19551001 19551031    92.7
19551101 19551130     7.4
19551201 19551231    22.9
19560101 19560131   171.6
19560201 19560229   203.6
19560301 19560331   340.0
19560401 19560430    64.2
19560501 19560531    57.4
19560601 19560630    45.2
19560701 19560731    73.2
19560801 19560831     4.6
19560901 19560930    16.0
19561001 19561031    11.2
19561101 19561130    49.2
19561201 19561231    93.7
19570101 19570131    19.5
19570201 19570228    15.8
19570301 19570331    52.4
19570401 19570430    43.3
19570501 19570531     8.1
19570601 19570630    48.8
19570701 19570731    47.7
19570801 19570831    16.0
19570901 19570930     0.0
19571001 19571031    26.9
19571101 19571130    24.9
19571201 19571231    67.0
19580101 19580131    89.6
19580201 19580228    57.7
19580301 19580331    28.6
19580401 19580430    23.9
19580501 19580531     1.5
19580601 19580630    52.6
19580701 19580731     2.5
19580801 19580831    17.0
19580901 19580930    12.2
19581001 19581031    27.4
19581101 19581130    50.7
19581201 19581231    90.5
19590101 19590131   138.7
19590201 19590228    38.1
19590301 19590331    41.2
19590401 19590430    84.1
19590501 19590531    43.6
19590601 19590630     0.0
19590701 19590731    11.2
19590801 19590831     0.0
19590901 19590930     1.5
19591001 19591031    40.4
19591101 19591130     8.7
19591201 19591231    57.7
19600101 19600131    70.7
19600201 19600229    63.4
19600301 19600331     4.8
19600401 19600430    38.7
19600501 19600531    68.7
19600601 19600630    21.9
19600701 19600731    21.6
19600801 19600831    24.7
19600901 19600930    20.9
19601001 19601031    40.4
19601101 19601130    62.8
19601201 19601231    72.2
19610101 19610131    46.0
19610201 19610228   194.9
19610301 19610331    31.2
19610401 19610430   110.8
19610501 19610531    10.2
19610601 19610630     8.4
19610701 19610731    30.5
19610801 19610831     3.3
19610901 19610930     1.0
19611001 19611031    44.2
19611101 19611130    84.0
19611201 19611231    69.1
19620101 19620131   144.2
19620201 19620228    38.8
19620301 19620331   165.0
19620401 19620430    11.9
19620501 19620531     3.3
19620601 19620630    36.3
19620701 19620731    28.5
19620801 19620831     9.7
19620901 19620930    12.9
19621001 19621031    92.1
19621101 19621130     6.1
19621201 19621231    54.9
19630101 19630131   134.7
19630201 19630228     8.9
19630301 19630331   148.8
19630401 19630430    27.1
19630501 19630531     8.6
19630601 19630630    36.0
19630701 19630731     0.0
19630801 19630831    36.2
19630901 19630930    13.4
19631001 19631031    14.9
19631101 19631130    99.3
19631201 19631231    52.3
19640101 19640131    31.7
19640201 19640229    22.6
19640301 19640331    26.1
