PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19660201 19660228     8.1
19660301 19660331    64.2
19660401 19660430    13.6
19660501 19660531    38.5
19660601 19660630    24.0
19660701 19660731    24.4
19660801 19660831    88.4
19660901 19660930    43.7
19661001 19661031   102.0
19661101 19661130   109.7
19661201 19661231   111.4
19670101 19670131    25.9
19670201 19670228     7.3
19670301 19670331    39.5
19670401 19670430     0.0
19670501 19670531    22.9
19670601 19670630    64.3
19670701 19670731     6.8
19670801 19670831    80.1
19670901 19670930    24.9
19671001 19671031    48.3
19671101 19671130    19.1
19671201 19671231    15.2
19680101 19680131   113.7
19680201 19680229     7.4
19680301 19680331    39.3
19680401 19680430    53.1
19680501 19680531   129.6
19680601 19680630     9.4
19680701 19680731    29.6
19680801 19680831    42.4
19680901 19680930    29.3
19681001 19681031    34.6
19681101 19681130    31.0
19681201 19681231    81.1
19690101 19690131    22.1
19690201 19690228   109.0
19690301 19690331   105.5
19690401 19690430    75.2
19690501 19690531    73.6
19690601 19690630    11.9
19690701 19690731    40.9
19690801 19690831    29.9
19690901 19690930    47.9
19691001 19691031    71.9
19691101 19691130    55.2
19691201 19691231     4.8
19700101 19700131    51.4
19700201 19700228    22.1
19700301 19700331    56.2
19700401 19700430    56.9
19700501 19700531    48.0
19700601 19700630    23.6
19700701 19700731     3.0
19700801 19700831    42.1
19700901 19700930    90.2
19701001 19701031    42.1
19701101 19701130    57.7
19701201 19701231    77.5
19710101 19710131    96.8
19710201 19710228    82.0
19710301 19710331    49.3
19710401 19710430    13.1
19710501 19710531    14.8
19710601 19710630    15.7
19710701 19710731    59.6
19710801 19710831    48.3
19710901 19710930    22.6
19711001 19711031     7.9
19711101 19711130   143.8
19711201 19711231   121.1
19720101 19720131   123.3
19720201 19720229    49.5
19720301 19720331    31.0
19720401 19720430    20.6
19720501 19720531    22.1
19720601 19720630     2.3
19720701 19720731     8.5
19720801 19720831    31.3
19720901 19720930    27.4
19721001 19721031    84.8
19721101 19721130    29.6
19721201 19721231    15.8
19730101 19730131    43.0
19730201 19730228   110.6
19730301 19730331    25.9
19730401 19730430     8.1
19730501 19730531    32.5
19730601 19730630    42.1
19730701 19730731    37.1
19730801 19730831    73.9
19730901 19730930    23.6
19731001 19731031   106.5
19731101 19731130   134.7
19731201 19731231    88.7
19740101 19740131   105.8
19740201 19740228    77.2
19740301 19740331    27.9
19740401 19740430   143.2
19740501 19740531    36.4
19740601 19740630    25.2
19740701 19740731    51.4
19740801 19740831    44.2
19740901 19740930    70.8
19741001 19741031    92.2
19741101 19741130    25.9
19741201 19741231     0.6
19750101 19750131    36.6
19750201 19750228    56.4
19750301 19750331    16.0
19750401 19750430    13.6
19750501 19750531    16.2
19750601 19750630    42.0
19750701 19750731    20.4
19750801 19750831    39.4
19750901 19750930    69.5
19751001 19751031   135.6
19751101 19751130     0.0
19751201 19751231    24.2
19760101 19760131   253.6
19760201 19760229   146.0
19760301 19760331    40.4
19760401 19760430    11.6
19760501 19760531    16.8
19760601 19760630     0.0
19760701 19760731    60.8
19760801 19760831    12.4
19760901 19760930    49.2
19761001 19761031   141.2
19761101 19761130    28.2
19761201 19761231    21.6
19770101 19770131    22.8
19770201 19770228    57.4
19770301 19770331    50.8
19770401 19770430    43.2
19770501 19770531   176.6
19770601 19770630    31.4
19770701 19770731    12.8
19770801 19770831    13.8
19770901 19770930    15.9
19771001 19771031    17.3
19771101 19771130     3.0
19771201 19771231     1.0
19780101 19780131   233.8
19780201 19780228     2.0
19780301 19780331    88.8
19780401 19780430     1.0
19780501 19780531    99.8
19780601 19780630    78.2
19780701 19780731    52.6
19780801 19780831    19.9
19780901 19780930    77.4
19781001 19781031    18.0
19781101 19781130    89.4
19781201 19781231    66.6
19790101 19790131     4.6
19790201 19790228     2.3
19790301 19790331    49.0
19790401 19790430    59.5
19790501 19790531    48.4
19790601 19790630    15.1
19790701 19790731    38.8
19790801 19790831    33.2
