PRCP       075050 19100101 20151031 missing_value=99999.9 NARADHAN (URALBA)                         
19590201 19590228    34.3
19590301 19590331   135.9
19590401 19590430    19.6
19590501 19590531    23.6
19590601 19590630    27.4
19590701 19590731    27.9
19590801 19590831     0.0
19590901 19590930    21.3
19591001 19591031    68.1
19591101 19591130    11.4
19591201 19591231    21.1
19600101 19600131    96.5
19600201 19600229    21.8
19600301 19600331    21.1
19600401 19600430    18.5
19600501 19600531    68.6
19600601 19600630     7.4
19600701 19600731    69.3
19600801 19600831    31.5
19600901 19600930    54.4
19601001 19601031    13.0
19601101 19601130    45.0
19601201 19601231    27.2
19610101 19610131    13.0
19610201 19610228     5.6
19610301 19610331    84.3
19610401 19610430    73.9
19610501 19610531     0.0
19610601 19610630    50.3
19610701 19610731    44.5
19610801 19610831    93.7
19610901 19610930    12.2
19611001 19611031    21.8
19611101 19611130   106.2
19611201 19611231    53.3
19620101 19620131   175.5
19620201 19620228     0.0
19620301 19620331    31.5
19620401 19620430     4.6
19620501 19620531    67.6
19620601 19620630     8.1
19620701 19620731    28.7
19620801 19620831    68.1
19620901 19620930    24.9
19621001 19621031    17.0
19621101 19621130     8.1
19621201 19621231    42.4
19630101 19630131    31.5
19630201 19630228    25.9
19630301 19630331    77.7
19630401 19630430    61.2
19630501 19630531    39.4
19630601 19630630    79.8
19630701 19630731    47.5
19630801 19630831    24.9
19630901 19630930    38.4
19631001 19631031    62.5
19631101 19631130    19.6
19631201 19631231    65.8
19640101 19640131     2.8
19640201 19640229     5.8
19640301 19640331    25.7
19640401 19640430    95.5
19640501 19640531    24.9
19640601 19640630    49.5
19640701 19640731    26.2
19640801 19640831    36.1
19640901 19640930    96.8
19641001 19641031    55.6
19641101 19641130    24.6
19641201 19641231     4.3
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430    34.5
19650501 19650531    35.6
19650601 19650630    20.1
19650701 19650731    19.8
19650801 19650831    65.8
19650901 19650930    12.2
19651001 19651031    40.1
19651101 19651130    62.0
19651201 19651231    87.1
19660101 19660131     3.0
19660201 19660228     5.8
19660301 19660331    76.2
19660401 19660430    15.5
19660501 19660531    51.6
19660601 19660630    14.5
19660701 19660731    27.2
19660801 19660831    44.2
19660901 19660930    27.9
19661001 19661031    39.0
19661101 19661130    88.6
19661201 19661231    91.2
19670101 19670131     4.9
19670201 19670228     0.0
19670301 19670331    32.8
19670401 19670430     0.0
19670501 19670531     3.8
19670601 19670630    79.2
19670701 19670731     2.8
19670801 19670831    23.9
19670901 19670930    19.1
19671001 19671031    30.7
19671101 19671130     0.0
19671201 19671231     0.0
19680101 19680131    56.1
19680201 19680229    19.6
19680301 19680331    46.2
19680401 19680430    66.8
19680501 19680531   120.4
19680601 19680630    12.4
19680701 19680731    41.7
19680801 19680831    38.9
19680901 19680930     6.6
19681001 19681031    28.2
19681101 19681130    24.9
19681201 19681231    83.1
19690101 19690131    44.5
19690201 19690228   102.6
19690301 19690331   112.8
19690401 19690430    48.0
19690501 19690531    76.7
19690601 19690630    41.7
19690701 19690731    69.6
19690801 19690831    29.2
19690901 19690930    33.3
19691001 19691031     6.9
19691101 19691130    61.0
19691201 19691231     4.8
19700101 19700131    29.0
19700201 19700228    31.2
19700301 19700331    55.4
19700401 19700430    66.8
19700501 19700531    23.1
19700601 19700630     8.1
19700701 19700731     8.9
19700801 19700831    64.5
19700901 19700930   129.5
19701001 19701031    21.1
19701101 19701130    46.5
19701201 19701231    34.8
19710101 19710131    59.2
19710201 19710228    84.8
19710301 19710331    18.4
19710401 19710430    33.5
19710501 19710531    19.8
19710601 19710630    14.1
19710701 19710731    72.2
19710801 19710831    37.1
19710901 19710930    14.2
19711001 19711031    13.0
19711101 19711130   104.9
19711201 19711231    82.0
19720101 19720131   130.0
19720201 19720229    25.4
19720301 19720331    27.5
19720401 19720430    37.1
19720501 19720531    21.0
19720601 19720630     1.3
19720701 19720731    11.3
19720801 19720831    62.6
19720901 19720930     9.5
19721001 19721031    40.1
19721101 19721130    16.7
19721201 19721231    10.6
19730101 19730131    28.0
19730201 19730228    26.1
19730301 19730331    27.9
19730401 19730430    20.1
19730501 19730531    31.3
19730601 19730630    60.6
19730701 19730731    44.0
19730801 19730831    73.4
19730901 19730930    19.3
19731001 19731031   127.6
19731101 19731130    41.2
19731201 19731231    86.0
19740101 19740131   132.1
19740201 19740228    51.1
19740301 19740331    23.8
19740401 19740430   153.9
19740501 19740531    17.1
19740601 19740630    17.6
19740701 19740731    71.8
19740801 19740831    53.9
19740901 19740930    45.2
19741001 19741031   121.6
19741101 19741130    22.0
19741201 19741231    33.2
19750101 19750131     4.6
19750201 19750228    14.0
19750301 19750331    16.6
19750401 19750430    14.8
19750501 19750531    16.7
19750601 19750630    19.6
19750701 19750731    32.5
19750801 19750831    35.0
19750901 19750930   106.1
19751001 19751031   113.8
19751101 19751130     3.8
19751201 19751231    46.2
19760101 19760131   148.6
19760201 19760229    44.8
19760301 19760331    19.7
19760401 19760430    15.4
19760501 19760531     3.4
19760601 19760630     5.5
19760701 19760731    25.6
19760801 19760831    18.6
19760901 19760930    50.0
19761001 19761031   113.7
19761101 19761130    38.7
19761201 19761231    17.2
19770101 19770131    24.6
19770201 19770228    53.8
19770301 19770331    26.8
19770401 19770430    14.4
19770501 19770531   110.2
19770601 19770630    30.0
19770701 19770731     5.0
19770801 19770831     4.0
19770901 19770930    15.0
19771001 19771031     5.2
19771101 19771130    11.8
19771201 19771231     2.2
19780101 19780131   115.2
19780201 19780228     2.6
19780301 19780331    46.6
19780401 19780430     2.2
19780501 19780531   120.8
19780601 19780630    83.8
19780701 19780731    36.6
19780801 19780831    29.2
19780901 19780930    90.0
19781001 19781031    19.0
19781101 19781130    39.0
19781201 19781231    49.0
19790101 19790131    39.2
19790201 19790228     1.7
19790301 19790331    13.0
19790401 19790430    39.8
19790501 19790531    80.4
19790601 19790630    56.2
19790701 19790731     4.4
19790801 19790831    45.2
19790901 19790930    37.2
19791001 19791031    56.4
19791101 19791130     5.8
19791201 19791231     0.0
19800101 19800131    26.9
19800201 19800229     5.4
19800301 19800331    16.2
19800401 19800430    54.0
19800501 19800531    93.4
19800601 19800630    28.2
19800701 19800731    28.8
19800801 19800831    29.6
19800901 19800930     6.8
19801001 19801031    20.3
19801101 19801130     4.6
19801201 19801231    45.2
19810101 19810131    11.2
19810201 19810228    88.6
19810301 19810331    22.0
19810401 19810430    13.2
19810501 19810531    54.4
19810601 19810630    57.6
19810701 19810731    88.0
19810801 19810831    30.6
19810901 19810930    31.0
19811001 19811031    32.0
19811101 19811130    28.6
19811201 19811231     7.2
19820101 19820131     6.2
19820201 19820228     0.0
19820301 19820331    62.3
19820401 19820430    19.8
19820501 19820531    26.8
19820601 19820630    32.7
19820701 19820731     0.9
19820801 19820831     1.9
19820901 19820930    36.3
19821001 19821031     3.5
19821101 19821130     0.9
19821201 19821231     2.9
19830101 19830131     2.2
