PRCP       007011 19020501 20160430 missing_value=99999.9 BURNERBINMAH                              
19690301 19690331     1.3
19690401 19690430     0.0
19690501 19690531    63.8
19690601 19690630    20.9
19690701 19690731     8.1
19690801 19690831     1.8
19690901 19690930    10.7
19691001 19691031     6.1
19691101 19691130     0.0
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228   117.6
19700301 19700331     0.0
19700401 19700430     8.7
19700501 19700531    20.6
19700601 19700630    34.2
19700701 19700731    15.8
19700801 19700831     5.7
19700901 19700930    19.9
19701001 19701031    15.2
19701101 19701130     6.4
19701201 19701231    18.1
19710101 19710131     7.4
19710201 19710228     4.8
19710301 19710331    40.2
19710401 19710430     0.0
19710501 19710531     0.0
19710601 19710630    27.2
19710701 19710731    27.6
19710801 19710831    10.9
19710901 19710930     2.0
19711001 19711031    11.7
19711101 19711130     0.0
19711201 19711231     0.0
19720101 19720131     4.6
19720201 19720229     8.2
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531     9.9
19720601 19720630    40.2
19720701 19720731    60.0
19720801 19720831    11.1
19720901 19720930     8.3
19721001 19721031     5.6
19721101 19721130    11.5
19721201 19721231     0.0
19730101 19730131    10.2
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    13.4
19730501 19730531    16.7
19730601 19730630    41.1
19730701 19730731    58.5
19730801 19730831    41.9
19730901 19730930    17.7
19731001 19731031     0.0
19731101 19731130    13.2
19731201 19731231     0.0
19740101 19740131     3.9
19740201 19740228     0.0
19740301 19740331     9.6
19740401 19740430    47.0
19740501 19740531    58.2
19740601 19740630    19.0
19740701 19740731    69.4
19740801 19740831    45.8
19740901 19740930    53.6
19741001 19741031    11.8
19741101 19741130     5.3
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    73.0
19750301 19750331     6.8
19750401 19750430    78.4
19750501 19750531    21.2
19750601 19750630    27.2
19750701 19750731    28.9
19750801 19750831    14.8
19750901 19750930     6.2
19751001 19751031    67.0
19751101 19751130    17.0
19751201 19751231    18.6
19760101 19760131    10.4
19760201 19760229    21.0
19760301 19760331     4.9
19760401 19760430    16.8
19760501 19760531    17.7
