PRCP       049023 18770201 20161231 missing_value=99999.9 EUSTON ( BENINGTON)                       
19321101 19321130     3.1
19321201 19321231    34.7
19330101 19330131    35.6
19330201 19330228     0.0
19330301 19330331     9.7
19330401 19330430     3.8
19330501 19330531    25.9
19330601 19330630    17.7
19330701 19330731    52.4
19330801 19330831    23.2
19330901 19330930    43.9
19331001 19331031    10.5
19331101 19331130    98.2
19331201 19331231    42.9
19340101 19340131    20.5
19340201 19340228    47.5
19340301 19340331    10.2
19340401 19340430     8.6
19340501 19340531     0.0
19340601 19340630    19.5
19340701 19340731    25.2
19340801 19340831    24.5
19340901 19340930    20.6
19341001 19341031    60.2
19341101 19341130    41.5
19341201 19341231    10.3
19350101 19350131    10.2
19350201 19350228     3.2
19350301 19350331    29.1
19350401 19350430    33.5
19350501 19350531     7.8
19350601 19350630    15.3
19350701 19350731    32.8
19350801 19350831    18.3
19350901 19350930    30.5
19351001 19351031    29.0
19351101 19351130     0.5
19351201 19351231     7.7
19360101 19360131   122.1
19360201 19360229     1.0
19360301 19360331     3.0
19360401 19360430    20.9
19360501 19360531    38.7
19360601 19360630    29.3
19360701 19360731    77.9
19360801 19360831    17.3
19360901 19360930     6.9
19361001 19361031    16.3
19361101 19361130     3.8
19361201 19361231    54.4
19370101 19370131    67.6
19370201 19370228    14.2
19370301 19370331     9.2
19370401 19370430     4.1
19370501 19370531    18.4
19370601 19370630    76.4
19370701 19370731    12.6
19370801 19370831    32.8
19370901 19370930     8.7
19371001 19371031    88.9
19371101 19371130     0.5
19371201 19371231    33.0
19380101 19380131    19.2
19380201 19380228    10.2
19380301 19380331     1.0
19380401 19380430     6.4
19380501 19380531    11.4
19380601 19380630    23.9
19380701 19380731    32.7
19380801 19380831    15.3
19380901 19380930     2.5
19381001 19381031    26.2
19381101 19381130     3.1
19381201 19381231     0.0
19390101 19390131     4.1
19390201 19390228   123.7
19390301 19390331     3.3
19390401 19390430    15.0
19390501 19390531    54.4
19390601 19390630    28.2
19390701 19390731    16.2
19390801 19390831    26.8
19390901 19390930    20.3
19391001 19391031    33.5
19391101 19391130    60.5
19391201 19391231     2.5
19400101 19400131    12.2
19400201 19400229     2.0
19400301 19400331     0.3
19400401 19400430    33.1
19400501 19400531     4.1
19400601 19400630     3.8
19400701 19400731    20.6
19400801 19400831     8.8
19400901 19400930    62.8
19401001 19401031     3.5
19401101 19401130     3.3
19401201 19401231    15.4
19410101 19410131   117.3
19410201 19410228     8.6
19410301 19410331     4.7
19410401 19410430     0.8
19410501 19410531     4.9
19410601 19410630    15.1
19410701 19410731    30.7
19410801 19410831     7.7
19410901 19410930    30.2
19411001 19411031    20.5
19411101 19411130    58.9
19411201 19411231     8.6
19420101 19420131     8.4
19420201 19420228    22.3
19420301 19420331     3.0
19420401 19420430    27.2
19420501 19420531    61.2
19420601 19420630    54.8
19420701 19420731    32.0
19420801 19420831    58.7
19420901 19420930    17.1
19421001 19421031    65.1
19421101 19421130    17.8
19421201 19421231     4.1
19430101 19430131    14.0
19430201 19430228     8.2
19430301 19430331     6.1
19430401 19430430    20.3
19430501 19430531     5.6
19430601 19430630    14.8
19430701 19430731    22.1
19430801 19430831    33.1
19430901 19430930    29.2
19431001 19431031    10.9
19431101 19431130    24.4
19431201 19431231     1.3
19440101 19440131     8.4
19440201 19440229     1.0
19440301 19440331     6.0
19440401 19440430    28.8
19440501 19440531    28.6
19440601 19440630     1.5
19440701 19440731    19.0
19440801 19440831    16.4
19440901 19440930     4.9
19441001 19441031    20.4
19441101 19441130    12.2
19441201 19441231    29.2
19450101 19450131     1.8
19450201 19450228    14.5
19450301 19450331     1.0
19450401 19450430     0.0
19450501 19450531     5.6
19450601 19450630    35.7
19450701 19450731    25.4
19450801 19450831    28.0
19450901 19450930     6.6
19451001 19451031    58.5
19451101 19451130    20.5
19451201 19451231    14.5
19460101 19460131   127.2
19460201 19460228    74.0
19460301 19460331    26.5
19460401 19460430     5.9
19460501 19460531    21.2
19460601 19460630    33.9
19460701 19460731    46.4
19460801 19460831    12.7
19460901 19460930     7.8
19461001 19461031    15.0
19461101 19461130    35.9
19461201 19461231    21.3
19470101 19470131     1.8
19470201 19470228    83.1
19470301 19470331    62.5
19470401 19470430    15.7
19470501 19470531     6.1
19470601 19470630    27.3
19470701 19470731    30.7
19470801 19470831    22.1
19470901 19470930    23.1
19471001 19471031    45.2
19471101 19471130    39.1
19471201 19471231    59.1
19480101 19480131     1.6
19480201 19480229     5.0
19480301 19480331     0.8
19480401 19480430    26.5
19480501 19480531    18.9
19480601 19480630    28.7
19480701 19480731    11.2
19480801 19480831    14.3
19480901 19480930    28.4
19481001 19481031    50.9
19481101 19481130    13.0
19481201 19481231    20.2
19490101 19490131     2.3
19490201 19490228    18.9
19490301 19490331    66.9
19490401 19490430     7.7
19490501 19490531    94.5
19490601 19490630    11.0
19490701 19490731    27.4
19490801 19490831     6.9
19490901 19490930    29.1
19491001 19491031    46.6
19491101 19491130    17.1
19491201 19491231     6.6
19500101 19500131     0.5
19500201 19500228   100.7
19500301 19500331    72.2
19500401 19500430     7.7
19500501 19500531    36.4
19500601 19500630    14.1
19500701 19500731    31.9
19500801 19500831    12.6
19500901 19500930    16.1
19501001 19501031    54.7
19501101 19501130    19.1
19501201 19501231    15.8
19510101 19510131    17.3
19510201 19510228    20.9
19510301 19510331     0.5
19510401 19510430    16.7
19510501 19510531    39.5
19510601 19510630    68.2
19510701 19510731    25.7
19510801 19510831    38.1
19510901 19510930    30.5
19511001 19511031    22.6
19511101 19511130     1.8
19511201 19511231     5.6
19520101 19520131    22.8
19520201 19520229     2.0
19520301 19520331    48.6
19520401 19520430    35.8
19520501 19520531    80.4
19520601 19520630    25.7
19520701 19520731    18.9
19520801 19520831    21.9
19520901 19520930    15.0
19521001 19521031    55.9
19521101 19521130    33.1
19521201 19521231     2.8
19530101 19530131     5.4
19530201 19530228     9.7
19530301 19530331     2.8
19530401 19530430    10.4
19530501 19530531    13.2
19530601 19530630    28.1
19530701 19530731    24.0
19530801 19530831    39.7
19530901 19530930    78.0
19531001 19531031    35.9
19531101 19531130    17.0
19531201 19531231     4.1
19540101 19540131    32.1
19540201 19540228     5.1
19540301 19540331     1.3
19540401 19540430    55.9
19540501 19540531     8.9
19540601 19540630    15.3
19540701 19540731    10.2
19540801 19540831    43.9
19540901 19540930    11.9
19541001 19541031    29.4
19541101 19541130    59.7
19541201 19541231    71.3
19550101 19550131     1.8
19550201 19550228    35.8
19550301 19550331    62.7
19550401 19550430     8.9
19550501 19550531    58.3
19550601 19550630    63.4
19550701 19550731    38.8
19550801 19550831    42.7
19550901 19550930    62.5
19551001 19551031    45.3
19551101 19551130    24.1
19551201 19551231     9.2
19560101 19560131    36.5
19560201 19560229     0.0
19560301 19560331   114.3
19560401 19560430    26.6
19560501 19560531    94.2
19560601 19560630    55.8
19560701 19560731    68.9
19560801 19560831    36.3
19560901 19560930    28.6
19561001 19561031    56.2
19561101 19561130    13.9
19561201 19561231     3.3
19570101 19570131     0.0
19570201 19570228    72.4
19570301 19570331    25.9
19570401 19570430    11.4
19570501 19570531     8.1
19570601 19570630    38.5
19570701 19570731    30.7
19570801 19570831    14.7
19570901 19570930     7.8
19571001 19571031     9.1
19571101 19571130     7.7
19571201 19571231    42.0
19580101 19580131    36.8
19580201 19580228     8.9
19580301 19580331     4.1
19580401 19580430     7.9
19580501 19580531    25.4
19580601 19580630     0.8
19580701 19580731    32.4
19580801 19580831    89.2
19580901 19580930    27.4
19581001 19581031    72.1
19581101 19581130    90.7
19581201 19581231    10.6
19590101 19590131    22.3
19590201 19590228    15.5
19590301 19590331    11.4
19590401 19590430    44.2
19590501 19590531    15.7
19590601 19590630     6.8
19590701 19590731     8.4
19590801 19590831    13.4
19590901 19590930    21.5
19591001 19591031    65.3
19591101 19591130     3.8
19591201 19591231    22.8
19600101 19600131   134.9
19600201 19600229    34.3
19600301 19600331     2.5
19600401 19600430    18.3
19600501 19600531    67.0
19600601 19600630    18.8
19600701 19600731    45.3
19600801 19600831    41.1
19600901 19600930    47.0
19601001 19601031    10.7
19601101 19601130    58.8
19601201 19601231    20.4
19610101 19610131     2.0
19610201 19610228     8.9
19610301 19610331    24.3
19610401 19610430    49.8
19610501 19610531     9.4
19610601 19610630    19.4
19610701 19610731    32.6
19610801 19610831    29.1
19610901 19610930    32.5
19611001 19611031    10.7
19611101 19611130   167.7
19611201 19611231    20.1
19620101 19620131    77.4
19620201 19620228     1.8
19620301 19620331     8.4
19620401 19620430     0.0
19620501 19620531    68.7
19620601 19620630     5.1
19620701 19620731     7.9
19620801 19620831    36.5
19620901 19620930     6.1
19621001 19621031    15.5
19621101 19621130     0.5
19621201 19621231    45.9
19630101 19630131    38.2
19630201 19630228     7.6
19630301 19630331    54.8
19630401 19630430    67.3
19630501 19630531    67.4
19630601 19630630    78.3
19630701 19630731    21.8
19630801 19630831    29.8
19630901 19630930    31.7
19631001 19631031    37.0
19631101 19631130    11.1
19631201 19631231    26.7
19640101 19640131    20.8
19640201 19640229     5.1
19640301 19640331     1.5
19640401 19640430    35.2
19640501 19640531    22.9
19640601 19640630    20.5
19640701 19640731    24.5
19640801 19640831     7.2
19640901 19640930    94.1
19641001 19641031    51.4
19641101 19641130    26.7
19641201 19641231    17.8
19650101 19650131     1.5
19650201 19650228     1.0
19650301 19650331     1.0
19650401 19650430     9.8
19650501 19650531    23.5
19650601 19650630    29.2
19650701 19650731    40.4
19650801 19650831    58.8
19650901 19650930    43.8
19651001 19651031    21.8
19651101 19651130    27.2
19651201 19651231     6.1
19660101 19660131    13.2
19660201 19660228    13.0
19660301 19660331    32.3
19660401 19660430     3.5
19660501 19660531    33.1
19660601 19660630    13.7
19660701 19660731    25.7
19660801 19660831    12.0
19660901 19660930    38.4
19661001 19661031    38.2
19661101 19661130    35.2
19661201 19661231    52.7
19670101 19670131     6.1
19670201 19670228     7.9
19670301 19670331     2.8
19670401 19670430     2.0
19670501 19670531    18.5
19670601 19670630     3.4
19670701 19670731    18.1
19670801 19670831    20.9
19670901 19670930    18.1
19671001 19671031    11.2
19671101 19671130     0.0
19671201 19671231     0.0
19680101 19680131    22.8
19680201 19680229     1.3
19680301 19680331     6.3
19680401 19680430    37.2
19680501 19680531    66.7
19680601 19680630    28.9
19680701 19680731    25.9
19680801 19680831    33.3
19680901 19680930     5.3
19681001 19681031    20.5
19681101 19681130    10.4
19681201 19681231    13.4
19690101 19690131     0.0
19690201 19690228    71.9
19690301 19690331   127.7
19690401 19690430    12.2
19690501 19690531    29.0
19690601 19690630     7.6
19690701 19690731    36.1
19690801 19690831    14.8
19690901 19690930    33.3
19691001 19691031     9.4
19691101 19691130    12.6
19691201 19691231     1.8
19700101 19700131    48.2
19700201 19700228     0.0
19700301 19700331    25.7
19700401 19700430    42.2
19700501 19700531     9.2
19700601 19700630    16.5
19700701 19700731     4.5
19700801 19700831    55.8
19700901 19700930    84.8
19701001 19701031     7.1
19701101 19701130    28.0
19701201 19701231    23.3
19710101 19710131    35.6
19710201 19710228    25.4
19710301 19710331    53.3
19710401 19710430    62.2
19710501 19710531     7.6
19710601 19710630    17.3
19710701 19710731    20.4
19710801 19710831    12.6
19710901 19710930    20.0
19711001 19711031     1.0
19711101 19711130    76.7
19711201 19711231    16.5
19720101 19720131    37.1
19720201 19720229    23.9
19720301 19720331     2.3
19720401 19720430    21.6
19720501 19720531    44.5
19720601 19720630     8.5
19720701 19720731     9.2
19720801 19720831    52.6
19720901 19720930     8.2
19721001 19721031    14.5
19721101 19721130    14.2
19721201 19721231     5.3
19730101 19730131    13.5
