PRCP       025004 19100101 20171231 missing_value=99999.9 GALGA                                     
19740401 19740430    70.6
19740501 19740531    72.4
19740601 19740630    23.4
19740701 19740731    47.6
19740801 19740831    30.4
19740901 19740930    50.6
19741001 19741031    94.3
19741101 19741130     9.8
19741201 19741231     0.8
19750101 19750131    21.9
19750201 19750228     0.0
19750301 19750331    41.3
19750401 19750430     7.7
19750501 19750531    21.2
19750601 19750630     3.6
19750701 19750731    35.9
19750801 19750831     9.2
19750901 19750930    48.1
19751001 19751031    85.2
19751101 19751130     7.4
19751201 19751231     6.7
19760101 19760131     4.0
19760201 19760229    71.6
19760301 19760331     6.2
19760401 19760430     3.4
19760501 19760531     3.6
19760601 19760630    24.2
19760701 19760731     9.0
19760801 19760831    18.3
19760901 19760930    35.8
19761001 19761031    75.9
19761101 19761130    20.8
19761201 19761231    12.2
19770101 19770131    14.2
19770201 19770228     8.0
19770301 19770331    16.2
19770401 19770430     6.1
19770501 19770531    28.9
19770601 19770630    27.6
19770701 19770731     7.9
19770801 19770831     5.0
19770901 19770930    18.6
19771001 19771031    17.3
19771101 19771130    52.3
19771201 19771231     9.9
19780101 19780131    22.2
19780201 19780228     5.9
19780301 19780331    11.0
19780401 19780430    10.4
19780501 19780531    19.2
19780601 19780630    51.8
19780701 19780731    51.2
19780801 19780831    34.4
19780901 19780930    34.4
19781001 19781031    18.8
19781101 19781130    37.3
19781201 19781231     5.6
19790101 19790131    31.4
19790201 19790228    40.0
19790301 19790331     2.6
19790401 19790430    16.8
19790501 19790531    29.6
19790601 19790630    11.8
19790701 19790731    13.2
19790801 19790831    28.2
19790901 19790930    67.9
19791001 19791031    53.8
19791101 19791130    54.4
19791201 19791231     0.0
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331    10.1
19800401 19800430    32.2
19800501 19800531    29.6
19800601 19800630    52.1
19800701 19800731    31.0
19800801 19800831     8.7
19800901 19800930     7.2
19801001 19801031    72.7
19801101 19801130     8.3
19801201 19801231     4.4
19810101 19810131    22.5
19810201 19810228     9.0
19810301 19810331     7.7
19810401 19810430     7.9
19810501 19810531    41.5
19810601 19810630    43.7
19810701 19810731    46.8
19810801 19810831    49.8
19810901 19810930    10.9
19811001 19811031    14.7
19811101 19811130    20.8
19811201 19811231     1.0
19820101 19820131    24.3
19820201 19820228     5.2
19820301 19820331    17.9
19820401 19820430    27.8
19820501 19820531    15.2
19820601 19820630    14.1
19820701 19820731     4.5
19820801 19820831     6.9
19820901 19820930     9.1
19821001 19821031     7.0
19821101 19821130     0.0
19821201 19821231     1.4
19830101 19830131     2.4
19830201 19830228     2.5
19830301 19830331    90.0
19830401 19830430    35.5
19830501 19830531    21.9
19830601 19830630    11.1
19830701 19830731    60.6
19830801 19830831    33.0
19830901 19830930    46.8
19831001 19831031    43.7
19831101 19831130    24.3
19831201 19831231    40.3
19840101 19840131    49.6
19840201 19840229     1.8
19840301 19840331    10.9
19840401 19840430     8.0
19840501 19840531    12.8
19840601 19840630     8.9
19840701 19840731    46.6
19840801 19840831    48.2
19840901 19840930    21.6
19841001 19841031    13.0
19841101 19841130    19.7
19841201 19841231     0.0
19850101 19850131     2.1
19850201 19850228     0.0
19850301 19850331    16.4
19850401 19850430    38.6
19850501 19850531    34.8
19850601 19850630    22.0
19850701 19850731     6.8
19850801 19850831    82.7
19850901 19850930    20.6
19851001 19851031    23.9
19851101 19851130     9.1
19851201 19851231    12.7
19860101 19860131     3.0
19860201 19860228     1.2
19860301 19860331     0.0
19860401 19860430    15.9
19860501 19860531    15.3
19860601 19860630    12.0
19860701 19860731    54.7
19860801 19860831    62.9
19860901 19860930    49.4
19861001 19861031    54.2
19861101 19861130    22.6
19861201 19861231    28.6
19870101 19870131    23.4
19870201 19870228    17.4
19870301 19870331    13.9
19870401 19870430    10.7
19870501 19870531    63.8
19870601 19870630    45.1
19870701 19870731    39.0
19870801 19870831    21.2
19870901 19870930     7.4
19871001 19871031    26.3
19871101 19871130     0.0
19871201 19871231    39.3
19880101 19880131    23.9
19880201 19880229    12.5
19880301 19880331     5.4
19880401 19880430    33.4
19880501 19880531    37.6
19880601 19880630    41.3
19880701 19880731    21.9
19880801 19880831    10.2
19880901 19880930    43.8
19881001 19881031    18.4
19881101 19881130    46.2
19881201 19881231    26.8
19890101 19890131     0.8
19890201 19890228     4.9
19890301 19890331    22.9
19890401 19890430     3.1
19890501 19890531    37.9
19890601 19890630    37.3
19890701 19890731    42.4
19890801 19890831    34.4
19890901 19890930    31.4
19891001 19891031     5.9
19891101 19891130    18.3
19891201 19891231    16.0
19900101 19900131     8.8
19900201 19900228     5.0
19900301 19900331    21.6
