PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19661201 19661231   147.7
19670101 19670131   186.5
19670201 19670228   533.5
19670301 19670331   577.1
19670401 19670430   102.1
19670501 19670531   115.9
19670601 19670630   107.0
19670701 19670731    19.8
19670801 19670831    26.2
19670901 19670930     1.4
19671001 19671031    49.5
19671101 19671130    93.2
19671201 19671231   206.3
19680101 19680131   908.4
19680201 19680229   543.7
19680301 19680331   182.6
19680401 19680430   364.3
19680501 19680531   128.3
19680601 19680630    13.0
19680701 19680731    83.2
19680801 19680831    14.0
19680901 19680930    31.8
19681001 19681031    34.7
19681101 19681130    46.9
19681201 19681231    60.8
19690101 19690131  1171.8
19690201 19690228   137.8
19690301 19690331   302.5
19690401 19690430    30.6
19690501 19690531    32.3
19690601 19690630   106.0
19690701 19690731   142.4
19690801 19690831    29.8
19690901 19690930    20.1
19691001 19691031    65.0
19691101 19691130    20.1
19691201 19691231   137.0
19700101 19700131    52.3
19700201 19700228   521.1
19700301 19700331   686.4
19700401 19700430   166.6
19700501 19700531    32.9
19700601 19700630    29.0
19700701 19700731    12.9
19700801 19700831    59.2
19700901 19700930    16.4
19701001 19701031   102.2
19701101 19701130   140.7
19701201 19701231   250.7
19710101 19710131   191.5
19710201 19710228   527.4
19710301 19710331   880.5
19710401 19710430   355.2
19710501 19710531    36.6
19710601 19710630    29.6
19710701 19710731    13.9
19710801 19710831    28.4
19710901 19710930     3.6
19711001 19711031    32.2
19711101 19711130    50.7
19711201 19711231   132.3
19720101 19720131   586.2
19720201 19720229   801.8
19720301 19720331   683.2
19720401 19720430    61.6
19720501 19720531    59.9
19720601 19720630    67.5
19720701 19720731     5.7
19720801 19720831    14.7
19720901 19720930   103.4
19721001 19721031     0.0
19721101 19721130    36.1
19721201 19721231    80.9
19730101 19730131   231.9
19730201 19730228   582.9
19730301 19730331   961.5
19730401 19730430   356.2
19730501 19730531   104.5
19730601 19730630    52.4
19730701 19730731    16.1
19730801 19730831    21.7
19730901 19730930    89.0
19731001 19731031    81.2
19731101 19731130   234.7
