PRCP       020053 19100101 20171231 missing_value=99999.9 TEPCO                                     
19781201 19781231     0.6
19790101 19790131    29.4
19790201 19790228    69.0
19790301 19790331     4.2
19790401 19790430     9.5
19790501 19790531    47.6
19790601 19790630     6.0
19790701 19790731     6.2
19790801 19790831    19.2
19790901 19790930    68.4
19791001 19791031    15.4
19791101 19791130    14.4
19791201 19791231    10.2
19800101 19800131     3.8
19800201 19800229    10.6
19800301 19800331     0.0
19800401 19800430    90.3
19800501 19800531    16.6
19800601 19800630    17.8
19800701 19800731     0.0
19800801 19800831    19.8
19800901 19800930     2.0
19801001 19801031    31.2
19801101 19801130     2.2
19801201 19801231     4.0
19810101 19810131    17.4
19810201 19810228    16.8
19810301 19810331     3.6
19810401 19810430     0.0
19810501 19810531    30.0
19810601 19810630    10.8
19810701 19810731    41.0
19810801 19810831     5.2
19810901 19810930    14.6
19811001 19811031     7.8
19811101 19811130    27.4
19811201 19811231     9.6
19820101 19820131    22.0
19820201 19820228     9.8
19820301 19820331    14.2
19820401 19820430     0.6
19820501 19820531     4.1
19820601 19820630     4.8
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930    16.8
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131     6.4
19830201 19830228     4.4
19830301 19830331     9.4
19830401 19830430    27.2
19830501 19830531     9.9
19830601 19830630     1.0
19830701 19830731    22.4
19830801 19830831    28.2
19830901 19830930    12.9
19831001 19831031    29.0
19831101 19831130    25.0
19831201 19831231   120.4
19840101 19840131    78.4
19840201 19840229     0.0
19840301 19840331     2.0
19840401 19840430    50.0
19840501 19840531     0.1
19840601 19840630     4.8
19840701 19840731    37.6
19840801 19840831    22.8
19840901 19840930    13.8
19841001 19841031     2.7
19841101 19841130     0.0
19841201 19841231     0.0
19850101 19850131     4.8
19850201 19850228     1.4
19850301 19850331     2.2
19850401 19850430     0.0
19850501 19850531    36.4
19850601 19850630    11.0
19850701 19850731     3.8
19850801 19850831    33.4
19850901 19850930     8.0
19851001 19851031    21.6
19851101 19851130    22.0
19851201 19851231    12.2
19860101 19860131     0.0
