PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19211101 19211130    37.1
19211201 19211231   340.5
19220101 19220131   227.8
19220201 19220228   286.3
19220301 19220331    26.0
19220401 19220430    21.6
19220501 19220531     3.0
19220601 19220630    40.9
19220701 19220731    93.8
19220801 19220831    17.8
19220901 19220930    18.8
19221001 19221031    17.0
19221101 19221130    21.9
19221201 19221231   173.9
19230101 19230131   212.8
19230201 19230228    22.9
19230301 19230331    34.8
19230401 19230430   211.4
19230501 19230531     0.0
19230601 19230630   111.5
19230701 19230731    25.4
19230801 19230831    17.7
19230901 19230930    49.3
19231001 19231031     4.1
19231101 19231130    78.8
19231201 19231231   111.5
19240101 19240131    38.2
19240201 19240229   246.5
19240301 19240331   311.2
19240401 19240430    28.6
19240501 19240531    13.7
19240601 19240630    19.6
19240701 19240731    95.7
19240801 19240831    13.0
19240901 19240930    74.9
19241001 19241031    38.1
19241101 19241130    72.3
19241201 19241231   103.9
19250101 19250131   324.5
19250201 19250228   223.0
19250301 19250331   163.7
19250401 19250430    20.9
19250501 19250531    28.2
19250601 19250630   198.5
19250701 19250731    16.7
19250801 19250831    30.3
19250901 19250930    23.9
19251001 19251031    12.4
19251101 19251130    46.7
19251201 19251231   138.5
19260101 19260131    82.8
19260201 19260228    66.8
19260301 19260331   106.6
19260401 19260430    57.9
19260501 19260531   210.5
19260601 19260630    45.7
19260701 19260731     6.0
19260801 19260831     0.0
19260901 19260930    19.3
19261001 19261031    31.3
19261101 19261130     4.1
19261201 19261231   482.3
19270101 19270131   508.5
19270201 19270228   156.9
19270301 19270331   271.3
19270401 19270430   114.5
19270501 19270531     3.6
19270601 19270630   107.9
19270701 19270731    31.5
19270801 19270831    19.1
19270901 19270930    59.9
19271001 19271031   106.6
19271101 19271130   135.1
19271201 19271231   138.7
19280101 19280131   213.4
19280201 19280229   494.7
19280301 19280331    44.1
19280401 19280430   354.4
19280501 19280531    14.0
19280601 19280630   108.2
19280701 19280731    14.2
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    18.6
19281101 19281130    55.1
19281201 19281231     1.5
19290101 19290131    92.2
19290201 19290228   224.3
19290301 19290331    45.9
19290401 19290430   158.0
19290501 19290531     0.5
19290601 19290630    76.2
19290701 19290731     0.0
19290801 19290831     6.4
19290901 19290930     5.1
19291001 19291031    42.4
19291101 19291130    54.8
19291201 19291231    48.8
19300101 19300131   368.0
19300201 19300228    30.4
19300301 19300331    52.9
19300401 19300430    21.0
19300501 19300531    68.1
19300601 19300630   168.4
19300701 19300731    54.6
19300801 19300831    58.6
19300901 19300930    31.9
19301001 19301031    25.4
19301101 19301130     0.0
19301201 19301231    39.4
19310101 19310131    13.0
19310201 19310228   503.4
19310301 19310331   212.8
19310401 19310430    21.1
19310501 19310531    48.0
19310601 19310630    87.9
19310701 19310731     3.8
19310801 19310831    17.5
19310901 19310930    29.3
19311001 19311031    50.6
19311101 19311130    80.3
19311201 19311231   215.2
19320101 19320131     0.0
