PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
19391001 19391031     0.0
19391101 19391130    29.2
19391201 19391231     0.0
19400101 19400131   142.5
19400201 19400229     7.6
19400301 19400331     0.0
19400401 19400430     3.6
19400501 19400531     0.0
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831    12.4
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231    29.3
19410101 19410131    20.3
19410201 19410228    95.8
19410301 19410331    15.2
19410401 19410430     0.0
19410501 19410531     8.6
19410601 19410630     0.0
19410701 19410731    43.2
19410801 19410831    15.0
19410901 19410930     0.0
19411001 19411031     0.0
19411101 19411130     9.4
19411201 19411231    81.3
19420101 19420131   166.1
19420201 19420228    19.3
19420301 19420331   119.5
19420401 19420430     0.0
19420501 19420531   155.5
19420601 19420630    60.6
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     0.0
19421001 19421031     0.0
19421101 19421130     0.0
19421201 19421231    12.2
19430101 19430131    96.3
19430201 19430228   108.9
19430301 19430331    94.2
19430401 19430430    23.9
19430501 19430531     0.0
19430601 19430630     0.0
19430701 19430731    10.6
19430801 19430831     0.0
19430901 19430930     0.0
19431001 19431031     3.0
19431101 19431130    13.2
19431201 19431231    21.8
19440101 19440131     8.1
19440201 19440229    14.2
19440301 19440331    20.3
19440401 19440430    25.2
19440501 19440531     0.0
19440601 19440630     0.0
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031    50.8
19441101 19441130    25.6
19441201 19441231    11.4
19450101 19450131    45.1
19450201 19450228    45.0
19450301 19450331   228.0
19450401 19450430     0.0
19450501 19450531     0.5
19450601 19450630    20.1
19450701 19450731     0.0
19450801 19450831     0.0
19450901 19450930     0.0
19451001 19451031     0.0
19451101 19451130     0.0
19451201 19451231    71.1
19460101 19460131    90.9
19460201 19460228   119.1
19460301 19460331    34.7
19460401 19460430    20.6
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731    66.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     0.0
19461201 19461231     0.0
