PRCP       040013 19100101 20161231 missing_value=99999.9 COWAL                                     
19570901 19570930     4.3
19571001 19571031     5.2
19571101 19571130    52.6
19571201 19571231    28.1
19580101 19580131    87.1
19580201 19580228   302.4
19580301 19580331   127.2
19580401 19580430   244.3
19580501 19580531    14.5
19580601 19580630   202.8
19580701 19580731     4.6
19580801 19580831    32.0
19580901 19580930    43.0
19581001 19581031    30.8
19581101 19581130     4.4
19581201 19581231   221.9
19590101 19590131   222.8
19590201 19590228   106.5
19590301 19590331   233.8
19590401 19590430    26.5
19590501 19590531    56.8
19590601 19590630    33.5
19590701 19590731    84.1
19590801 19590831    14.5
19590901 19590930    87.6
19591001 19591031   115.3
19591101 19591130   180.9
19591201 19591231   137.1
19600101 19600131   102.2
19600201 19600229    90.5
19600301 19600331    45.0
19600401 19600430    32.1
19600501 19600531    70.5
19600601 19600630    16.4
19600701 19600731    22.8
19600801 19600831    17.3
19600901 19600930     3.5
19601001 19601031   117.2
19601101 19601130    74.5
19601201 19601231    51.4
19610101 19610131   125.7
19610201 19610228   220.5
19610301 19610331   137.5
19610401 19610430    51.3
19610501 19610531    42.8
19610601 19610630    34.8
19610701 19610731    49.2
19610801 19610831    21.1
19610901 19610930    32.0
19611001 19611031    89.8
19611101 19611130   119.4
19611201 19611231   163.4
19620101 19620131   215.1
19620201 19620228   174.9
19620301 19620331   211.3
19620401 19620430    97.8
19620501 19620531    14.2
19620601 19620630    25.2
19620701 19620731    33.1
19620801 19620831    24.0
19620901 19620930    61.2
19621001 19621031    21.1
19621101 19621130    74.6
19621201 19621231   345.4
19630101 19630131   163.1
19630201 19630228    72.9
19630301 19630331   159.1
19630401 19630430   116.2
19630501 19630531    38.6
19630601 19630630    23.5
19630701 19630731     2.3
19630801 19630831    47.8
19630901 19630930    20.9
19631001 19631031    38.4
19631101 19631130    72.3
19631201 19631231   163.7
19640101 19640131   117.3
19640201 19640229    76.5
19640301 19640331   127.6
19640401 19640430    51.4
19640501 19640531    78.8
19640601 19640630    50.1
19640701 19640731    83.1
19640801 19640831    37.3
19640901 19640930    75.5
19641001 19641031    66.6
19641101 19641130   117.9
19641201 19641231    85.2
19650101 19650131    71.7
19650201 19650228    65.0
19650301 19650331    38.5
