PRCP       007080 19070901 20180131 missing_value=99999.9 THREE RIVERS                              
19560601 19560630     5.1
19560701 19560731     0.0
19560801 19560831     5.1
19560901 19560930     0.0
19561001 19561031     0.0
19561101 19561130     0.0
19561201 19561231     6.4
19570101 19570131    15.7
19570201 19570228   100.9
19570301 19570331    17.3
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     2.5
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231     6.4
19580101 19580131    59.7
19580201 19580228     0.0
19580301 19580331   120.6
19580401 19580430     0.0
19580501 19580531     0.0
19580601 19580630    64.0
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130     8.9
19581201 19581231     0.0
19590101 19590131     0.0
19590201 19590228     6.9
19590301 19590331     0.0
19590401 19590430    22.9
19590501 19590531     0.0
19590601 19590630    15.7
19590701 19590731    12.7
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     0.0
19591201 19591231    10.2
19600101 19600131    40.1
19600201 19600229   267.8
19600301 19600331    24.9
19600401 19600430     3.8
19600501 19600531     0.0
19600601 19600630     3.6
19600701 19600731    14.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    58.4
19610201 19610228   127.0
19610301 19610331     0.0
19610401 19610430    15.2
19610501 19610531     6.4
19610601 19610630     2.5
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     0.0
19620101 19620131    24.6
19620201 19620228    54.7
19620301 19620331    10.2
19620401 19620430     0.0
19620501 19620531    10.7
19620601 19620630     0.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     4.6
19621101 19621130     0.0
19621201 19621231     0.0
19630101 19630131    61.2
19630201 19630228    40.9
19630301 19630331    57.2
19630401 19630430    12.2
19630501 19630531    18.3
19630601 19630630    11.7
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     8.9
19631001 19631031     3.8
19631101 19631130     7.6
19631201 19631231     9.4
19640101 19640131    33.0
19640201 19640229    25.4
19640301 19640331     6.4
19640401 19640430    35.5
19640501 19640531     2.5
19640601 19640630    13.1
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031     0.0
19641101 19641130    27.2
19641201 19641231     0.0
19650101 19650131    11.4
19650201 19650228    30.5
19650301 19650331   235.0
19650401 19650430     0.0
19650501 19650531     5.1
19650601 19650630    54.3
19650701 19650731     0.0
19650801 19650831    98.8
19650901 19650930     0.0
19651001 19651031     7.9
19651101 19651130    53.3
19651201 19651231     3.8
19660101 19660131     7.4
19660201 19660228    18.3
19660301 19660331    12.9
19660401 19660430    58.9
19660501 19660531     0.0
19660601 19660630    20.4
19660701 19660731     0.0
19660801 19660831    11.4
19660901 19660930     0.0
19661001 19661031    29.0
19661101 19661130     2.8
19661201 19661231     0.0
19670101 19670131    20.3
19670201 19670228    25.6
19670301 19670331     4.1
19670401 19670430     2.2
19670501 19670531    17.1
19670601 19670630     0.0
19670701 19670731     1.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     8.3
19671101 19671130     6.4
19671201 19671231    38.0
19680101 19680131    19.1
19680201 19680229    85.6
19680301 19680331    82.4
19680401 19680430    17.5
19680501 19680531    14.7
19680601 19680630    57.5
19680701 19680731    21.6
19680801 19680831     1.5
19680901 19680930    10.9
19681001 19681031     4.3
19681101 19681130     0.0
19681201 19681231     1.8
19690101 19690131     1.0
19690201 19690228    58.1
19690301 19690331     0.0
19690401 19690430     0.0
19690501 19690531    53.5
19690601 19690630    10.9
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.8
19691001 19691031     1.3
19691101 19691130     0.5
19691201 19691231     1.3
19700101 19700131     8.2
19700201 19700228     5.3
19700301 19700331    10.2
19700401 19700430    19.3
19700501 19700531    67.2
19700601 19700630     4.9
19700701 19700731     4.1
19700801 19700831     0.0
19700901 19700930    12.2
19701001 19701031     0.0
19701101 19701130     1.5
19701201 19701231     1.3
19710101 19710131    22.9
19710201 19710228    36.4
19710301 19710331    30.0
19710401 19710430     0.0
19710501 19710531     5.3
19710601 19710630   128.4
19710701 19710731    20.3
19710801 19710831     3.8
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.0
19711201 19711231     0.0
19720101 19720131     1.8
19720201 19720229     5.1
19720301 19720331     6.9
19720401 19720430     0.0
19720501 19720531     0.5
19720601 19720630    21.3
19720701 19720731    37.1
19720801 19720831     1.5
19720901 19720930     1.5
19721001 19721031     0.0
19721101 19721130    20.1
19721201 19721231    35.9
19730101 19730131   124.0
19730201 19730228     4.3
19730301 19730331    28.8
19730401 19730430    80.4
19730501 19730531    49.6
19730601 19730630    81.4
19730701 19730731    42.6
19730801 19730831    25.5
19730901 19730930     2.5
19731001 19731031     0.5
19731101 19731130    21.3
19731201 19731231    41.6
19740101 19740131    13.4
19740201 19740228    20.4
19740301 19740331    27.6
19740401 19740430     3.2
19740501 19740531    10.8
19740601 19740630    13.0
19740701 19740731    83.5
19740801 19740831    31.2
19740901 19740930     6.3
19741001 19741031     2.0
19741101 19741130     7.4
19741201 19741231     7.6
19750101 19750131     0.6
19750201 19750228    32.6
19750301 19750331    98.8
19750401 19750430    16.4
19750501 19750531     6.2
19750601 19750630     5.0
19750701 19750731    38.8
