PRCP       015590 19001001 20180131 missing_value=99999.9 ALICE SPRINGS AIRPORT                     
19741001 19741031    73.1
19741101 19741130    10.8
19741201 19741231    48.2
19750101 19750131    17.0
19750201 19750228    84.2
19750301 19750331    60.2
19750401 19750430     0.2
19750501 19750531     0.0
19750601 19750630     3.5
19750701 19750731    28.4
19750801 19750831    33.0
19750901 19750930    57.4
19751001 19751031    31.5
19751101 19751130    56.9
19751201 19751231   228.9
19760101 19760131    97.8
19760201 19760229   210.5
19760301 19760331   157.4
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     3.0
19760801 19760831     0.0
19760901 19760930     0.4
19761001 19761031    47.4
19761101 19761130    34.0
19761201 19761231     1.4
19770101 19770131    13.6
19770201 19770228   140.0
19770301 19770331    40.2
19770401 19770430     0.0
19770501 19770531    11.0
19770601 19770630     0.4
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930    21.0
19771001 19771031    24.6
19771101 19771130   110.4
19771201 19771231    10.8
19780101 19780131   126.2
19780201 19780228     2.4
19780301 19780331    20.0
19780401 19780430     0.0
19780501 19780531    61.4
19780601 19780630    31.0
19780701 19780731    81.6
19780801 19780831    17.6
19780901 19780930    15.2
19781001 19781031    28.0
19781101 19781130    24.0
19781201 19781231    21.4
19790101 19790131    76.2
19790201 19790228    19.0
19790301 19790331    44.4
19790401 19790430    25.2
19790501 19790531    73.8
19790601 19790630     1.0
19790701 19790731     0.0
19790801 19790831     0.8
19790901 19790930    28.0
19791001 19791031     6.4
19791101 19791130    27.8
19791201 19791231     5.4
19800101 19800131     8.0
19800201 19800229     7.2
19800301 19800331     0.6
19800401 19800430    25.8
19800501 19800531    38.6
19800601 19800630     6.6
19800701 19800731    10.8
19800801 19800831     4.8
19800901 19800930     0.0
19801001 19801031    44.4
19801101 19801130     0.6
19801201 19801231    22.0
19810101 19810131    92.6
19810201 19810228    18.8
19810301 19810331     1.2
19810401 19810430     0.0
19810501 19810531     7.2
19810601 19810630     6.6
19810701 19810731    13.0
19810801 19810831     0.0
19810901 19810930     5.2
19811001 19811031     7.4
19811101 19811130    65.0
19811201 19811231    92.6
19820101 19820131     4.6
19820201 19820228   185.6
19820301 19820331    48.6
19820401 19820430     3.6
19820501 19820531     0.0
19820601 19820630     0.2
19820701 19820731     2.6
19820801 19820831     0.0
19820901 19820930    17.2
19821001 19821031     5.4
19821101 19821130     0.0
19821201 19821231    25.8
19830101 19830131    23.2
19830201 19830228     1.4
19830301 19830331   356.8
19830401 19830430    68.2
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831    12.4
19830901 19830930     0.4
19831001 19831031    21.6
19831101 19831130    18.6
19831201 19831231    46.0
19840101 19840131   105.0
19840201 19840229     0.6
19840301 19840331     1.2
19840401 19840430    28.2
19840501 19840531     0.2
19840601 19840630     0.0
19840701 19840731    24.6
19840801 19840831     5.8
19840901 19840930    29.0
19841001 19841031    32.0
19841101 19841130     4.4
19841201 19841231    58.0
19850101 19850131     0.0
19850201 19850228    17.0
19850301 19850331    25.6
19850401 19850430     0.8
19850501 19850531     0.8
19850601 19850630    17.0
19850701 19850731     1.0
19850801 19850831     3.0
19850901 19850930     0.0
19851001 19851031    31.0
19851101 19851130    21.8
19851201 19851231     2.6
19860101 19860131    13.4
19860201 19860228     0.4
19860301 19860331     0.0
19860401 19860430     0.4
19860501 19860531     8.0
19860601 19860630    80.6
19860701 19860731   144.0
19860801 19860831    13.2
19860901 19860930     0.2
19861001 19861031    36.6
19861101 19861130    77.6
19861201 19861231    19.6
19870101 19870131     3.0
19870201 19870228    25.4
19870301 19870331     4.6
19870401 19870430     7.0
19870501 19870531     2.6
19870601 19870630    36.0
19870701 19870731     0.0
19870801 19870831     3.8
19870901 19870930     3.6
19871001 19871031     1.2
19871101 19871130    24.4
19871201 19871231    72.6
19880101 19880131     2.8
19880201 19880229     0.2
19880301 19880331   222.2
19880401 19880430    29.4
19880501 19880531    17.4
19880601 19880630     1.6
19880701 19880731    16.2
19880801 19880831     7.2
19880901 19880930     1.0
19881001 19881031     2.6
19881101 19881130    17.4
19881201 19881231    57.6
19890101 19890131     1.8
19890201 19890228     0.6
19890301 19890331   110.2
19890401 19890430    14.2
19890501 19890531     6.4
19890601 19890630     0.0
19890701 19890731     6.4
19890801 19890831     0.8
19890901 19890930     0.2
19891001 19891031     5.2
19891101 19891130    23.8
19891201 19891231    68.0
19900101 19900131    19.2
19900201 19900228     0.4
19900301 19900331     2.4
19900401 19900430    12.6
19900501 19900531   103.6
19900601 19900630     0.0
19900701 19900731     1.0
19900801 19900831    15.6
19900901 19900930     0.0
19901001 19901031    17.4
19901101 19901130     0.0
19901201 19901231    16.6
19910101 19910131    40.6
19910201 19910228    53.8
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531     0.0
19910601 19910630    17.8
19910701 19910731     2.6
19910801 19910831     0.0
19910901 19910930     7.2
19911001 19911031     0.2
19911101 19911130    19.6
19911201 19911231     6.0
19920101 19920131     9.4
19920201 19920229     9.6
19920301 19920331     0.0
19920401 19920430     6.8
19920501 19920531    65.6
19920601 19920630     0.6
19920701 19920731     0.0
19920801 19920831     6.0
19920901 19920930     7.6
19921001 19921031    20.4
19921101 19921130     7.4
19921201 19921231    61.4
19930101 19930131    13.2
19930201 19930228     3.8
19930301 19930331    14.0
19930401 19930430     4.2
19930501 19930531    90.2
19930601 19930630    36.6
19930701 19930731     7.0
19930801 19930831    15.0
19930901 19930930    33.6
19931001 19931031    63.8
19931101 19931130    20.4
19931201 19931231    40.6
19940101 19940131     0.0
19940201 19940228    43.2
19940301 19940331     0.2
19940401 19940430     1.0
19940501 19940531     0.0
19940601 19940630     7.8
19940701 19940731     0.0
