PRCP       008091 18970701 20040229 missing_value=99999.9 MOORA                                     
19600501 19600531    84.9
19600601 19600630    37.2
19600701 19600731   162.4
19600801 19600831    29.1
19600901 19600930    34.8
19601001 19601031     5.6
19601101 19601130     0.8
19601201 19601231     0.5
19610101 19610131    28.8
19610201 19610228     5.9
19610301 19610331    14.5
19610401 19610430   128.6
19610501 19610531    18.5
19610601 19610630    87.5
19610701 19610731   103.0
19610801 19610831    61.1
19610901 19610930    17.3
19611001 19611031     9.9
19611101 19611130     0.0
19611201 19611231    13.5
19620101 19620131    29.3
19620201 19620228     2.6
19620301 19620331     9.1
19620401 19620430     1.5
19620501 19620531    91.9
19620601 19620630    74.5
19620701 19620731   108.6
19620801 19620831    39.0
19620901 19620930    36.4
19621001 19621031    39.7
19621101 19621130    19.3
19621201 19621231    12.0
19630101 19630131    36.4
19630201 19630228    52.8
19630301 19630331    14.3
19630401 19630430    34.1
19630501 19630531   136.0
19630601 19630630   109.5
19630701 19630731    88.7
19630801 19630831   120.5
19630901 19630930    26.2
19631001 19631031     8.4
19631101 19631130     4.0
19631201 19631231     8.4
19640101 19640131     0.0
19640201 19640229    25.7
19640301 19640331    10.0
19640401 19640430    54.9
19640501 19640531     3.1
19640601 19640630   172.0
19640701 19640731   116.9
19640801 19640831    55.4
19640901 19640930    25.1
19641001 19641031    31.2
19641101 19641130     6.1
19641201 19641231     5.3
19650101 19650131     0.0
19650201 19650228     1.3
19650301 19650331    40.1
19650401 19650430     4.9
19650501 19650531    88.7
19650601 19650630   135.4
19650701 19650731    84.2
19650801 19650831    76.9
19650901 19650930    32.3
19651001 19651031    73.7
19651101 19651130    17.8
19651201 19651231    13.2
19660101 19660131     3.1
19660201 19660228     0.8
19660301 19660331     2.4
19660401 19660430    43.6
19660501 19660531    21.1
19660601 19660630    84.1
19660701 19660731   106.5
19660801 19660831    38.6
19660901 19660930    41.1
19661001 19661031    48.5
19661101 19661130     8.4
19661201 19661231     3.8
19670101 19670131     2.0
19670201 19670228     3.6
19670301 19670331     2.1
19670401 19670430    26.7
19670501 19670531    97.3
19670601 19670630   111.9
19670701 19670731    88.3
19670801 19670831    39.1
19670901 19670930    21.7
19671001 19671031     6.9
19671101 19671130     2.3
19671201 19671231     9.5
19680101 19680131    30.3
19680201 19680229    20.0
19680301 19680331    57.9
19680401 19680430    32.5
19680501 19680531    55.0
19680601 19680630   229.1
19680701 19680731    61.0
19680801 19680831    60.4
19680901 19680930    51.9
19681001 19681031    23.9
19681101 19681130     4.9
19681201 19681231     1.1
19690101 19690131     3.5
19690201 19690228     0.8
19690301 19690331     4.8
19690401 19690430    45.2
19690501 19690531    47.8
19690601 19690630    66.8
19690701 19690731    31.7
19690801 19690831    23.6
19690901 19690930    32.5
19691001 19691031    18.1
19691101 19691130    16.8
19691201 19691231     5.3
19700101 19700131     0.8
19700201 19700228    98.2
19700301 19700331     0.3
19700401 19700430    27.2
19700501 19700531    35.7
19700601 19700630   124.3
19700701 19700731    47.1
19700801 19700831    37.9
19700901 19700930    29.8
19701001 19701031    10.7
19701101 19701130     8.9
19701201 19701231    12.2
19710101 19710131    10.0
19710201 19710228    17.5
19710301 19710331    78.5
19710401 19710430    10.2
19710501 19710531    36.4
19710601 19710630    57.5
19710701 19710731    43.8
19710801 19710831    51.5
19710901 19710930    49.1
19711001 19711031    36.5
19711101 19711130     9.2
19711201 19711231     0.5
19720101 19720131     0.0
19720201 19720229     0.8
19720301 19720331     1.6
19720401 19720430    13.5
19720501 19720531    34.5
19720601 19720630    74.5
19720701 19720731    86.1
19720801 19720831    88.5
19720901 19720930    29.9
19721001 19721031     5.6
19721101 19721130     1.3
19721201 19721231     0.0
19730101 19730131     1.8
19730201 19730228     0.5
19730301 19730331     2.0
19730401 19730430    22.7
19730501 19730531    39.0
19730601 19730630    94.7
19730701 19730731    98.0
19730801 19730831    70.8
19730901 19730930    88.8
19731001 19731031    21.6
19731101 19731130    24.8
19731201 19731231     5.8
19740101 19740131     0.0
19740201 19740228    11.0
19740301 19740331    22.0
19740401 19740430    83.0
19740501 19740531   118.2
19740601 19740630    86.6
19740701 19740731   114.9
19740801 19740831    64.1
19740901 19740930    13.0
19741001 19741031    30.0
19741101 19741130     3.0
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     2.0
19750301 19750331    26.0
19750401 19750430    79.5
19750501 19750531    42.0
19750601 19750630    71.1
19750701 19750731   139.8
19750801 19750831    37.0
19750901 19750930    62.6
19751001 19751031    45.2
19751101 19751130     5.9
19751201 19751231     1.0
19760101 19760131     8.0
19760201 19760229    45.7
19760301 19760331     3.0
19760401 19760430    24.8
19760501 19760531    61.7
19760601 19760630    34.7
19760701 19760731    29.4
19760801 19760831    84.1
19760901 19760930    25.5
19761001 19761031    19.8
19761101 19761130    21.5
19761201 19761231     0.0
19770101 19770131     1.7
19770201 19770228     7.9
19770301 19770331     0.1
19770401 19770430    10.1
19770501 19770531    57.0
19770601 19770630    45.0
19770701 19770731    31.8
19770801 19770831    74.6
19770901 19770930    11.2
19771001 19771031    33.5
19771101 19771130     3.1
19771201 19771231    17.1
19780101 19780131    13.7
19780201 19780228    14.2
19780301 19780331     0.0
19780401 19780430    26.3
19780501 19780531    29.3
19780601 19780630    81.2
19780701 19780731    87.0
19780801 19780831    16.4
19780901 19780930    48.0
19781001 19781031     9.2
19781101 19781130     4.4
19781201 19781231    24.2
19790101 19790131     0.0
19790201 19790228    15.3
19790301 19790331    22.5
19790401 19790430    24.0
19790501 19790531    22.0
19790601 19790630    98.3
19790701 19790731    33.4
19790801 19790831    59.6
19790901 19790930    16.8
19791001 19791031     4.1
19791101 19791130    55.8
19791201 19791231     7.8
19800101 19800131     0.0
19800201 19800229    51.1
19800301 19800331     0.8
19800401 19800430    46.4
19800501 19800531    39.3
19800601 19800630    60.6
19800701 19800731    77.0
19800801 19800831    49.8
19800901 19800930    26.0
19801001 19801031    21.6
19801101 19801130     2.6
19801201 19801231     1.0
19810101 19810131     3.6
19810201 19810228    15.6
19810301 19810331     2.8
19810401 19810430     9.6
19810501 19810531   108.1
19810601 19810630    75.5
19810701 19810731    82.6
19810801 19810831    61.8
19810901 19810930    18.0
19811001 19811031    14.3
19811101 19811130    16.7
19811201 19811231     8.4
19820101 19820131    45.9
19820201 19820228     3.4
19820301 19820331    11.4
19820401 19820430     0.0
19820501 19820531    33.5
19820601 19820630    99.4
19820701 19820731    51.4
19820801 19820831    76.2
19820901 19820930    47.5
19821001 19821031    20.8
19821101 19821130     1.2
19821201 19821231     5.0
19830101 19830131     0.1
19830201 19830228     6.3
19830301 19830331    18.4
19830401 19830430     9.6
19830501 19830531    20.2
19830601 19830630   135.3
19830701 19830731   109.8
19830801 19830831    62.9
19830901 19830930    51.8
19831001 19831031     7.0
19831101 19831130    39.4
19831201 19831231    45.0
19840101 19840131     0.6
19840201 19840229     8.9
19840301 19840331    45.5
19840401 19840430    40.8
19840501 19840531   136.1
19840601 19840630    26.4
19840701 19840731    57.6
19840801 19840831    59.8
19840901 19840930    37.0
19841001 19841031    19.2
19841101 19841130    39.3
19841201 19841231     5.5
19850101 19850131     0.0
19850201 19850228    73.8
19850301 19850331    18.1
19850401 19850430     7.3
19850501 19850531    46.6
19850601 19850630    45.2
19850701 19850731    79.5
19850801 19850831    67.7
19850901 19850930    32.9
19851001 19851031    15.4
19851101 19851130     9.0
19851201 19851231     9.2
19860101 19860131    13.4
19860201 19860228    79.7
19860301 19860331     7.0
19860401 19860430     8.4
19860501 19860531    62.4
19860601 19860630   104.3
19860701 19860731   103.0
19860801 19860831    78.7
19860901 19860930    29.6
19861001 19861031    22.4
19861101 19861130     6.6
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331    11.2
19870401 19870430    28.4
19870501 19870531    74.7
19870601 19870630    81.7
19870701 19870731    86.2
19870801 19870831    99.0
19870901 19870930    25.6
19871001 19871031    28.8
19871101 19871130    21.4
19871201 19871231     5.2
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    19.9
19880401 19880430    45.5
19880501 19880531    95.2
19880601 19880630   118.1
19880701 19880731    87.6
19880801 19880831    78.9
19880901 19880930    23.2
19881001 19881031    15.4
19881101 19881130     8.3
19881201 19881231    36.7
19890101 19890131     8.0
19890201 19890228    15.8
19890301 19890331     0.0
19890401 19890430    34.1
19890501 19890531    98.6
19890601 19890630    47.2
19890701 19890731    63.4
19890801 19890831    36.8
19890901 19890930    15.0
19891001 19891031    35.0
19891101 19891130     5.0
19891201 19891231     1.6
19900101 19900131    89.6
19900201 19900228    22.2
19900301 19900331    30.0
19900401 19900430    54.4
19900501 19900531    40.4
19900601 19900630    58.0
19900701 19900731    92.2
19900801 19900831    42.9
19900901 19900930    36.6
19901001 19901031    38.8
19901101 19901130     1.0
19901201 19901231     9.9
19910101 19910131    22.2
19910201 19910228     6.2
19910301 19910331     0.8
19910401 19910430    13.2
19910501 19910531    61.0
19910601 19910630    85.5
19910701 19910731   120.2
19910801 19910831    47.7
19910901 19910930    32.8
19911001 19911031    25.2
19911101 19911130    45.0
19911201 19911231    46.2
19920101 19920131     0.6
19920201 19920229    45.8
19920301 19920331    34.4
19920401 19920430    37.3
19920501 19920531    23.2
19920601 19920630    74.7
19920701 19920731    71.1
19920801 19920831    99.9
19920901 19920930    35.4
19921001 19921031    11.6
19921101 19921130    19.2
19921201 19921231     7.4
19930101 19930131     0.8
19930201 19930228     0.0
19930301 19930331     3.0
19930401 19930430     7.4
19930501 19930531   152.4
19930601 19930630    64.8
19930701 19930731    50.8
19930801 19930831    78.4
19930901 19930930    28.2
