PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
19460701 19460731    70.4
19460801 19460831    35.0
19460901 19460930    24.2
19461001 19461031    14.5
19461101 19461130    24.1
19461201 19461231    33.3
19470101 19470131     9.2
19470201 19470228    62.2
19470301 19470331    76.1
19470401 19470430    19.1
19470501 19470531    14.7
19470601 19470630    40.0
19470701 19470731    71.3
19470801 19470831    48.8
19470901 19470930    51.8
19471001 19471031    61.8
19471101 19471130    52.9
19471201 19471231    66.0
19480101 19480131     0.0
19480201 19480229    17.5
19480301 19480331     4.5
19480401 19480430    74.5
19480501 19480531    32.5
19480601 19480630    53.5
19480701 19480731    30.6
19480801 19480831    37.4
19480901 19480930    30.8
19481001 19481031    72.3
19481101 19481130    30.8
19481201 19481231    44.0
19490101 19490131    10.2
19490201 19490228    55.1
19490301 19490331     7.4
19490401 19490430     0.0
19490501 19490531    31.6
19490601 19490630    15.1
19490701 19490731    31.0
19490801 19490831    15.2
19490901 19490930    35.6
19491001 19491031    73.9
19491101 19491130    54.2
19491201 19491231     1.5
19500101 19500131     0.0
19500201 19500228    68.6
19500301 19500331    75.8
19500401 19500430    16.0
19500501 19500531    74.7
19500601 19500630    16.6
19500701 19500731    25.5
19500801 19500831    27.3
19500901 19500930    53.6
19501001 19501031    20.9
19501101 19501130    25.6
19501201 19501231    14.0
19510101 19510131    24.4
19510201 19510228    21.1
19510301 19510331    15.5
19510401 19510430    24.8
19510501 19510531    62.7
19510601 19510630    48.6
19510701 19510731    54.9
19510801 19510831    46.8
19510901 19510930    18.2
19511001 19511031    74.1
19511101 19511130     5.1
19511201 19511231    31.5
19520101 19520131    77.0
19520201 19520229    24.6
19520301 19520331    14.0
19520401 19520430    23.4
19520501 19520531    67.9
19520601 19520630    60.7
19520701 19520731    20.1
19520801 19520831    38.2
19520901 19520930    32.5
19521001 19521031    36.7
19521101 19521130    41.5
19521201 19521231    11.9
19530101 19530131    30.2
19530201 19530228     0.0
19530301 19530331     0.8
19530401 19530430    26.1
19530501 19530531    12.8
19530601 19530630    74.2
19530701 19530731    65.2
19530801 19530831    65.2
19530901 19530930    42.3
19531001 19531031    39.0
19531101 19531130    66.1
19531201 19531231    36.6
19540101 19540131    41.1
19540201 19540228     0.0
19540301 19540331     3.8
19540401 19540430   109.0
19540501 19540531    14.0
19540601 19540630    37.5
19540701 19540731    36.2
19540801 19540831    55.2
19540901 19540930    18.8
19541001 19541031    44.4
19541101 19541130    26.6
19541201 19541231    40.8
19550101 19550131     3.3
19550201 19550228    39.3
19550301 19550331     6.4
19550401 19550430    22.2
19550501 19550531    58.5
19550601 19550630   106.9
19550701 19550731    29.1
19550801 19550831    87.3
19550901 19550930    37.5
19551001 19551031    60.6
19551101 19551130    32.0
19551201 19551231    16.8
19560101 19560131    15.4
19560201 19560229     0.0
19560301 19560331    61.0
19560401 19560430    43.7
19560501 19560531   108.4
19560601 19560630    67.0
19560701 19560731    74.0
19560801 19560831    43.2
19560901 19560930    43.9
19561001 19561031    73.2
19561101 19561130    19.6
19561201 19561231    11.7
19570101 19570131     1.3
19570201 19570228    30.5
19570301 19570331    10.9
19570401 19570430    12.1
19570501 19570531    22.0
19570601 19570630    32.3
19570701 19570731    47.9
19570801 19570831    29.9
19570901 19570930    19.4
19571001 19571031    31.4
19571101 19571130    25.7
19571201 19571231     2.0
19580101 19580131     2.8
19580201 19580228     2.3
19580301 19580331     8.7
19580401 19580430     8.9
19580501 19580531    63.6
19580601 19580630     4.6
19580701 19580731    58.9
19580801 19580831    66.8
19580901 19580930    32.4
19581001 19581031    54.8
19581101 19581130    33.0
19581201 19581231     2.8
19590101 19590131     8.9
19590201 19590228    45.2
19590301 19590331    17.0
19590401 19590430     0.0
19590501 19590531    14.5
19590601 19590630     8.5
19590701 19590731     9.3
19590801 19590831    50.2
19590901 19590930    17.1
19591001 19591031    27.3
19591101 19591130    21.6
19591201 19591231    39.6
19600101 19600131    37.1
19600201 19600229    37.9
19600301 19600331    15.3
19600401 19600430    44.7
19600501 19600531    91.4
19600601 19600630    23.5
19600701 19600731    33.4
19600801 19600831    37.5
19600901 19600930    90.4
19601001 19601031    13.3
19601101 19601130    44.8
19601201 19601231     8.1
19610101 19610131     1.3
19610201 19610228    14.0
19610301 19610331     9.4
19610401 19610430    80.0
19610501 19610531    16.5
19610601 19610630    22.3
19610701 19610731    68.6
19610801 19610831    22.9
19610901 19610930    34.7
19611001 19611031    15.7
19611101 19611130    18.1
19611201 19611231    73.3
19620101 19620131    15.0
19620201 19620228    11.4
19620301 19620331    10.9
19620401 19620430     5.6
19620501 19620531    43.7
19620601 19620630    47.1
19620701 19620731    13.1
19620801 19620831    45.3
19620901 19620930    63.1
19621001 19621031    37.9
19621101 19621130    10.7
19621201 19621231    38.6
19630101 19630131    58.3
19630201 19630228     0.5
19630301 19630331     8.4
19630401 19630430    14.5
19630501 19630531    53.1
19630601 19630630    74.0
19630701 19630731    36.4
19630801 19630831    46.3
19630901 19630930    54.3
19631001 19631031    16.2
19631101 19631130     2.3
19631201 19631231     4.8
19640101 19640131     4.7
19640201 19640229     8.0
19640301 19640331     6.1
19640401 19640430    53.2
19640501 19640531    18.6
19640601 19640630    50.9
19640701 19640731    63.4
19640801 19640831    38.5
19640901 19640930    93.1
19641001 19641031    76.8
