PRCP       016006 19100101 20180131 missing_value=99999.9 COMMONWEALTH HILL                         
19890601 19890630    28.2
19890701 19890731     8.2
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     2.6
19891101 19891130     6.6
19891201 19891231     5.0
19900101 19900131    32.4
19900201 19900228     7.8
19900301 19900331    20.2
19900401 19900430     0.0
19900501 19900531    30.4
19900601 19900630     5.0
19900701 19900731     5.6
19900801 19900831    10.0
19900901 19900930     7.2
19901001 19901031     5.2
19901101 19901130     1.0
19901201 19901231    17.2
19910101 19910131     5.2
19910201 19910228     0.0
19910301 19910331    19.6
19910401 19910430     5.6
19910501 19910531     3.0
19910601 19910630    35.2
19910701 19910731     1.2
19910801 19910831     9.0
19910901 19910930     2.0
19911001 19911031     0.0
19911101 19911130    21.0
19911201 19911231     3.2
19920101 19920131     1.0
19920201 19920229    70.6
19920301 19920331     7.4
19920401 19920430    15.0
19920501 19920531    18.4
19920601 19920630     6.4
19920701 19920731     1.8
19920801 19920831    32.0
19920901 19920930    45.6
19921001 19921031    62.8
19921101 19921130    12.2
19921201 19921231    61.2
19930101 19930131    22.4
19930201 19930228     0.0
19930301 19930331     2.0
19930401 19930430     0.0
19930501 19930531    19.6
19930601 19930630     4.0
19930701 19930731    28.4
19930801 19930831    12.2
19930901 19930930    17.4
19931001 19931031    46.8
19931101 19931130     4.0
19931201 19931231    18.4
19940101 19940131     0.0
19940201 19940228    85.6
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    18.6
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031 99999.9
19941101 19941130     7.2
19941201 19941231    25.0
19950101 19950131   101.6
19950201 19950228     9.4
19950301 19950331     0.0
19950401 19950430     8.4
19950501 19950531     2.6
19950601 19950630    31.8
19950701 19950731     9.4
19950801 19950831     1.4
19950901 19950930    15.6
19951001 19951031    12.4
19951101 19951130     5.6
19951201 19951231    14.4
19960101 19960131     0.0
19960201 19960229     0.0
19960301 19960331     0.8
19960401 19960430     0.0
19960501 19960531     1.6
19960601 19960630    22.0
19960701 19960731    31.0
19960801 19960831    13.8
19960901 19960930    20.4
19961001 19961031     3.6
19961101 19961130    14.8
19961201 19961231    25.6
19970101 19970131 99999.9
19970201 19970228   150.2
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    17.0
19970601 19970630     2.4
19970701 19970731     0.0
19970801 19970831    39.4
19970901 19970930    17.0
