PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
19251101 19251130    47.0
19251201 19251231    60.3
19260101 19260131    51.0
19260201 19260228    17.5
19260301 19260331    25.1
19260401 19260430    65.0
19260501 19260531    61.5
19260601 19260630    25.7
19260701 19260731    35.3
19260801 19260831    10.2
19260901 19260930    32.3
19261001 19261031    15.8
19261101 19261130     1.8
19261201 19261231    94.0
19270101 19270131   127.2
19270201 19270228    19.6
19270301 19270331    83.0
19270401 19270430    43.5
19270501 19270531     7.8
19270601 19270630    41.2
19270701 19270731     2.5
19270801 19270831    12.7
19270901 19270930     0.0
19271001 19271031    51.1
19271101 19271130    51.8
19271201 19271231    61.0
19280101 19280131    71.3
19280201 19280229   171.5
19280301 19280331    58.2
19280401 19280430    77.3
19280501 19280531     4.0
19280601 19280630    93.3
19280701 19280731    52.8
19280801 19280831     0.0
19280901 19280930     3.3
19281001 19281031     8.6
19281101 19281130    32.0
19281201 19281231    10.8
19290101 19290131    21.3
19290201 19290228    40.0
19290301 19290331   154.4
19290401 19290430     6.1
19290501 19290531     5.6
19290601 19290630    29.2
19290701 19290731     9.1
19290801 19290831    30.6
19290901 19290930    21.9
19291001 19291031    30.0
19291101 19291130    58.2
19291201 19291231    38.4
19300101 19300131    25.4
19300201 19300228     6.3
19300301 19300331    41.3
19300401 19300430    63.7
19300501 19300531    35.2
19300601 19300630    78.6
19300701 19300731    49.2
19300801 19300831    53.1
19300901 19300930    23.9
19301001 19301031    54.9
19301101 19301130    31.7
19301201 19301231    21.5
19310101 19310131    27.2
19310201 19310228    24.4
19310301 19310331   233.6
19310401 19310430    45.5
19310501 19310531    41.7
19310601 19310630    51.1
19310701 19310731    26.8
19310801 19310831     3.0
19310901 19310930    37.8
19311001 19311031    20.0
19311101 19311130    72.8
19311201 19311231   107.2
19320101 19320131    12.2
19320201 19320229     6.6
19320301 19320331    38.6
19320401 19320430    52.8
19320501 19320531    28.2
19320601 19320630    33.9
19320701 19320731    46.4
19320801 19320831     4.1
19320901 19320930    98.0
19321001 19321031    37.9
19321101 19321130    68.2
19321201 19321231    35.8
19330101 19330131    72.0
19330201 19330228    27.0
19330301 19330331     8.4
19330401 19330430    31.3
19330501 19330531    36.0
19330601 19330630    53.8
19330701 19330731    84.1
19330801 19330831    48.6
19330901 19330930    50.4
19331001 19331031    48.5
19331101 19331130   112.8
19331201 19331231    40.6
19340101 19340131    25.4
19340201 19340228   180.7
19340301 19340331     2.8
19340401 19340430    10.7
19340501 19340531    36.6
19340601 19340630    22.4
19340701 19340731    40.9
19340801 19340831    61.6
19340901 19340930    25.4
19341001 19341031   116.2
19341101 19341130    18.2
19341201 19341231   141.5
19350101 19350131    80.5
19350201 19350228    18.3
19350301 19350331     0.0
19350401 19350430    21.0
19350501 19350531    18.8
19350601 19350630    17.0
19350701 19350731    29.9
19350801 19350831    10.4
19350901 19350930    62.1
19351001 19351031    30.9
19351101 19351130    12.2
19351201 19351231     9.9
19360101 19360131    93.9
19360201 19360229    35.1
19360301 19360331    54.8
19360401 19360430     1.5
19360501 19360531    48.2
19360601 19360630    17.1
19360701 19360731    88.3
19360801 19360831    35.8
19360901 19360930    39.1
19361001 19361031     6.0
19361101 19361130     3.0
19361201 19361231    99.3
19370101 19370131    69.5
19370201 19370228    34.3
19370301 19370331   203.3
19370401 19370430     2.8
19370501 19370531     2.1
19370601 19370630    70.6
19370701 19370731    16.0
19370801 19370831    10.6
19370901 19370930     7.1
19371001 19371031    24.9
19371101 19371130    91.6
19371201 19371231    33.2
19380101 19380131    22.8
19380201 19380228   144.6
19380301 19380331     8.1
19380401 19380430    27.5
19380501 19380531   148.1
19380601 19380630    29.7
19380701 19380731    14.8
19380801 19380831    32.3
19380901 19380930    20.0
19381001 19381031    67.3
19381101 19381130    93.0
19381201 19381231     2.1
19390101 19390131    63.1
19390201 19390228     7.6
19390301 19390331    53.1
19390401 19390430    56.8
19390501 19390531     5.3
19390601 19390630    36.1
19390701 19390731    78.2
19390801 19390831    62.0
19390901 19390930    18.8
19391001 19391031    17.3
19391101 19391130    44.7
19391201 19391231    12.4
19400101 19400131    26.8
19400201 19400229    75.6
19400301 19400331   107.2
19400401 19400430    15.3
19400501 19400531     6.2
19400601 19400630     0.8
19400701 19400731     1.3
19400801 19400831     6.6
19400901 19400930    28.2
19401001 19401031     9.2
19401101 19401130    35.8
19401201 19401231   101.0
19410101 19410131   141.0
19410201 19410228    62.9
19410301 19410331    94.9
19410401 19410430     5.6
19410501 19410531     4.9
19410601 19410630    22.9
19410701 19410731     9.1
19410801 19410831     3.3
19410901 19410930     4.5
19411001 19411031    36.1
19411101 19411130    45.8
19411201 19411231     3.6
19420101 19420131    42.0
19420201 19420228    55.6
19420301 19420331    38.5
19420401 19420430     0.0
19420501 19420531    33.6
19420601 19420630    46.3
19420701 19420731    61.2
19420801 19420831     6.8
19420901 19420930    11.8
19421001 19421031    65.9
19421101 19421130    26.4
19421201 19421231   172.4
19430101 19430131    34.9
19430201 19430228     0.8
19430301 19430331     0.0
19430401 19430430    59.4
19430501 19430531    34.7
19430601 19430630    24.9
19430701 19430731    21.3
19430801 19430831    39.1
19430901 19430930    30.4
19431001 19431031    24.2
19431101 19431130    98.8
19431201 19431231   140.0
19440101 19440131    48.3
19440201 19440229    10.7
19440301 19440331    17.3
19440401 19440430     9.1
19440501 19440531    21.9
19440601 19440630    12.4
19440701 19440731    47.3
19440801 19440831    87.9
19440901 19440930    22.8
19441001 19441031    15.7
19441101 19441130    10.7
19441201 19441231    31.2
