PRCP       036007 18861201 20180131 missing_value=99999.9 BARCALDINE POST OFFICE                    
19360201 19360229    15.7
19360301 19360331   326.0
19360401 19360430     0.0
19360501 19360531    41.3
19360601 19360630    21.3
19360701 19360731    57.0
19360801 19360831     2.3
19360901 19360930    13.7
19361001 19361031     1.8
19361101 19361130    18.9
19361201 19361231    41.5
19370101 19370131    36.9
19370201 19370228    24.5
19370301 19370331   127.8
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    24.7
19370701 19370731    16.2
19370801 19370831     6.4
19370901 19370930     0.0
19371001 19371031     0.8
19371101 19371130    29.8
19371201 19371231    20.4
19380101 19380131   228.5
19380201 19380228   116.3
19380301 19380331     4.5
19380401 19380430     0.0
19380501 19380531    19.6
19380601 19380630    46.2
19380701 19380731    26.5
19380801 19380831    33.0
19380901 19380930     1.5
19381001 19381031     1.0
19381101 19381130    70.2
19381201 19381231     0.0
19390101 19390131    71.3
19390201 19390228    32.8
19390301 19390331   134.2
19390401 19390430    75.0
19390501 19390531     6.9
19390601 19390630    24.1
19390701 19390731    22.9
19390801 19390831    53.6
19390901 19390930     0.0
19391001 19391031    67.2
19391101 19391130     9.4
19391201 19391231    27.7
19400101 19400131    32.9
19400201 19400229   362.6
19400301 19400331     0.3
19400401 19400430     3.1
19400501 19400531     8.6
19400601 19400630    10.4
19400701 19400731     0.0
19400801 19400831    72.1
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    57.4
19401201 19401231    73.6
19410101 19410131   276.3
19410201 19410228     8.0
19410301 19410331   311.0
19410401 19410430    77.7
19410501 19410531    14.0
19410601 19410630    76.7
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    13.2
19411101 19411130   121.9
19411201 19411231    42.0
19420101 19420131    22.1
19420201 19420228    33.8
19420301 19420331     9.4
19420401 19420430    40.3
19420501 19420531    86.4
19420601 19420630    53.1
19420701 19420731    12.2
19420801 19420831    13.5
19420901 19420930    16.0
19421001 19421031    32.5
19421101 19421130    72.4
19421201 19421231   131.4
19430101 19430131     1.8
19430201 19430228    86.4
19430301 19430331    50.8
19430401 19430430    24.9
19430501 19430531     4.1
19430601 19430630    27.2
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    51.2
19431001 19431031     3.8
19431101 19431130    18.7
19431201 19431231    42.8
19440101 19440131    11.2
19440201 19440229   166.2
19440301 19440331     0.5
19440401 19440430    13.9
19440501 19440531    11.1
19440601 19440630     2.3
19440701 19440731     4.8
19440801 19440831    16.8
19440901 19440930     3.8
19441001 19441031    10.6
19441101 19441130    15.2
19441201 19441231    38.4
19450101 19450131    30.0
19450201 19450228    18.7
19450301 19450331     0.0
19450401 19450430     3.3
19450501 19450531    44.8
19450601 19450630    96.3
19450701 19450731    60.2
19450801 19450831     5.3
19450901 19450930     1.3
19451001 19451031    79.8
19451101 19451130    15.0
19451201 19451231    12.7
19460101 19460131    67.5
19460201 19460228    32.8
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531    10.0
19460601 19460630     5.6
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     2.5
19461101 19461130    25.0
19461201 19461231     2.6
19470101 19470131    23.5
19470201 19470228   158.0
19470301 19470331    20.6
19470401 19470430     0.0
19470501 19470531     3.6
19470601 19470630     2.0
19470701 19470731     0.0
19470801 19470831    70.2
19470901 19470930    66.6
