PRCP       041013 19030101 20171231 missing_value=99999.9 CANNING DOWNS                             
19520301 19520331    98.0
19520401 19520430    61.7
19520501 19520531   119.5
19520601 19520630    54.3
19520701 19520731     6.9
19520801 19520831    40.5
19520901 19520930    13.6
19521001 19521031   201.4
19521101 19521130    46.0
19521201 19521231    46.5
19530101 19530131   132.1
19530201 19530228    97.3
19530301 19530331    36.1
19530401 19530430    26.2
19530501 19530531    28.7
19530601 19530630     1.3
19530701 19530731     3.8
19530801 19530831    41.4
19530901 19530930     0.5
19531001 19531031    30.4
19531101 19531130   135.6
19531201 19531231    29.3
19540101 19540131    43.4
19540201 19540228   174.6
19540301 19540331    21.9
19540401 19540430    16.1
19540501 19540531     9.0
19540601 19540630    29.5
19540701 19540731    20.6
19540801 19540831    62.1
19540901 19540930    61.5
19541001 19541031   192.8
19541101 19541130    79.9
19541201 19541231    11.2
19550101 19550131    84.1
19550201 19550228    52.3
19550301 19550331    67.6
19550401 19550430    83.6
19550501 19550531    77.1
19550601 19550630    10.7
19550701 19550731    42.0
19550801 19550831    19.8
19550901 19550930    34.9
19551001 19551031   123.9
19551101 19551130    21.1
19551201 19551231   169.9
19560101 19560131   130.9
19560201 19560229   142.8
19560301 19560331    15.5
19560401 19560430    94.3
19560501 19560531    81.5
19560601 19560630    65.0
19560701 19560731    48.9
19560801 19560831     9.4
19560901 19560930    46.5
19561001 19561031    49.8
19561101 19561130    57.4
19561201 19561231   251.8
19570101 19570131   109.1
19570201 19570228    47.9
19570301 19570331    33.2
19570401 19570430     7.6
19570501 19570531     0.0
19570601 19570630    35.8
19570701 19570731    59.5
19570801 19570831    46.6
19570901 19570930    13.5
19571001 19571031    38.1
19571101 19571130     1.8
19571201 19571231    14.4
19580101 19580131    36.9
19580201 19580228    47.5
19580301 19580331    64.3
19580401 19580430    30.8
19580501 19580531     7.4
19580601 19580630    62.5
19580701 19580731    12.7
19580801 19580831    42.5
19580901 19580930    46.2
19581001 19581031    70.3
19581101 19581130    58.6
19581201 19581231   159.6
19590101 19590131   126.4
19590201 19590228    83.5
19590301 19590331   111.8
19590401 19590430     8.4
19590501 19590531    29.7
19590601 19590630     1.4
19590701 19590731    46.9
19590801 19590831     1.3
19590901 19590930    41.6
19591001 19591031   142.6
19591101 19591130   160.6
19591201 19591231   172.3
19600101 19600131    52.3
19600201 19600229   107.2
19600301 19600331    28.2
19600401 19600430    24.3
19600501 19600531    51.1
19600601 19600630    30.7
19600701 19600731    26.7
19600801 19600831    34.0
19600901 19600930    11.0
19601001 19601031    99.0
19601101 19601130    47.7
19601201 19601231   107.0
19610101 19610131    45.0
19610201 19610228   136.4
19610301 19610331    44.7
19610401 19610430     6.8
19610501 19610531    17.2
19610601 19610630    11.7
19610701 19610731    99.7
19610801 19610831    44.7
19610901 19610930    14.6
19611001 19611031    50.3
19611101 19611130   147.7
19611201 19611231    98.3
19620101 19620131   155.3
19620201 19620228    99.6
19620301 19620331   164.0
19620401 19620430    74.3
19620501 19620531    16.3
19620601 19620630     3.6
19620701 19620731    64.7
19620801 19620831    41.6
19620901 19620930    61.7
19621001 19621031    39.8
19621101 19621130    38.1
19621201 19621231    92.2
19630101 19630131    33.8
19630201 19630228    76.3
19630301 19630331   191.8
19630401 19630430    10.4
19630501 19630531    96.1
19630601 19630630     9.7
19630701 19630731     3.6
19630801 19630831    48.4
19630901 19630930    20.3
19631001 19631031     9.4
19631101 19631130    67.0
19631201 19631231   136.9
19640101 19640131    58.4
19640201 19640229    25.8
19640301 19640331   178.7
19640401 19640430    73.7
19640501 19640531    51.6
19640601 19640630    35.9
19640701 19640731    30.8
19640801 19640831    21.9
19640901 19640930    29.0
19641001 19641031    61.0
19641101 19641130    44.5
19641201 19641231    98.9
19650101 19650131    45.8
19650201 19650228    43.2
19650301 19650331     2.1
19650401 19650430    14.0
19650501 19650531     4.8
19650601 19650630    33.6
19650701 19650731   145.2
19650801 19650831    38.3
19650901 19650930    37.8
19651001 19651031    51.8
19651101 19651130    41.9
19651201 19651231   230.7
19660101 19660131    16.5
19660201 19660228   116.7
19660301 19660331    67.2
19660401 19660430    49.4
19660501 19660531     0.0
19660601 19660630    65.7
19660701 19660731     2.6
19660801 19660831   101.3
19660901 19660930    42.4
19661001 19661031    38.8
19661101 19661130    76.0
19661201 19661231   114.8
19670101 19670131    51.5
19670201 19670228    59.6
19670301 19670331   140.0
19670401 19670430    14.0
19670501 19670531    44.2
19670601 19670630    99.8
19670701 19670731    22.8
19670801 19670831    33.5
19670901 19670930     9.0
19671001 19671031    59.9
19671101 19671130    76.1
19671201 19671231    59.5
19680101 19680131   126.5
19680201 19680229    45.3
19680301 19680331    76.2
19680401 19680430    73.5
19680501 19680531    58.1
19680601 19680630    14.0
19680701 19680731    75.4
19680801 19680831    97.7
19680901 19680930    18.5
19681001 19681031    12.5
19681101 19681130    63.2
19681201 19681231    92.9
19690101 19690131   103.3
19690201 19690228    29.7
19690301 19690331     9.4
19690401 19690430     9.7
19690501 19690531   104.1
19690601 19690630    19.6
19690701 19690731    17.8
19690801 19690831    34.6
19690901 19690930    25.8
19691001 19691031    82.1
19691101 19691130    56.9
19691201 19691231    32.3
19700101 19700131   135.6
19700201 19700228    52.4
19700301 19700331    72.3
19700401 19700430    48.0
19700501 19700531    11.7
19700601 19700630    13.4
19700701 19700731     3.1
19700801 19700831    21.3
19700901 19700930    78.7
19701001 19701031   122.3
19701101 19701130    41.6
19701201 19701231   212.7
19710101 19710131   154.6
19710201 19710228   200.0
19710301 19710331     8.1
19710401 19710430    12.9
19710501 19710531    28.1
19710601 19710630     0.0
19710701 19710731    38.2
19710801 19710831    54.3
19710901 19710930    49.4
19711001 19711031    54.7
19711101 19711130    71.4
19711201 19711231    63.8
19720101 19720131    75.5
19720201 19720229    55.6
19720301 19720331    53.3
19720401 19720430    19.6
19720501 19720531    24.6
19720601 19720630     3.0
19720701 19720731     0.0
19720801 19720831    53.7
19720901 19720930    10.6
19721001 19721031   191.8
19721101 19721130    53.5
19721201 19721231   115.6
19730101 19730131    92.0
19730201 19730228   128.7
19730301 19730331    42.2
19730401 19730430     0.0
19730501 19730531    33.8
19730601 19730630    20.6
19730701 19730731   102.7
19730801 19730831    44.7
19730901 19730930    39.3
19731001 19731031    45.7
19731101 19731130   178.5
19731201 19731231    90.3
19740101 19740131   213.6
19740201 19740228    14.8
19740301 19740331    54.4
19740401 19740430    36.9
19740501 19740531    44.7
19740601 19740630    19.4
19740701 19740731     4.4
19740801 19740831    39.0
19740901 19740930    40.2
19741001 19741031    90.4
19741101 19741130   123.2
19741201 19741231    65.0
19750101 19750131    92.4
19750201 19750228   166.6
19750301 19750331   119.8
19750401 19750430    15.4
19750501 19750531     3.0
19750601 19750630    42.0
19750701 19750731    56.8
19750801 19750831    32.6
19750901 19750930    62.4
19751001 19751031   106.9
19751101 19751130    96.8
19751201 19751231   273.4
19760101 19760131    63.0
19760201 19760229   236.4
19760301 19760331    39.6
19760401 19760430     2.8
19760501 19760531    32.2
19760601 19760630    27.0
19760701 19760731    67.2
19760801 19760831    24.8
19760901 19760930   104.0
19761001 19761031   104.4
19761101 19761130   162.2
19761201 19761231    33.4
19770101 19770131    82.4
19770201 19770228   137.2
19770301 19770331    82.8
19770401 19770430    68.6
19770501 19770531    76.0
19770601 19770630    11.6
19770701 19770731     2.0
19770801 19770831     7.0
19770901 19770930     9.0
19771001 19771031    11.6
19771101 19771130    78.6
19771201 19771231    21.8
19780101 19780131    74.8
19780201 19780228    30.6
19780301 19780331    97.0
19780401 19780430    37.8
19780501 19780531    53.1
19780601 19780630    37.2
19780701 19780731    67.8
19780801 19780831    46.2
19780901 19780930    85.2
19781001 19781031    52.2
19781101 19781130    93.0
19781201 19781231   100.0
19790101 19790131    27.6
19790201 19790228    23.6
19790301 19790331   139.2
19790401 19790430    12.8
19790501 19790531    25.6
19790601 19790630    78.8
19790701 19790731    24.2
19790801 19790831     7.2
19790901 19790930    13.8
19791001 19791031    56.4
19791101 19791130    61.4
19791201 19791231    50.6
19800101 19800131    73.0
19800201 19800229    74.6
19800301 19800331    22.4
19800401 19800430     0.4
19800501 19800531   131.6
19800601 19800630    12.4
19800701 19800731    23.0
19800801 19800831    26.2
19800901 19800930     0.0
19801001 19801031    44.2
19801101 19801130    33.6
19801201 19801231    97.8
19810101 19810131    17.2
19810201 19810228   111.2
19810301 19810331    76.4
19810401 19810430    38.0
19810501 19810531    42.0
19810601 19810630    42.4
19810701 19810731    46.6
19810801 19810831    24.6
19810901 19810930     7.0
19811001 19811031    36.4
19811101 19811130   118.6
19811201 19811231    97.2
19820101 19820131    47.4
19820201 19820228   124.0
19820301 19820331    70.8
19820401 19820430    19.6
19820501 19820531    19.2
19820601 19820630     5.4
19820701 19820731    11.0
19820801 19820831     3.0
19820901 19820930    53.0
19821001 19821031    81.4
19821101 19821130    14.6
19821201 19821231   102.6
19830101 19830131    24.8
19830201 19830228    53.4
19830301 19830331    57.0
19830401 19830430    87.8
19830501 19830531   247.8
19830601 19830630    60.6
19830701 19830731    59.6
19830801 19830831    41.0
19830901 19830930    58.0
19831001 19831031   115.6
19831101 19831130   105.6
19831201 19831231    67.0
19840101 19840131    73.4
19840201 19840229    45.2
19840301 19840331    52.6
19840401 19840430    97.0
19840501 19840531     4.0
19840601 19840630    30.6
19840701 19840731   118.2
19840801 19840831    25.8
19840901 19840930    43.6
19841001 19841031    20.6
19841101 19841130    54.2
19841201 19841231    55.2
19850101 19850131    41.6
19850201 19850228    55.0
19850301 19850331    33.0
19850401 19850430    60.0
19850501 19850531    33.2
19850601 19850630    45.4
19850701 19850731    43.2
19850801 19850831    40.8
19850901 19850930    38.2
19851001 19851031    35.8
19851101 19851130    40.0
19851201 19851231   133.4
19860101 19860131    74.8
19860201 19860228    97.0
19860301 19860331     2.4
19860401 19860430     4.6
19860501 19860531    83.8
19860601 19860630     0.0
19860701 19860731    27.2
19860801 19860831    40.2
19860901 19860930     3.6
19861001 19861031    79.8
19861101 19861130   114.4
19861201 19861231    68.8
19870101 19870131   173.8
19870201 19870228     6.2
19870301 19870331    68.6
19870401 19870430     5.2
19870501 19870531    63.6
19870601 19870630    24.2
19870701 19870731    35.4
19870801 19870831    52.4
19870901 19870930     5.0
19871001 19871031   103.4
19871101 19871130    28.2
19871201 19871231   146.6
19880101 19880131   160.0
19880201 19880229    61.6
19880301 19880331    25.0
19880401 19880430   267.6
19880501 19880531    25.0
19880601 19880630    64.9
19880701 19880731    95.6
19880801 19880831    36.6
19880901 19880930    50.8
19881001 19881031    14.8
19881101 19881130    58.6
19881201 19881231    68.2
19890101 19890131   111.4
19890201 19890228    19.6
19890301 19890331   123.4
19890401 19890430    91.2
19890501 19890531    31.2
19890601 19890630    38.8
19890701 19890731    31.8
19890801 19890831    20.6
19890901 19890930     8.8
19891001 19891031    72.0
19891101 19891130   178.2
19891201 19891231   103.0
19900101 19900131    54.0
19900201 19900228    88.2
19900301 19900331    32.0
19900401 19900430   139.0
19900501 19900531    93.8
19900601 19900630    21.6
19900701 19900731    29.0
19900801 19900831    10.2
19900901 19900930    14.6
19901001 19901031    10.8
19901101 19901130    28.2
19901201 19901231    65.0
19910101 19910131   121.4
19910201 19910228   129.0
19910301 19910331     9.8
19910401 19910430     0.0
19910501 19910531    19.8
19910601 19910630    10.8
19910701 19910731    19.8
19910801 19910831     0.0
19910901 19910930     4.0
19911001 19911031    34.6
19911101 19911130    34.6
19911201 19911231   176.6
19920101 19920131   160.0
19920201 19920229   151.2
19920301 19920331    13.4
19920401 19920430    32.2
19920501 19920531    63.4
19920601 19920630    20.4
19920701 19920731    33.0
19920801 19920831    34.4
19920901 19920930    27.8
19921001 19921031    37.6
19921101 19921130    75.6
19921201 19921231    85.6
19930101 19930131    23.2
19930201 19930228    59.0
19930301 19930331    11.2
19930401 19930430     0.0
19930501 19930531    46.2
19930601 19930630    17.8
19930701 19930731    46.0
19930801 19930831    24.0
19930901 19930930    28.2
19931001 19931031    97.0
19931101 19931130    18.2
19931201 19931231    60.4
19940101 19940131    24.2
19940201 19940228    42.4
19940301 19940331   106.0
19940401 19940430     9.0
19940501 19940531    28.2
19940601 19940630    10.4
19940701 19940731     7.8
19940801 19940831     1.6
19940901 19940930    21.4
19941001 19941031    58.4
19941101 19941130    73.2
19941201 19941231    83.4
19950101 19950131    65.8
19950201 19950228   146.2
19950301 19950331    34.8
19950401 19950430     4.2
19950501 19950531    50.8
19950601 19950630    25.4
19950701 19950731     5.8
19950801 19950831     0.2
19950901 19950930    39.6
19951001 19951031    53.4
19951101 19951130   157.4
19951201 19951231   196.0
19960101 19960131   141.1
19960201 19960229    52.2
19960301 19960331    47.4
19960401 19960430    21.6
19960501 19960531     9.4
19960601 19960630     9.4
19960701 19960731    32.6
19960801 19960831    83.0
19960901 19960930    42.4
19961001 19961031    38.4
19961101 19961130   121.6
19961201 19961231   174.8
19970101 19970131     5.8
19970201 19970228   195.2
19970301 19970331    12.2
19970401 19970430     5.4
19970501 19970531    44.2
19970601 19970630    15.4
19970701 19970731     9.8
19970801 19970831     3.0
19970901 19970930    78.4
19971001 19971031   117.0
19971101 19971130   111.4
19971201 19971231    67.6
19980101 19980131    83.6
19980201 19980228    73.8
19980301 19980331     9.4
19980401 19980430    63.2
19980501 19980531    30.2
19980601 19980630    49.1
19980701 19980731    98.2
19980801 19980831    41.4
19980901 19980930    68.2
19981001 19981031    91.4
19981101 19981130    71.4
19981201 19981231   130.4
19990101 19990131    83.6
