PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19470801 19470831    24.5
19470901 19470930    32.1
19471001 19471031    77.1
19471101 19471130    39.0
19471201 19471231    53.1
19480101 19480131     3.3
19480201 19480229    28.4
19480301 19480331     0.0
19480401 19480430    30.0
19480501 19480531    34.6
19480601 19480630    33.2
19480701 19480731    16.3
19480801 19480831     4.7
19480901 19480930    16.3
19481001 19481031    79.0
19481101 19481130    23.0
19481201 19481231    17.0
19490101 19490131     0.6
19490201 19490228    46.7
19490301 19490331    35.1
19490401 19490430     5.8
19490501 19490531    35.7
19490601 19490630    14.4
19490701 19490731    45.4
19490801 19490831     9.4
19490901 19490930    22.1
19491001 19491031    85.6
19491101 19491130    27.3
19491201 19491231     2.5
19500101 19500131     0.0
19500201 19500228    60.1
19500301 19500331    99.6
19500401 19500430    58.0
19500501 19500531    58.5
19500601 19500630    23.6
19500701 19500731    39.1
19500801 19500831    20.2
19500901 19500930    40.9
19501001 19501031    48.8
19501101 19501130    26.3
19501201 19501231    17.5
19510101 19510131    34.1
19510201 19510228    64.8
19510301 19510331     0.0
19510401 19510430    12.6
19510501 19510531    60.8
19510601 19510630    80.5
19510701 19510731    41.2
19510801 19510831    49.2
19510901 19510930     4.2
19511001 19511031    17.6
19511101 19511130     6.1
19511201 19511231     9.2
19520101 19520131    17.8
19520201 19520229     5.8
19520301 19520331    20.9
19520401 19520430    53.7
19520501 19520531    77.5
19520601 19520630    60.7
19520701 19520731    15.8
19520801 19520831    17.9
19520901 19520930    23.0
19521001 19521031    54.2
19521101 19521130    73.1
19521201 19521231    17.7
19530101 19530131    40.8
19530201 19530228    10.9
19530301 19530331     0.0
19530401 19530430    26.9
19530501 19530531     9.8
19530601 19530630    53.4
19530701 19530731    29.4
19530801 19530831    56.8
19530901 19530930    41.2
19531001 19531031    44.4
19531101 19531130    35.3
19531201 19531231    10.9
19540101 19540131    35.1
19540201 19540228     9.9
19540301 19540331     4.3
