PRCP       061010 18950901 20180131 missing_value=99999.9 CLARENCE TOWN (GREY ST)                   
19870401 19870430   108.6
19870501 19870531    97.6
19870601 19870630    54.2
19870701 19870731    79.4
19870801 19870831   161.4
19870901 19870930    15.2
19871001 19871031   132.6
19871101 19871130   179.2
19871201 19871231   122.6
19880101 19880131   149.6
19880201 19880229   149.6
19880301 19880331    69.0
19880401 19880430   304.0
19880501 19880531    46.8
19880601 19880630    88.0
19880701 19880731    82.7
19880801 19880831    42.6
19880901 19880930   127.8
19881001 19881031     9.0
19881101 19881130    98.2
19881201 19881231    73.5
19890101 19890131   250.8
19890201 19890228    45.0
19890301 19890331   139.4
19890401 19890430   213.6
19890501 19890531   104.2
19890601 19890630   149.4
19890701 19890731    49.4
19890801 19890831    30.0
19890901 19890930    13.0
19891001 19891031    27.7
19891101 19891130   101.3
19891201 19891231    70.8
19900101 19900131    62.6
19900201 19900228   498.2
19900301 19900331    76.4
19900401 19900430   166.8
19900501 19900531    86.4
19900601 19900630    52.6
19900701 19900731    52.4
19900801 19900831   104.2
19900901 19900930   130.6
19901001 19901031    87.4
19901101 19901130    15.2
19901201 19901231    57.6
19910101 19910131   133.6
19910201 19910228     8.2
19910301 19910331    19.2
19910401 19910430    15.2
19910501 19910531   108.8
19910601 19910630   127.4
19910701 19910731    42.0
