PRCP       046042 19010101 20111231 missing_value=99999.9 WHITE CLIFFS POST OFFICE                  
19461001 19461031     0.0
19461101 19461130     1.8
19461201 19461231    35.6
19470101 19470131     0.0
19470201 19470228    60.4
19470301 19470331    43.2
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731    37.3
19470801 19470831    35.6
19470901 19470930    12.7
19471001 19471031    21.9
19471101 19471130    49.0
19471201 19471231    45.7
19480101 19480131     5.1
19480201 19480229    41.4
19480301 19480331     0.0
19480401 19480430     0.0
19480501 19480531    14.0
19480601 19480630    43.2
19480701 19480731     0.5
19480801 19480831    17.5
19480901 19480930     1.8
19481001 19481031     1.0
19481101 19481130     5.6
19481201 19481231    47.2
19490101 19490131     0.0
19490201 19490228    41.4
19490301 19490331   124.3
19490401 19490430    10.9
19490501 19490531    62.6
19490601 19490630     5.1
19490701 19490731    12.0
19490801 19490831     1.5
19490901 19490930    61.8
19491001 19491031    35.6
19491101 19491130    14.5
19491201 19491231     0.0
19500101 19500131    12.4
19500201 19500228    32.3
19500301 19500331    59.4
19500401 19500430     1.0
19500501 19500531    26.4
19500601 19500630    25.0
19500701 19500731    59.2
19500801 19500831     2.5
19500901 19500930     0.0
19501001 19501031    71.7
19501101 19501130    53.3
19501201 19501231    22.7
19510101 19510131    13.0
19510201 19510228    10.9
19510301 19510331     0.0
19510401 19510430     4.1
19510501 19510531    11.9
19510601 19510630    24.1
19510701 19510731     0.0
19510801 19510831     5.6
19510901 19510930    26.2
19511001 19511031    11.6
19511101 19511130    12.4
19511201 19511231     1.3
19520101 19520131     1.5
19520201 19520229     5.8
19520301 19520331    30.5
19520401 19520430    76.2
19520501 19520531    49.4
19520601 19520630    15.7
19520701 19520731    25.9
19520801 19520831    89.9
19520901 19520930     0.0
19521001 19521031    96.9
19521101 19521130     4.1
19521201 19521231     0.0
19530101 19530131    46.7
19530201 19530228     2.3
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    22.6
19530901 19530930    19.5
19531001 19531031    60.2
19531101 19531130     3.6
19531201 19531231    10.1
19540101 19540131    25.6
19540201 19540228    77.5
19540301 19540331     0.0
19540401 19540430    11.1
19540501 19540531     0.0
19540601 19540630    15.5
19540701 19540731    33.8
19540801 19540831    22.3
19540901 19540930     5.1
19541001 19541031    69.3
19541101 19541130    15.7
19541201 19541231    77.7
19550101 19550131     4.1
19550201 19550228    52.1
19550301 19550331     9.1
19550401 19550430    62.7
19550501 19550531    50.5
19550601 19550630     8.1
19550701 19550731    24.6
19550801 19550831    50.5
19550901 19550930    21.6
19551001 19551031   114.1
19551101 19551130    14.7
19551201 19551231     0.0
19560101 19560131    22.0
19560201 19560229    21.9
19560301 19560331   226.5
19560401 19560430    19.9
19560501 19560531    56.9
19560601 19560630    43.4
19560701 19560731    48.1
19560801 19560831     2.0
19560901 19560930    17.1
19561001 19561031    28.8
19561101 19561130     1.3
19561201 19561231     0.8
19570101 19570131     0.0
19570201 19570228    22.9
19570301 19570331    10.9
19570401 19570430     1.8
19570501 19570531     0.0
19570601 19570630    37.1
19570701 19570731    15.2
19570801 19570831     4.8
19570901 19570930     0.0
19571001 19571031     5.5
19571101 19571130     1.0
19571201 19571231    16.0
19580101 19580131     8.4
19580201 19580228     5.7
19580301 19580331     3.1
19580401 19580430     8.4
19580501 19580531    21.9
19580601 19580630    14.7
19580701 19580731    22.7
19580801 19580831    12.2
19580901 19580930     5.3
19581001 19581031    36.1
19581101 19581130    57.9
19581201 19581231     0.0
19590101 19590131    47.8
19590201 19590228     0.5
19590301 19590331    28.5
19590401 19590430     2.1
19590501 19590531    25.4
19590601 19590630     2.6
19590701 19590731    12.9
19590801 19590831    14.2
19590901 19590930     4.6
19591001 19591031    77.7
19591101 19591130     1.8
19591201 19591231     6.6
19600101 19600131   117.6
19600201 19600229    44.9
19600301 19600331     4.3
19600401 19600430     3.1
19600501 19600531    31.3
19600601 19600630     4.5
19600701 19600731    26.3
19600801 19600831    18.8
19600901 19600930     9.7
19601001 19601031     7.3
19601101 19601130    42.9
19601201 19601231     4.1
19610101 19610131    80.7
19610201 19610228     2.1
19610301 19610331     0.0
19610401 19610430    60.0
19610501 19610531     0.3
19610601 19610630     7.2
19610701 19610731     4.1
19610801 19610831     7.2
19610901 19610930     3.1
19611001 19611031    15.3
19611101 19611130    84.1
19611201 19611231    39.8
19620101 19620131    86.6
19620201 19620228     0.0
19620301 19620331    23.9
19620401 19620430     0.5
19620501 19620531    13.4
19620601 19620630     2.3
19620701 19620731    43.7
19620801 19620831     7.9
19620901 19620930     2.3
