PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
19500401 19500430    58.6
19500501 19500531    66.1
19500601 19500630    53.8
19500701 19500731    51.0
19500801 19500831    79.2
19500901 19500930    51.7
19501001 19501031    95.3
19501101 19501130    49.8
19501201 19501231    50.6
19510101 19510131    13.3
19510201 19510228    67.2
19510301 19510331     9.3
19510401 19510430    92.9
19510501 19510531    78.8
19510601 19510630    55.2
19510701 19510731    97.5
19510801 19510831    77.6
19510901 19510930    22.6
19511001 19511031    42.1
19511101 19511130    53.9
19511201 19511231    66.3
19520101 19520131    39.6
19520201 19520229    27.3
19520301 19520331    16.8
19520401 19520430    43.3
19520501 19520531   207.2
19520601 19520630   195.1
19520701 19520731    87.2
19520801 19520831    40.9
19520901 19520930    90.2
19521001 19521031   152.9
19521101 19521130   117.9
19521201 19521231    44.0
19530101 19530131    39.2
19530201 19530228    31.2
19530301 19530331    19.8
19530401 19530430    62.2
19530501 19530531    53.0
19530601 19530630    46.4
19530701 19530731    65.6
19530801 19530831    84.5
19530901 19530930    76.7
19531001 19531031   116.3
19531101 19531130    77.3
19531201 19531231    27.6
19540101 19540131    22.1
19540201 19540228    41.0
19540301 19540331    38.8
19540401 19540430    62.5
19540501 19540531    34.7
19540601 19540630   103.6
19540701 19540731    40.4
19540801 19540831    73.8
19540901 19540930    37.6
19541001 19541031    27.9
19541101 19541130    57.3
19541201 19541231    36.5
19550101 19550131    14.3
19550201 19550228    66.1
19550301 19550331    36.1
19550401 19550430    52.9
19550501 19550531    87.2
19550601 19550630    78.5
19550701 19550731    83.4
19550801 19550831   174.0
19550901 19550930    51.8
19551001 19551031   111.9
19551101 19551130    58.3
19551201 19551231   120.3
19560101 19560131    77.9
19560201 19560229   164.9
19560301 19560331    91.8
19560401 19560430   136.8
19560501 19560531   120.0
19560601 19560630   184.1
19560701 19560731    80.1
19560801 19560831    65.0
19560901 19560930    82.6
19561001 19561031    73.8
19561101 19561130    51.3
19561201 19561231    36.6
19570101 19570131    26.3
19570201 19570228    24.2
19570301 19570331    45.3
19570401 19570430    94.8
19570501 19570531    51.3
19570601 19570630    41.2
19570701 19570731    54.9
19570801 19570831    28.6
19570901 19570930    46.7
19571001 19571031    82.8
19571101 19571130    54.0
19571201 19571231    77.8
19580101 19580131     9.6
19580201 19580228    52.5
19580301 19580331    54.9
19580401 19580430     9.0
19580501 19580531   143.6
19580601 19580630    45.0
19580701 19580731   117.3
19580801 19580831   153.6
19580901 19580930    29.1
19581001 19581031   168.1
19581101 19581130    49.0
19581201 19581231    66.7
19590101 19590131    33.0
19590201 19590228    65.5
19590301 19590331    53.1
19590401 19590430    37.1
19590501 19590531    10.2
19590601 19590630    40.6
19590701 19590731    85.1
19590801 19590831    62.3
19590901 19590930   131.5
19591001 19591031    53.3
19591101 19591130    30.5
19591201 19591231    69.2
19600101 19600131     6.9
19600201 19600229    34.2
19600301 19600331    24.1
19600401 19600430    78.5
19600501 19600531   206.0
19600601 19600630    40.2
19600701 19600731   111.4
19600801 19600831    68.2
19600901 19600930    65.6
19601001 19601031    49.1
19601101 19601130    67.4
19601201 19601231    26.1
19610101 19610131    12.8
19610201 19610228    63.2
19610301 19610331    46.7
19610401 19610430    86.8
19610501 19610531    37.8
19610601 19610630    56.3
19610701 19610731   219.2
19610801 19610831    46.7
19610901 19610930    47.8
19611001 19611031    38.7
19611101 19611130    29.9
19611201 19611231    84.8
19620101 19620131    87.4
19620201 19620228    70.9
19620301 19620331    27.1
19620401 19620430    17.8
19620501 19620531   212.5
19620601 19620630   116.2
19620701 19620731    78.7
19620801 19620831   104.7
19620901 19620930    60.5
19621001 19621031    79.3
19621101 19621130    37.4
19621201 19621231    43.8
19630101 19630131   125.0
19630201 19630228    49.7
19630301 19630331    46.5
19630401 19630430    35.8
19630501 19630531    92.8
19630601 19630630    67.8
19630701 19630731   191.0
19630801 19630831    66.9
19630901 19630930    62.6
19631001 19631031    35.0
19631101 19631130    34.9
19631201 19631231    20.0
19640101 19640131    23.6
19640201 19640229   144.7
19640301 19640331    49.8
19640401 19640430    49.8
19640501 19640531   104.1
19640601 19640630    99.5
19640701 19640731   133.7
19640801 19640831    82.9
19640901 19640930    77.2
19641001 19641031    50.1
19641101 19641130    55.8
19641201 19641231    92.6
19650101 19650131    49.9
19650201 19650228     1.3
19650301 19650331    31.0
19650401 19650430   130.1
19650501 19650531    83.6
19650601 19650630    44.9
19650701 19650731    56.2
19650801 19650831    66.1
19650901 19650930    59.1
19651001 19651031    31.1
19651101 19651130    54.4
19651201 19651231    42.9
19660101 19660131    16.6
19660201 19660228    47.3
19660301 19660331    48.0
19660401 19660430    73.4
19660501 19660531    49.8
19660601 19660630    75.4
19660701 19660731    62.2
19660801 19660831    73.2
19660901 19660930   114.1
19661001 19661031    42.9
19661101 19661130    45.1
19661201 19661231    57.7
19670101 19670131    31.9
19670201 19670228     8.7
19670301 19670331    12.8
19670401 19670430    19.3
19670501 19670531    39.7
19670601 19670630    50.2
19670701 19670731   130.0
19670801 19670831   106.6
19670901 19670930    78.7
19671001 19671031    21.1
19671101 19671130    35.6
19671201 19671231    98.6
19680101 19680131    18.6
19680201 19680229    16.2
19680301 19680331    65.1
19680401 19680430    87.2
19680501 19680531   119.5
19680601 19680630    44.0
19680701 19680731    39.3
19680801 19680831    91.6
19680901 19680930    26.0
19681001 19681031    97.5
19681101 19681130    83.8
19681201 19681231    22.0
19690101 19690131    45.6
19690201 19690228    50.3
19690301 19690331    40.2
19690401 19690430    66.9
19690501 19690531   189.1
19690601 19690630    59.0
19690701 19690731    58.3
19690801 19690831    63.1
19690901 19690930    73.0
19691001 19691031    15.1
19691101 19691130   101.7
19691201 19691231   118.1
19700101 19700131    69.2
19700201 19700228    21.8
19700301 19700331   145.1
19700401 19700430    76.7
19700501 19700531    47.8
19700601 19700630    93.4
19700701 19700731    78.3
19700801 19700831   136.4
19700901 19700930   102.6
19701001 19701031    24.0
