PRCP       086117 18920501 20180131 missing_value=99999.9 TOOROURRONG                               
19370501 19370531    32.6
19370601 19370630    47.5
19370701 19370731    54.0
19370801 19370831    70.0
19370901 19370930    61.7
19371001 19371031   173.7
19371101 19371130    12.0
19371201 19371231    49.8
19380101 19380131    61.4
19380201 19380228    59.3
19380301 19380331    47.8
19380401 19380430    62.2
19380501 19380531     8.5
19380601 19380630    83.1
19380701 19380731    42.7
19380801 19380831    28.6
19380901 19380930    14.1
19381001 19381031    36.9
19381101 19381130    41.0
19381201 19381231    13.0
19390101 19390131    10.7
19390201 19390228   184.7
19390301 19390331    47.6
19390401 19390430   139.7
19390501 19390531    65.8
19390601 19390630    81.9
19390701 19390731    26.9
19390801 19390831   178.0
19390901 19390930    63.6
19391001 19391031    63.9
19391101 19391130   114.8
19391201 19391231    29.5
19400101 19400131    46.3
19400201 19400229    15.9
19400301 19400331    20.8
19400401 19400430    76.3
19400501 19400531    46.2
19400601 19400630    39.5
19400701 19400731    69.9
19400801 19400831    38.8
19400901 19400930   102.9
19401001 19401031    21.7
19401101 19401130    76.7
19401201 19401231    39.4
19410101 19410131   183.1
19410201 19410228    32.0
19410301 19410331    71.9
19410401 19410430    38.9
19410501 19410531    19.8
19410601 19410630   110.7
19410701 19410731    64.2
19410801 19410831    62.2
19410901 19410930    84.8
19411001 19411031    76.6
19411101 19411130    40.8
19411201 19411231   139.0
19420101 19420131    47.2
19420201 19420228    79.3
19420301 19420331    87.3
19420401 19420430    45.3
19420501 19420531   170.3
19420601 19420630    42.2
19420701 19420731    42.0
19420801 19420831    67.7
19420901 19420930    62.6
19421001 19421031    83.2
19421101 19421130    89.2
19421201 19421231    26.3
19430101 19430131    59.6
19430201 19430228    53.3
19430301 19430331     6.3
19430401 19430430    58.0
19430501 19430531    30.9
19430601 19430630    56.4
19430701 19430731    45.3
19430801 19430831    25.9
19430901 19430930    64.1
19431001 19431031    26.6
19431101 19431130    94.3
19431201 19431231    28.0
19440101 19440131    18.4
19440201 19440229    11.4
19440301 19440331    42.2
19440401 19440430    94.4
19440501 19440531   119.6
19440601 19440630    27.2
19440701 19440731    61.4
19440801 19440831    15.7
19440901 19440930    47.1
19441001 19441031    57.9
19441101 19441130    37.6
19441201 19441231    64.0
19450101 19450131    45.5
19450201 19450228     4.9
19450301 19450331    13.2
19450401 19450430    17.6
19450501 19450531    49.0
19450601 19450630    43.3
19450701 19450731    50.0
19450801 19450831    90.1
19450901 19450930    38.6
19451001 19451031    55.1
19451101 19451130    58.9
19451201 19451231    16.5
19460101 19460131    68.6
19460201 19460228   164.7
19460301 19460331    47.6
19460401 19460430    66.6
19460501 19460531    26.3
19460601 19460630    82.6
19460701 19460731    58.3
19460801 19460831    35.0
19460901 19460930    66.7
19461001 19461031    49.7
19461101 19461130    70.4
19461201 19461231    42.9
19470101 19470131     7.9
19470201 19470228    36.7
19470301 19470331   154.6
19470401 19470430    63.8
19470501 19470531    17.1
19470601 19470630    43.7
19470701 19470731    87.1
19470801 19470831    54.0
19470901 19470930    70.5
19471001 19471031   122.3
19471101 19471130    68.0
19471201 19471231   120.8
19480101 19480131    34.3
19480201 19480229    69.9
19480301 19480331     5.1
19480401 19480430   125.7
19480501 19480531    63.4
19480601 19480630    41.6
19480701 19480731    49.6
19480801 19480831    22.1
19480901 19480930    69.6
19481001 19481031    91.3
19481101 19481130    60.7
19481201 19481231    32.7
19490101 19490131    55.4
19490201 19490228    83.1
19490301 19490331   157.3
19490401 19490430    50.7
19490501 19490531    70.1
19490601 19490630    54.4
19490701 19490731    66.0
19490801 19490831    33.8
19490901 19490930    71.4
19491001 19491031   166.9
19491101 19491130   131.8
19491201 19491231    20.6
19500101 19500131    20.2
19500201 19500228   109.9
19500301 19500331   122.5
19500401 19500430    64.4
19500501 19500531    47.3
19500601 19500630    19.5
19500701 19500731    68.6
19500801 19500831    67.6
19500901 19500930   105.4
19501001 19501031    98.4
19501101 19501130    71.5
19501201 19501231    79.5
19510101 19510131    53.8
19510201 19510228   183.9
19510301 19510331     1.9
19510401 19510430   117.8
19510501 19510531   117.1
19510601 19510630    53.4
19510701 19510731    93.8
19510801 19510831    83.4
19510901 19510930    45.2
19511001 19511031    75.7
19511101 19511130    74.1
19511201 19511231    39.0
19520101 19520131    22.6
19520201 19520229    43.5
19520301 19520331    41.7
19520401 19520430    69.2
19520501 19520531    70.0
19520601 19520630   122.1
19520701 19520731   114.8
19520801 19520831    61.5
19520901 19520930    79.1
19521001 19521031   124.5
19521101 19521130   150.3
19521201 19521231    95.7
19530101 19530131   101.5
19530201 19530228    44.9
19530301 19530331    16.5
19530401 19530430    37.7
19530501 19530531    67.1
19530601 19530630    61.2
19530701 19530731    52.0
19530801 19530831   107.4
19530901 19530930    94.9
19531001 19531031   156.6
19531101 19531130    88.2
19531201 19531231    34.2
19540101 19540131    48.6
19540201 19540228    65.7
19540301 19540331     6.9
19540401 19540430    72.1
19540501 19540531    54.6
19540601 19540630    54.3
19540701 19540731    43.1
19540801 19540831    74.9
19540901 19540930    72.9
19541001 19541031    86.6
19541101 19541130   226.7
19541201 19541231   121.1
19550101 19550131    24.9
19550201 19550228   108.3
19550301 19550331    45.3
19550401 19550430    33.0
19550501 19550531    64.1
19550601 19550630    88.9
19550701 19550731    71.2
19550801 19550831   108.1
19550901 19550930    95.2
19551001 19551031   118.1
19551101 19551130    64.9
19551201 19551231   120.5
19560101 19560131    93.2
19560201 19560229    13.0
19560301 19560331    55.5
19560401 19560430    92.0
19560501 19560531   197.7
19560601 19560630    49.2
19560701 19560731    59.4
19560801 19560831   102.8
19560901 19560930    91.7
19561001 19561031   164.6
19561101 19561130    67.1
19561201 19561231    50.4
19570101 19570131     8.2
19570201 19570228    34.5
19570301 19570331    40.2
19570401 19570430    25.0
19570501 19570531    42.3
19570601 19570630    38.4
19570701 19570731   155.5
19570801 19570831    44.2
19570901 19570930    62.0
19571001 19571031    78.9
19571101 19571130    67.5
19571201 19571231    42.0
19580101 19580131     7.3
19580201 19580228   115.9
19580301 19580331    37.8
19580401 19580430    29.5
19580501 19580531    95.9
19580601 19580630    37.0
19580701 19580731    73.7
19580801 19580831   127.3
19580901 19580930    85.8
19581001 19581031   139.5
19581101 19581130    91.0
19581201 19581231    75.0
19590101 19590131    19.1
19590201 19590228    64.5
19590301 19590331    69.1
19590401 19590430    31.7
19590501 19590531    32.5
19590601 19590630    56.9
19590701 19590731    80.2
19590801 19590831    55.3
19590901 19590930   141.5
19591001 19591031    48.5
19591101 19591130   101.2
19591201 19591231    55.3
19600101 19600131    51.3
19600201 19600229    47.8
19600301 19600331    29.0
19600401 19600430   147.8
19600501 19600531   164.8
19600601 19600630    45.6
19600701 19600731    81.7
19600801 19600831    90.6
19600901 19600930   158.4
19601001 19601031    32.1
19601101 19601130   147.4
19601201 19601231    79.9
19610101 19610131    26.7
19610201 19610228    47.3
19610301 19610331    91.3
19610401 19610430    78.8
19610501 19610531    62.5
19610601 19610630    63.3
19610701 19610731    76.9
19610801 19610831    68.7
19610901 19610930    28.1
19611001 19611031    56.7
19611101 19611130    41.8
19611201 19611231    47.0
19620101 19620131    35.6
19620201 19620228    41.6
19620301 19620331    21.7
19620401 19620430    25.9
19620501 19620531   158.7
19620601 19620630    38.9
19620701 19620731    74.2
19620801 19620831    76.1
19620901 19620930    47.9
19621001 19621031    90.5
19621101 19621130    41.5
19621201 19621231    55.0
19630101 19630131   131.5
19630201 19630228    17.3
19630301 19630331    32.8
19630401 19630430    20.4
19630501 19630531   109.9
19630601 19630630    56.4
19630701 19630731    71.7
19630801 19630831    49.6
19630901 19630930    93.5
19631001 19631031   112.4
19631101 19631130    31.3
19631201 19631231    71.8
19640101 19640131     1.3
19640201 19640229    56.9
19640301 19640331    30.8
19640401 19640430   136.6
19640501 19640531    56.0
19640601 19640630    60.5
19640701 19640731    90.0
19640801 19640831    67.7
19640901 19640930   119.8
19641001 19641031    95.2
19641101 19641130    35.9
19641201 19641231   128.7
19650101 19650131     9.3
19650201 19650228     4.1
19650301 19650331    24.7
19650401 19650430   140.8
19650501 19650531    55.2
19650601 19650630    16.4
19650701 19650731   105.5
19650801 19650831   102.5
19650901 19650930    59.3
19651001 19651031    23.0
19651101 19651130    86.6
19651201 19651231    59.4
19660101 19660131    39.8
19660201 19660228    38.0
19660301 19660331    88.1
19660401 19660430    60.0
19660501 19660531    64.9
19660601 19660630    35.2
19660701 19660731   100.8
19660801 19660831    94.7
19660901 19660930    91.0
19661001 19661031    84.3
19661101 19661130    83.6
19661201 19661231   126.4
19670101 19670131    25.2
19670201 19670228    12.0
19670301 19670331    24.9
19670401 19670430    30.2
19670501 19670531    43.5
19670601 19670630    68.6
19670701 19670731    39.5
19670801 19670831    96.9
19670901 19670930    55.8
19671001 19671031    27.1
19671101 19671130     6.4
19671201 19671231    43.2
19680101 19680131    25.7
19680201 19680229     0.0
19680301 19680331    42.3
19680401 19680430    42.9
19680501 19680531   129.3
19680601 19680630    61.1
19680701 19680731    74.9
19680801 19680831    82.2
19680901 19680930    34.2
19681001 19681031    76.1
19681101 19681130    68.6
19681201 19681231    59.0
19690101 19690131    38.6
19690201 19690228    98.5
19690301 19690331    88.4
19690401 19690430    57.2
19690501 19690531   136.7
19690601 19690630    15.1
19690701 19690731    78.4
19690801 19690831    35.9
19690901 19690930    77.1
19691001 19691031    29.5
19691101 19691130    59.0
19691201 19691231    59.9
19700101 19700131   108.9
19700201 19700228    12.6
19700301 19700331   172.5
19700401 19700430    84.8
19700501 19700531    74.5
19700601 19700630    62.0
