PRCP       060026 18701001 20100731 missing_value=99999.9 PORT MACQUARIE (HILL STREET)              
19110401 19110430    59.4
19110501 19110531   127.5
19110601 19110630    15.3
19110701 19110731   150.5
19110801 19110831   186.6
19110901 19110930    79.2
19111001 19111031    64.8
19111101 19111130   130.6
19111201 19111231    59.7
19120101 19120131    69.5
19120201 19120229   212.3
19120301 19120331   144.9
19120401 19120430    83.4
19120501 19120531    47.3
19120601 19120630    98.2
19120701 19120731   357.8
19120801 19120831    33.6
19120901 19120930    14.5
19121001 19121031    43.0
19121101 19121130    82.8
19121201 19121231    84.7
19130101 19130131    60.7
19130201 19130228   128.9
19130301 19130331    18.3
19130401 19130430   320.8
19130501 19130531   429.3
19130601 19130630   347.8
19130701 19130731    92.6
19130801 19130831     8.1
19130901 19130930   131.9
19131001 19131031    56.0
19131101 19131130    20.2
19131201 19131231    28.0
19140101 19140131    23.2
19140201 19140228   137.0
19140301 19140331   345.5
19140401 19140430    44.5
19140501 19140531   215.6
19140601 19140630   273.0
19140701 19140731    67.5
19140801 19140831    83.5
19140901 19140930   297.2
19141001 19141031   419.5
19141101 19141130    88.6
19141201 19141231   122.7
19150101 19150131    45.5
19150201 19150228    43.8
19150301 19150331    38.4
19150401 19150430    69.6
19150501 19150531   265.1
19150601 19150630    24.5
19150701 19150731    33.3
19150801 19150831    52.8
19150901 19150930    14.2
19151001 19151031    35.0
19151101 19151130     6.1
19151201 19151231   105.7
19160101 19160131    56.9
19160201 19160229   113.3
19160301 19160331   215.7
19160401 19160430   344.2
19160501 19160531   245.1
19160601 19160630    36.5
19160701 19160731    26.0
19160801 19160831    78.2
19160901 19160930    43.6
19161001 19161031    65.0
19161101 19161130    89.2
19161201 19161231   167.9
19170101 19170131    85.5
19170201 19170228   176.2
19170301 19170331   168.4
19170401 19170430   152.9
19170501 19170531   101.4
19170601 19170630    42.6
19170701 19170731    10.5
19170801 19170831    40.0
19170901 19170930   102.1
19171001 19171031    85.0
19171101 19171130   236.7
19171201 19171231    85.8
19180101 19180131   185.9
19180201 19180228   152.3
19180301 19180331   141.1
19180401 19180430   175.9
19180501 19180531    69.0
19180601 19180630     6.8
19180701 19180731   100.6
19180801 19180831    58.0
19180901 19180930    95.9
19181001 19181031    53.2
19181101 19181130    28.4
19181201 19181231    72.1
19190101 19190131   117.2
19190201 19190228   173.0
19190301 19190331   149.8
19190401 19190430   130.2
19190501 19190531   282.0
19190601 19190630    99.8
19190701 19190731    73.3
19190801 19190831     3.3
19190901 19190930    18.3
19191001 19191031   129.8
19191101 19191130    46.5
19191201 19191231    60.3
19200101 19200131   152.7
19200201 19200229   111.4
19200301 19200331   119.5
19200401 19200430    79.5
19200501 19200531   112.2
19200601 19200630    62.1
19200701 19200731   108.5
19200801 19200831     9.2
19200901 19200930    65.8
19201001 19201031    82.8
19201101 19201130   134.9
19201201 19201231   100.2
19210101 19210131   258.8
19210201 19210228    59.0
19210301 19210331    92.5
19210401 19210430   149.1
19210501 19210531   249.0
19210601 19210630   190.2
19210701 19210731   206.8
19210801 19210831    25.9
19210901 19210930   147.9
19211001 19211031   123.8
19211101 19211130    29.6
19211201 19211231   200.5
19220101 19220131   123.2
19220201 19220228   408.9
19220301 19220331    17.7
19220401 19220430    71.9
19220501 19220531   197.8
19220601 19220630   104.6
19220701 19220731   254.3
19220801 19220831   188.6
19220901 19220930   202.7
19221001 19221031    29.9
19221101 19221130    28.5
19221201 19221231    88.5
19230101 19230131   133.5
19230201 19230228    95.0
19230301 19230331    65.9
19230401 19230430   318.6
19230501 19230531    31.4
19230601 19230630    35.7
19230701 19230731   116.6
19230801 19230831   144.7
19230901 19230930    74.0
19231001 19231031    42.7
19231101 19231130    29.0
19231201 19231231   153.0
19240101 19240131   104.9
19240201 19240229    86.7
19240301 19240331   157.9
19240401 19240430   142.3
19240501 19240531   107.4
19240601 19240630    53.0
19240701 19240731   120.0
19240801 19240831    57.8
19240901 19240930    33.8
19241001 19241031    62.0
19241101 19241130   187.3
19241201 19241231    98.8
19250101 19250131    95.5
19250201 19250228    68.7
19250301 19250331   209.2
19250401 19250430   193.8
19250501 19250531   348.8
19250601 19250630   129.2
19250701 19250731    10.7
19250801 19250831   134.6
19250901 19250930    17.9
19251001 19251031    44.0
19251101 19251130   102.8
19251201 19251231   121.6
19260101 19260131    26.9
19260201 19260228    16.0
19260301 19260331   162.2
19260401 19260430    46.3
19260501 19260531   114.7
19260601 19260630   160.4
19260701 19260731   158.6
19260801 19260831    63.4
19260901 19260930    37.1
19261001 19261031    11.0
19261101 19261130     1.6
19261201 19261231   177.0
19270101 19270131   247.4
19270201 19270228   159.4
19270301 19270331   155.4
19270401 19270430   474.9
19270501 19270531    13.6
19270601 19270630   104.5
19270701 19270731     1.0
19270801 19270831    25.4
19270901 19270930    78.2
19271001 19271031   152.0
19271101 19271130   186.9
19271201 19271231   103.4
19280101 19280131   246.2
19280201 19280229   251.4
19280301 19280331    83.2
19280401 19280430   129.9
19280501 19280531   112.1
19280601 19280630   313.3
19280701 19280731    88.7
19280801 19280831    31.2
19280901 19280930     1.8
19281001 19281031    46.4
19281101 19281130    50.7
19281201 19281231    37.0
19290101 19290131    95.2
19290201 19290228   844.5
19290301 19290331   177.0
19290401 19290430   223.0
19290501 19290531   132.5
19290601 19290630   153.3
19290701 19290731    92.3
19290801 19290831    74.4
19290901 19290930   116.3
19291001 19291031   286.0
19291101 19291130    75.2
19291201 19291231    10.2
19300101 19300131   114.9
19300201 19300228   243.8
19300301 19300331   334.6
19300401 19300430   392.7
19300501 19300531   230.3
19300601 19300630   651.5
19300701 19300731    82.9
19300801 19300831    41.8
19300901 19300930    14.1
19301001 19301031    86.5
19301101 19301130    37.4
19301201 19301231    80.9
19310101 19310131    54.0
19310201 19310228    80.4
19310301 19310331   113.3
19310401 19310430   504.7
19310501 19310531    51.6
19310601 19310630    64.7
19310701 19310731    70.7
19310801 19310831    19.6
19310901 19310930    22.0
19311001 19311031    27.0
19311101 19311130   104.2
19311201 19311231   206.8
19320101 19320131    61.8
19320201 19320229    80.9
19320301 19320331    73.9
19320401 19320430    88.3
19320501 19320531   150.6
19320601 19320630    34.7
19320701 19320731   139.0
19320801 19320831    15.7
19320901 19320930   170.3
19321001 19321031   119.5
19321101 19321130    46.5
19321201 19321231    49.3
19330101 19330131   213.5
19330201 19330228    32.6
19330301 19330331    68.8
19330401 19330430   351.9
19330501 19330531     6.9
19330601 19330630   405.9
19330701 19330731   306.0
19330801 19330831    19.3
19330901 19330930   264.7
19331001 19331031   188.0
19331101 19331130    85.0
19331201 19331231    63.2
19340101 19340131    41.6
19340201 19340228   238.4
19340301 19340331   157.9
19340401 19340430   313.9
19340501 19340531   141.5
19340601 19340630    11.2
19340701 19340731   251.2
19340801 19340831   123.7
19340901 19340930   255.0
19341001 19341031    40.9
19341101 19341130    81.3
19341201 19341231   136.4
19350101 19350131   115.4
19350201 19350228   193.3
19350301 19350331   269.9
19350401 19350430    40.4
19350501 19350531    89.5
19350601 19350630    26.0
19350701 19350731    68.5
19350801 19350831   164.1
19350901 19350930   187.9
19351001 19351031    39.0
19351101 19351130    22.5
19351201 19351231   114.6
19360101 19360131   113.4
19360201 19360229   141.5
19360301 19360331   233.5
19360401 19360430    85.6
19360501 19360531    66.5
19360601 19360630    57.4
19360701 19360731    24.5
19360801 19360831    13.6
19360901 19360930    71.4
19361001 19361031   120.6
19361101 19361130    10.7
19361201 19361231   229.4
19370101 19370131   262.3
19370201 19370228   187.9
19370301 19370331   437.6
19370401 19370430   230.5
19370501 19370531    13.0
19370601 19370630   288.2
19370701 19370731   120.7
19370801 19370831    45.1
19370901 19370930    18.6
19371001 19371031    65.7
19371101 19371130   396.9
19371201 19371231    60.7
19380101 19380131   213.1
19380201 19380228   216.3
19380301 19380331    44.8
19380401 19380430   106.6
19380501 19380531   312.8
19380601 19380630    30.1
19380701 19380731   110.9
19380801 19380831   113.9
19380901 19380930    42.5
19381001 19381031    83.1
19381101 19381130    41.4
19381201 19381231    19.3
19390101 19390131   101.4
19390201 19390228     1.8
19390301 19390331   245.6
19390401 19390430   112.7
19390501 19390531    91.6
19390601 19390630    26.6
19390701 19390731    39.9
19390801 19390831   107.7
19390901 19390930    45.0
19391001 19391031   111.8
19391101 19391130    32.6
19391201 19391231    29.9
19400101 19400131    45.1
19400201 19400229    15.5
19400301 19400331   203.3
19400401 19400430   181.7
19400501 19400531    38.3
19400601 19400630    21.9
19400701 19400731    30.9
19400801 19400831    46.3
19400901 19400930    40.7
19401001 19401031    85.9
19401101 19401130    37.6
19401201 19401231   167.9
19410101 19410131   201.7
19410201 19410228   124.3
19410301 19410331   113.9
19410401 19410430   154.2
19410501 19410531    57.5
19410601 19410630    55.7
19410701 19410731   107.3
19410801 19410831    21.4
19410901 19410930    12.2
19411001 19411031    78.0
19411101 19411130    73.9
19411201 19411231    16.2
19420101 19420131    21.5
19420201 19420228   261.7
19420301 19420331   197.5
19420401 19420430    26.1
19420501 19420531    13.6
19420601 19420630   108.0
19420701 19420731   135.3
19420801 19420831    16.6
19420901 19420930    15.0
19421001 19421031   247.8
19421101 19421130   125.0
19421201 19421231   156.8
19430101 19430131   125.7
19430201 19430228    17.3
19430301 19430331    59.7
19430401 19430430    48.6
19430501 19430531   347.9
19430601 19430630     5.0
19430701 19430731     8.7
19430801 19430831   154.7
19430901 19430930    95.7
19431001 19431031   111.5
19431101 19431130   214.7
19431201 19431231   225.1
19440101 19440131   127.3
19440201 19440229    70.7
19440301 19440331    77.8
19440401 19440430    30.0
19440501 19440531    16.3
19440601 19440630   111.5
19440701 19440731   147.2
19440801 19440831   144.7
19440901 19440930    25.6
19441001 19441031    36.3
19441101 19441130    32.9
19441201 19441231    57.8
19450101 19450131    63.0
19450201 19450228    50.3
19450301 19450331    30.6
19450401 19450430   112.9
19450501 19450531   129.5
19450601 19450630   345.1
19450701 19450731   128.5
19450801 19450831    33.5
19450901 19450930    13.5
19451001 19451031    58.1
19451101 19451130   187.2
19451201 19451231    67.3
19460101 19460131    89.3
19460201 19460228   146.3
19460301 19460331   231.5
19460401 19460430   314.9
19460501 19460531    15.7
19460601 19460630     6.9
19460701 19460731     0.8
19460801 19460831     2.1
19460901 19460930    53.0
19461001 19461031    56.2
19461101 19461130    65.7
19461201 19461231   136.4
19470101 19470131   143.8
19470201 19470228   215.3
19470301 19470331   122.3
19470401 19470430   184.2
19470501 19470531   125.8
19470601 19470630    51.5
19470701 19470731     3.3
19470801 19470831    21.0
19470901 19470930    42.1
19471001 19471031    55.2
19471101 19471130   162.5
19471201 19471231   331.7
19480101 19480131   122.9
19480201 19480229    62.9
19480301 19480331   295.6
19480401 19480430    52.1
19480501 19480531   122.5
19480601 19480630   215.5
19480701 19480731    22.9
19480801 19480831    27.1
19480901 19480930   136.5
19481001 19481031    16.8
19481101 19481130    46.5
19481201 19481231    55.4
19490101 19490131   169.4
19490201 19490228   196.7
19490301 19490331   215.8
19490401 19490430   130.8
19490501 19490531    82.2
19490601 19490630   173.5
19490701 19490731   222.0
19490801 19490831   218.4
19490901 19490930   163.3
19491001 19491031    76.9
19491101 19491130   107.0
19491201 19491231    74.1
19500101 19500131   114.7
19500201 19500228   298.9
19500301 19500331   146.3
19500401 19500430   213.8
19500501 19500531   184.1
19500601 19500630   416.6
19500701 19500731   774.2
19500801 19500831   270.2
19500901 19500930   100.3
19501001 19501031   130.9
19501101 19501130   328.8
19501201 19501231   225.6
19510101 19510131   229.2
19510201 19510228   126.5
19510301 19510331   230.1
19510401 19510430    52.3
19510501 19510531   115.0
19510601 19510630   303.6
19510701 19510731     4.3
19510801 19510831    44.2
19510901 19510930    18.6
19511001 19511031    43.0
19511101 19511130    13.7
19511201 19511231    25.0
19520101 19520131    42.3
19520201 19520229   219.1
19520301 19520331   150.1
19520401 19520430   120.4
19520501 19520531   157.4
19520601 19520630   110.2
19520701 19520731   142.2
19520801 19520831   310.8
19520901 19520930    34.3
19521001 19521031   182.9
19521101 19521130    41.2
19521201 19521231    28.2
19530101 19530131   111.5
19530201 19530228   334.1
19530301 19530331   233.5
19530401 19530430   142.3
19530501 19530531   186.6
19530601 19530630     5.9
19530701 19530731    41.6
19530801 19530831    88.9
19530901 19530930    16.0
19531001 19531031    76.7
19531101 19531130    24.6
19531201 19531231    33.8
19540101 19540131    94.4
19540201 19540228   413.0
19540301 19540331   136.8
19540401 19540430    82.4
19540501 19540531   178.8
19540601 19540630    58.4
19540701 19540731    76.2
19540801 19540831   226.4
19540901 19540930   355.8
19541001 19541031   115.3
19541101 19541130    75.4
19541201 19541231    68.9
19550101 19550131   101.8
19550201 19550228   261.3
19550301 19550331   247.4
19550401 19550430   209.2
19550501 19550531   298.6
19550601 19550630    74.7
19550701 19550731    37.8
19550801 19550831     2.8
19550901 19550930   103.5
19551001 19551031    97.5
19551101 19551130    46.4
19551201 19551231   214.7
19560101 19560131   284.5
19560201 19560229   403.6
19560301 19560331   169.1
19560401 19560430    69.6
19560501 19560531   178.6
19560601 19560630   233.4
19560701 19560731    19.9
19560801 19560831    94.4
19560901 19560930    24.1
19561001 19561031    55.8
19561101 19561130    17.6
19561201 19561231    94.5
19570101 19570131    34.8
19570201 19570228   333.9
19570301 19570331   166.1
19570401 19570430    65.9
19570501 19570531    17.6
19570601 19570630    42.8
19570701 19570731   124.3
19570801 19570831   257.8
19570901 19570930    15.5
19571001 19571031    37.8
19571101 19571130    11.9
19571201 19571231    38.6
19580101 19580131   178.4
19580201 19580228    96.4
19580301 19580331   232.9
19580401 19580430   306.5
19580501 19580531    28.8
19580601 19580630   171.1
19580701 19580731    13.2
19580801 19580831   130.4
19580901 19580930    95.4
19581001 19581031    63.7
19581101 19581130    15.0
19581201 19581231   143.3
19590101 19590131   401.9
19590201 19590228   169.9
19590301 19590331   241.1
19590401 19590430   154.7
19590501 19590531    80.9
19590601 19590630   147.2
19590701 19590731   150.7
19590801 19590831    88.7
19590901 19590930    80.4
19591001 19591031   277.8
19591101 19591130   221.3
19591201 19591231   172.0
19600101 19600131   239.0
19600201 19600229   183.7
19600301 19600331   134.4
19600401 19600430   102.2
19600501 19600531    65.8
19600601 19600630   144.8
19600701 19600731    36.0
19600801 19600831    14.5
19600901 19600930    39.8
19601001 19601031    53.6
19601101 19601130    71.0
19601201 19601231   134.6
19610101 19610131   201.4
19610201 19610228   308.9
19610301 19610331   127.2
19610401 19610430   182.4
19610501 19610531   107.2
19610601 19610630   227.9
19610701 19610731    25.3
19610801 19610831    51.9
19610901 19610930    37.7
19611001 19611031   169.4
19611101 19611130   162.3
19611201 19611231    67.7
19620101 19620131   551.4
19620201 19620228   120.3
19620301 19620331   268.7
19620401 19620430   486.7
19620501 19620531   274.8
19620601 19620630     6.6
19620701 19620731   179.9
19620801 19620831   144.0
19620901 19620930    53.7
19621001 19621031    84.3
19621101 19621130    69.1
19621201 19621231   207.7
19630101 19630131   155.4
19630201 19630228    94.8
19630301 19630331   407.2
19630401 19630430   619.2
19630501 19630531   382.4
19630601 19630630   263.5
19630701 19630731    15.7
19630801 19630831    99.6
19630901 19630930    74.0
19631001 19631031    97.5
19631101 19631130   182.9
19631201 19631231   189.6
19640101 19640131    82.2
19640201 19640229   169.1
19640301 19640331   191.0
19640401 19640430   132.1
19640501 19640531    48.6
19640601 19640630   122.7
19640701 19640731    35.4
19640801 19640831   114.3
19640901 19640930    23.4
19641001 19641031    58.7
19641101 19641130    58.3
19641201 19641231    31.9
19650101 19650131    62.8
19650201 19650228    67.5
19650301 19650331     9.8
19650401 19650430   195.2
19650501 19650531    74.4
19650601 19650630   143.9
19650701 19650731    60.2
19650801 19650831    44.0
19650901 19650930    90.2
19651001 19651031   187.9
19651101 19651130   117.2
19651201 19651231   238.8
19660101 19660131    51.5
19660201 19660228   211.4
19660301 19660331    91.8
19660401 19660430   111.5
19660501 19660531    83.1
19660601 19660630   170.9
19660701 19660731    62.0
19660801 19660831    85.3
