PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19550401 19550430    20.3
19550501 19550531    32.5
19550601 19550630    31.6
19550701 19550731    20.2
19550801 19550831    53.3
19550901 19550930    51.5
19551001 19551031    46.9
19551101 19551130    12.7
19551201 19551231     2.5
19560101 19560131     0.0
19560201 19560229     2.8
19560301 19560331     2.0
19560401 19560430     5.6
19560501 19560531    35.0
19560601 19560630    49.0
19560701 19560731    43.4
19560801 19560831     3.3
19560901 19560930     2.5
19561001 19561031    17.9
19561101 19561130    49.7
19561201 19561231     0.5
19570101 19570131    14.8
19570201 19570228    19.5
19570301 19570331    16.5
19570401 19570430    12.1
19570501 19570531    14.9
19570601 19570630    57.3
19570701 19570731     7.9
19570801 19570831    28.5
19570901 19570930     4.1
19571001 19571031     5.1
19571101 19571130     0.0
19571201 19571231     1.3
19580101 19580131    18.6
19580201 19580228     8.9
19580301 19580331    15.2
19580401 19580430     1.5
19580501 19580531    43.7
19580601 19580630    30.1
19580701 19580731    79.6
19580801 19580831    45.7
19580901 19580930    91.2
19581001 19581031    11.1
19581101 19581130    41.6
19581201 19581231    38.9
19590101 19590131     3.5
19590201 19590228     7.7
19590301 19590331    12.2
19590401 19590430    18.3
19590501 19590531     7.7
19590601 19590630    69.0
19590701 19590731    16.3
19590801 19590831    47.8
19590901 19590930    15.0
19591001 19591031    30.2
19591101 19591130    16.4
19591201 19591231    37.6
19600101 19600131    40.4
19600201 19600229    43.9
19600301 19600331    24.6
19600401 19600430     7.4
19600501 19600531    29.8
19600601 19600630    12.8
19600701 19600731    70.6
19600801 19600831     6.5
19600901 19600930    55.5
19601001 19601031     2.3
19601101 19601130    40.2
19601201 19601231    17.8
19610101 19610131    39.7
19610201 19610228     0.8
19610301 19610331     2.4
19610401 19610430    71.5
19610501 19610531    14.0
19610601 19610630    83.5
19610701 19610731    28.3
19610801 19610831    19.6
19610901 19610930     2.1
19611001 19611031     0.8
19611101 19611130     0.0
19611201 19611231    10.9
19620101 19620131    13.7
19620201 19620228     6.9
19620301 19620331     8.2
19620401 19620430     1.6
19620501 19620531    75.8
19620601 19620630    40.7
19620701 19620731    29.1
19620801 19620831     7.6
19620901 19620930     7.1
19621001 19621031     6.1
19621101 19621130     2.0
19621201 19621231    19.3
19630101 19630131    63.2
19630201 19630228    85.6
19630301 19630331    50.8
19630401 19630430    33.3
19630501 19630531   101.6
19630601 19630630    65.0
19630701 19630731    91.7
19630801 19630831    82.6
19630901 19630930     7.2
19631001 19631031    10.4
19631101 19631130    11.5
19631201 19631231    14.2
19640101 19640131    11.7
19640201 19640229     5.6
19640301 19640331     4.6
19640401 19640430    22.6
19640501 19640531     0.5
19640601 19640630    70.5
19640701 19640731    71.3
