PRCP       076063 19121001 20170731 missing_value=99999.9 DANYO                                     
20030101 20030131     0.0
20030201 20030228    45.0
20030301 20030331     5.5
20030401 20030430     5.5
20030501 20030531    43.2
20030601 20030630    28.3
20030701 20030731    34.5
20030801 20030831    32.4
20030901 20030930    22.8
20031001 20031031    30.6
20031101 20031130     9.0
20031201 20031231    53.4
20040101 20040131     3.2
20040201 20040229     0.0
20040301 20040331     3.4
20040401 20040430     1.0
20040501 20040531    14.8
20040601 20040630    25.4
20040701 20040731    25.9
20040801 20040831    38.3
20040901 20040930    22.0
20041001 20041031     5.4
20041101 20041130    26.8
20041201 20041231    74.2
20050101 20050131    32.0
20050201 20050228     5.0
20050301 20050331     8.0
20050401 20050430     7.0
20050501 20050531     1.2
20050601 20050630    51.6
20050701 20050731    29.2
20050801 20050831    29.8
20050901 20050930    32.7
20051001 20051031    74.8
20051101 20051130    19.2
20051201 20051231    13.2
20060101 20060131    10.0
20060201 20060228    13.5
20060301 20060331     7.9
20060401 20060430    52.2
20060501 20060531    16.2
20060601 20060630     3.4
20060701 20060731    23.0
20060801 20060831     2.6
20060901 20060930     1.8
20061001 20061031     0.0
20061101 20061130    19.0
20061201 20061231     0.0
20070101 20070131    68.9
20070201 20070228     0.0
20070301 20070331    14.6
20070401 20070430    68.5
20070501 20070531    34.1
20070601 20070630    10.0
20070701 20070731    38.8
20070801 20070831     1.3
20070901 20070930     3.8
20071001 20071031     2.0
20071101 20071130    35.8
20071201 20071231    16.8
20080101 20080131    26.0
20080201 20080229     0.0
20080301 20080331     0.0
20080401 20080430     9.4
20080501 20080531    27.4
20080601 20080630    19.0
20080701 20080731    30.3
20080801 20080831    21.1
20080901 20080930    13.9
20081001 20081031     9.8
20081101 20081130    21.6
20081201 20081231    46.7
