PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19580701 19580731   117.2
19580801 19580831    22.4
19580901 19580930    48.7
19581001 19581031     9.1
19581101 19581130    19.0
19581201 19581231    30.1
19590101 19590131     3.3
19590201 19590228    15.5
19590301 19590331     5.8
19590401 19590430     0.0
19590501 19590531     5.1
19590601 19590630    83.6
19590701 19590731    12.2
19590801 19590831    42.1
19590901 19590930    26.2
19591001 19591031    13.3
19591101 19591130    16.3
19591201 19591231     5.6
19600101 19600131    35.6
19600201 19600229     0.0
19600301 19600331    20.8
19600401 19600430    10.4
19600501 19600531    50.8
19600601 19600630    22.3
19600701 19600731    87.2
19600801 19600831    11.5
19600901 19600930    33.1
19601001 19601031     2.6
19601101 19601130     0.0
19601201 19601231     5.8
19610101 19610131    36.3
19610201 19610228     3.8
19610301 19610331     1.5
19610401 19610430    39.0
19610501 19610531     7.1
19610601 19610630    52.5
19610701 19610731    54.3
19610801 19610831    31.8
19610901 19610930    16.6
19611001 19611031     1.5
19611101 19611130     0.0
19611201 19611231     2.3
19620101 19620131     5.1
19620201 19620228     0.0
19620301 19620331     5.9
19620401 19620430     0.0
19620501 19620531    69.7
19620601 19620630    42.0
19620701 19620731    34.0
19620801 19620831    20.9
19620901 19620930    17.5
19621001 19621031    19.0
19621101 19621130     4.3
19621201 19621231    34.4
19630101 19630131    15.5
19630201 19630228    49.8
19630301 19630331    50.1
19630401 19630430    26.0
19630501 19630531    69.1
19630601 19630630    97.7
19630701 19630731    67.5
19630801 19630831    76.3
19630901 19630930    27.4
19631001 19631031     9.9
19631101 19631130    21.6
19631201 19631231    11.3
19640101 19640131     1.8
19640201 19640229    14.0
19640301 19640331    23.6
19640401 19640430    29.7
19640501 19640531     1.5
19640601 19640630    63.1
19640701 19640731    84.6
19640801 19640831    53.8
19640901 19640930    24.7
19641001 19641031    11.7
19641101 19641130     4.3
19641201 19641231     2.5
19650101 19650131     0.0
19650201 19650228     3.6
19650301 19650331     0.5
19650401 19650430     9.9
19650501 19650531    58.6
19650601 19650630    71.7
19650701 19650731    63.9
19650801 19650831    44.6
19650901 19650930    16.2
19651001 19651031    35.4
19651101 19651130    25.2
19651201 19651231     6.1
19660101 19660131     5.8
19660201 19660228    22.7
19660301 19660331     0.0
19660401 19660430    79.3
19660501 19660531     6.3
19660601 19660630    87.7
19660701 19660731    67.7
19660801 19660831    15.5
19660901 19660930    29.1
19661001 19661031    43.2
19661101 19661130     1.0
19661201 19661231     2.8
19670101 19670131    17.3
19670201 19670228     6.6
19670301 19670331     2.3
19670401 19670430     7.9
19670501 19670531    91.5
19670601 19670630    46.2
19670701 19670731    45.5
19670801 19670831    35.2
19670901 19670930     4.3
19671001 19671031    14.5
19671101 19671130     0.8
19671201 19671231     0.0
19680101 19680131    74.5
19680201 19680229    16.7
19680301 19680331    28.5
19680401 19680430    33.7
19680501 19680531    32.3
19680601 19680630   133.7
19680701 19680731    42.2
19680801 19680831    26.8
19680901 19680930    27.6
19681001 19681031     9.2
19681101 19681130     2.0
19681201 19681231     0.8
19690101 19690131     0.5
19690201 19690228     4.6
19690301 19690331    23.4
19690401 19690430    22.8
19690501 19690531    16.1
19690601 19690630    50.5
19690701 19690731    14.0
19690801 19690831    11.7
19690901 19690930    21.4
19691001 19691031     0.0
19691101 19691130     6.7
19691201 19691231     1.3
19700101 19700131     0.5
19700201 19700228   112.0
19700301 19700331     7.6
19700401 19700430    27.2
19700501 19700531    38.4
19700601 19700630    41.6
19700701 19700731    14.2
19700801 19700831     9.7
19700901 19700930    29.0
19701001 19701031    15.1
19701101 19701130     4.8
19701201 19701231     0.0
19710101 19710131     0.8
19710201 19710228     6.8
19710301 19710331    84.8
19710401 19710430     6.1
19710501 19710531    13.7
19710601 19710630    24.2
19710701 19710731    31.3
19710801 19710831    33.7
19710901 19710930    36.4
19711001 19711031    19.4
19711101 19711130    33.8
19711201 19711231     0.0
19720101 19720131     0.0
19720201 19720229     0.3
19720301 19720331    13.2
19720401 19720430     6.9
19720501 19720531    19.8
19720601 19720630    33.0
19720701 19720731    45.5
19720801 19720831    26.7
19720901 19720930     8.1
19721001 19721031     4.3
19721101 19721130     1.0
19721201 19721231     0.0
19730101 19730131     6.9
19730201 19730228     0.5
19730301 19730331     0.0
19730401 19730430    28.3
19730501 19730531    22.6
19730601 19730630   109.1
19730701 19730731    65.1
19730801 19730831    31.0
19730901 19730930    53.0
19731001 19731031    14.0
19731101 19731130    25.6
19731201 19731231     5.6
19740101 19740131     6.2
19740201 19740228     0.6
19740301 19740331     6.8
19740401 19740430    69.0
19740501 19740531   132.6
19740601 19740630    34.6
19740701 19740731    65.6
19740801 19740831    54.5
19740901 19740930    21.6
19741001 19741031    11.8
19741101 19741130    59.8
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     2.8
19750301 19750331     2.4
19750401 19750430    59.6
19750501 19750531    36.0
19750601 19750630    54.8
19750701 19750731    53.0
19750801 19750831    15.0
19750901 19750930    24.4
19751001 19751031    35.4
19751101 19751130     4.6
19751201 19751231    27.8
19760101 19760131    13.8
19760201 19760229     0.0
19760301 19760331    24.8
19760401 19760430    13.0
19760501 19760531    22.6
19760601 19760630    25.4
19760701 19760731     8.0
19760801 19760831    53.6
19760901 19760930    41.2
19761001 19761031    19.8
19761101 19761130    10.4
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228     2.4
19770301 19770331     0.0
19770401 19770430    13.2
19770501 19770531    29.6
19770601 19770630    26.6
19770701 19770731    23.8
19770801 19770831    60.6
19770901 19770930     5.4
19771001 19771031    38.2
19771101 19771130     2.6
19771201 19771231    25.8
19780101 19780131    31.4
19780201 19780228    44.8
19780301 19780331     0.0
19780401 19780430    49.6
19780501 19780531    22.8
19780601 19780630    29.8
19780701 19780731    77.8
19780801 19780831    11.4
19780901 19780930    35.2
19781001 19781031    12.8
19781101 19781130     0.0
19781201 19781231    64.4
19790101 19790131    15.4
19790201 19790228    58.2
19790301 19790331     0.0
19790401 19790430    20.4
19790501 19790531    22.2
19790601 19790630    64.4
19790701 19790731    19.5
19790801 19790831    40.8
19790901 19790930     9.2
19791001 19791031     0.6
19791101 19791130    18.4
19791201 19791231     0.6
19800101 19800131     0.0
19800201 19800229    22.6
19800301 19800331     0.0
19800401 19800430     9.0
19800501 19800531    32.8
19800601 19800630    22.4
19800701 19800731    24.4
19800801 19800831    21.0
19800901 19800930     1.2
19801001 19801031    43.4
19801101 19801130     1.8
19801201 19801231     7.4
19810101 19810131    23.8
19810201 19810228    54.0
19810301 19810331     0.0
19810401 19810430    26.2
19810501 19810531    56.2
19810601 19810630    52.8
19810701 19810731    43.0
19810801 19810831    43.8
19810901 19810930    10.2
19811001 19811031    20.6
19811101 19811130    34.8
19811201 19811231    13.0
19820101 19820131     5.4
19820201 19820228     2.5
19820301 19820331     0.0
19820401 19820430     0.0
19820501 19820531    20.9
19820601 19820630    67.8
19820701 19820731    19.6
19820801 19820831    55.8
19820901 19820930    24.4
19821001 19821031    10.2
19821101 19821130    11.9
19821201 19821231     1.1
19830101 19830131     0.7
19830201 19830228     5.8
19830301 19830331     8.7
19830401 19830430     4.1
19830501 19830531     8.0
19830601 19830630    65.8
19830701 19830731    58.9
19830801 19830831    35.7
19830901 19830930    26.0
19831001 19831031     1.8
19831101 19831130    61.1
19831201 19831231    36.5
19840101 19840131     0.0
19840201 19840229     8.2
19840301 19840331    33.8
19840401 19840430    60.9
19840501 19840531    78.2
19840601 19840630    29.4
19840701 19840731    41.8
19840801 19840831    32.0
19840901 19840930    36.0
19841001 19841031     6.6
19841101 19841130    15.4
19841201 19841231     1.6
19850101 19850131     0.0
19850201 19850228     7.5
19850301 19850331    27.2
19850401 19850430     6.2
19850501 19850531     5.6
19850601 19850630    12.0
19850701 19850731    57.4
19850801 19850831    33.2
19850901 19850930    25.1
19851001 19851031     7.4
19851101 19851130     5.4
19851201 19851231     0.0
19860101 19860131     2.3
19860201 19860228    45.3
19860301 19860331     7.0
19860401 19860430     4.4
19860501 19860531    48.8
19860601 19860630   111.8
19860701 19860731    27.0
19860801 19860831    33.2
