PRCP       069006 18960401 20180131 missing_value=99999.9 BETTOWYND (CONDRY)                        
19720501 19720531    31.8
19720601 19720630    56.9
19720701 19720731     1.8
19720801 19720831    46.9
19720901 19720930     5.7
19721001 19721031    78.1
19721101 19721130    59.9
19721201 19721231     2.9
19730101 19730131    53.4
19730201 19730228   199.9
19730301 19730331    42.1
19730401 19730430    18.6
19730501 19730531    31.0
19730601 19730630    19.9
19730701 19730731    47.4
19730801 19730831    50.8
19730901 19730930    30.4
19731001 19731031    96.4
19731101 19731130   134.4
19731201 19731231    39.4
19740101 19740131   134.6
19740201 19740228   133.0
19740301 19740331   179.0
19740401 19740430   278.4
19740501 19740531   135.4
19740601 19740630    57.2
19740701 19740731    25.0
19740801 19740831   372.0
19740901 19740930    22.8
19741001 19741031   146.4
19741101 19741130   104.2
19741201 19741231     5.2
19750101 19750131    50.7
19750201 19750228   151.2
19750301 19750331   278.4
19750401 19750430   287.2
19750501 19750531     9.6
19750601 19750630   368.4
19750701 19750731    44.6
19750801 19750831    21.8
19750901 19750930    45.2
19751001 19751031    94.6
19751101 19751130    31.0
19751201 19751231    43.2
19760101 19760131   125.2
19760201 19760229    83.0
19760301 19760331   221.0
19760401 19760430    21.6
19760501 19760531     2.0
19760601 19760630    49.8
19760701 19760731     6.4
19760801 19760831    11.0
19760901 19760930    28.6
19761001 19761031   396.0
19761101 19761130   100.9
19761201 19761231    17.2
19770101 19770131    42.8
19770201 19770228   314.2
19770301 19770331    84.1
19770401 19770430    42.4
19770501 19770531    87.3
19770601 19770630    34.2
19770701 19770731     4.0
19770801 19770831     6.6
19770901 19770930    90.2
19771001 19771031    11.8
19771101 19771130     1.7
19771201 19771231    19.8
19780101 19780131   186.6
19780201 19780228     3.0
19780301 19780331   411.0
19780401 19780430    61.0
19780501 19780531   126.6
19780601 19780630   208.6
19780701 19780731    25.4
19780801 19780831    10.2
19780901 19780930   139.6
19781001 19781031    61.2
19781101 19781130    85.6
19781201 19781231    45.6
19790101 19790131    12.0
19790201 19790228    10.4
19790301 19790331   317.4
19790401 19790430    50.0
19790501 19790531    39.6
19790601 19790630    37.8
19790701 19790731    21.6
19790801 19790831    31.2
19790901 19790930     7.6
19791001 19791031    50.0
19791101 19791130    73.2
19791201 19791231     0.6
19800101 19800131    82.8
19800201 19800229    13.0
19800301 19800331    20.4
19800401 19800430     2.0
19800501 19800531    80.8
19800601 19800630     5.2
19800701 19800731     9.0
19800801 19800831     4.4
19800901 19800930     9.4
19801001 19801031    39.8
19801101 19801130    36.4
19801201 19801231   127.0
19810101 19810131    15.2
19810201 19810228   115.4
19810301 19810331    24.6
19810401 19810430   189.6
19810501 19810531   123.2
19810601 19810630    36.0
19810701 19810731    18.8
19810801 19810831    15.4
19810901 19810930    16.8
19811001 19811031    37.4
19811101 19811130   120.0
19811201 19811231    97.0
19820101 19820131    37.8
19820201 19820228    16.6
19820301 19820331   104.0
19820401 19820430    22.4
19820501 19820531     0.6
19820601 19820630    15.2
19820701 19820731    15.0
19820801 19820831    18.2
19820901 19820930    56.4
19821001 19821031     6.8
19821101 19821130     7.8
19821201 19821231    18.2
19830101 19830131    71.2
19830201 19830228    17.6
19830301 19830331   220.0
19830401 19830430    40.8
19830501 19830531   140.2
19830601 19830630    33.2
