PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
19591001 19591031     0.0
19591101 19591130     5.1
19591201 19591231    16.2
19600101 19600131   198.5
19600201 19600229   130.6
19600301 19600331    45.0
19600401 19600430    50.8
19600501 19600531    20.6
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     5.0
19601101 19601130    18.0
19601201 19601231    57.1
19610101 19610131    11.9
19610201 19610228    39.6
19610301 19610331     0.0
19610401 19610430    54.6
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    10.7
19611101 19611130    40.8
19611201 19611231    26.7
19620101 19620131   284.9
19620201 19620228   118.6
19620301 19620331     4.1
19620401 19620430     0.0
19620501 19620531     5.1
19620601 19620630    20.9
19620701 19620731     8.3
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     8.1
19621101 19621130     0.0
19621201 19621231    18.6
19630101 19630131   232.2
19630201 19630228   198.2
19630301 19630331    75.5
19630401 19630430     0.0
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     1.3
19631101 19631130     6.8
19631201 19631231    83.8
19640101 19640131    85.7
19640201 19640229    51.3
19640301 19640331     2.8
19640401 19640430     0.0
19640501 19640531    33.5
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     3.5
19640901 19640930     1.5
19641001 19641031     0.0
19641101 19641130    16.7
19641201 19641231    10.4
19650101 19650131    66.3
19650201 19650228    13.1
19650301 19650331   167.4
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     1.5
19651101 19651130    16.0
19651201 19651231    68.1
19660101 19660131   141.7
19660201 19660228    20.8
19660301 19660331     6.3
19660401 19660430     0.8
19660501 19660531     4.1
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     1.5
19660901 19660930     0.0
19661001 19661031    32.5
19661101 19661130    39.8
19661201 19661231    66.8
19670101 19670131   204.7
19670201 19670228   314.1
19670301 19670331    46.2
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     1.1
19671101 19671130     9.9
19671201 19671231    58.4
19680101 19680131   158.1
19680201 19680229   126.1
19680301 19680331   153.4
19680401 19680430    27.2
19680501 19680531    82.1
19680601 19680630     0.0
19680701 19680731     9.7
19680801 19680831     0.0
19680901 19680930     0.5
19681001 19681031     5.3
19681101 19681130    33.9
19681201 19681231    25.9
19690101 19690131   121.0
19690201 19690228   157.4
19690301 19690331    74.6
19690401 19690430     0.0
19690501 19690531     1.0
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     0.0
19691101 19691130    27.2
19691201 19691231    42.4
19700101 19700131    24.6
19700201 19700228    80.6
19700301 19700331    21.4
19700401 19700430    18.6
19700501 19700531    10.1
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     5.1
19701101 19701130    18.3
19701201 19701231   118.1
19710101 19710131    50.7
19710201 19710228    57.9
19710301 19710331   189.9
19710401 19710430     0.5
19710501 19710531     0.0
19710601 19710630     7.7
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     2.0
19711101 19711130    32.6
19711201 19711231   114.3
19720101 19720131    11.5
19720201 19720229    33.1
19720301 19720331   107.0
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     3.0
19721101 19721130     3.5
19721201 19721231    40.4
19730101 19730131   224.4
19730201 19730228    53.4
19730301 19730331    25.4
19730401 19730430    21.8
19730501 19730531    21.3
19730601 19730630    21.1
19730701 19730731     0.0
19730801 19730831    15.8
19730901 19730930     4.8
19731001 19731031    12.5
19731101 19731130    80.8
19731201 19731231   107.1
19740101 19740131   230.9
19740201 19740228    88.6
19740301 19740331    70.4
19740401 19740430   227.8
19740501 19740531    27.2
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     1.1
19740901 19740930    64.4
19741001 19741031     0.0
19741101 19741130    20.0
19741201 19741231    22.6
19750101 19750131    43.5
19750201 19750228   167.6
19750301 19750331    27.0
19750401 19750430    12.2
19750501 19750531     0.0
19750601 19750630     5.0
19750701 19750731     0.8
19750801 19750831     0.0
19750901 19750930    37.1
19751001 19751031   102.4
19751101 19751130    71.5
19751201 19751231   119.3
19760101 19760131    56.2
19760201 19760229   159.4
19760301 19760331    88.4
19760401 19760430     2.4
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     3.0
19760901 19760930     6.8
19761001 19761031     4.3
19761101 19761130     0.0
19761201 19761231   104.8
19770101 19770131   110.6
19770201 19770228   237.7
19770301 19770331    28.2
19770401 19770430     4.0
19770501 19770531    16.5
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     5.6
19771101 19771130    23.2
19771201 19771231    45.5
19780101 19780131   171.4
19780201 19780228   156.8
19780301 19780331    60.2
19780401 19780430     1.0
19780501 19780531    79.2
19780601 19780630    63.4
19780701 19780731    77.2
19780801 19780831    10.4
19780901 19780930     0.0
19781001 19781031     1.2
19781101 19781130    12.8
19781201 19781231     8.0
19790101 19790131   100.0
19790201 19790228    49.8
19790301 19790331    44.0
19790401 19790430    21.0
19790501 19790531   111.2
19790601 19790630     0.8
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231    64.8
19800101 19800131    69.9
19800201 19800229   304.2
19800301 19800331    26.4
19800401 19800430    12.0
19800501 19800531     1.7
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     2.0
19801101 19801130    13.6
19801201 19801231    57.4
19810101 19810131   141.2
19810201 19810228   256.0
19810301 19810331    31.9
19810401 19810430     0.0
19810501 19810531     2.6
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031     4.0
19811101 19811130    23.0
19811201 19811231    58.8
19820101 19820131   209.0
19820201 19820228   369.6
19820301 19820331   203.2
19820401 19820430     0.8
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     2.6
19821101 19821130    61.0
19821201 19821231    62.2
19830101 19830131    27.8
19830201 19830228   138.2
19830301 19830331   373.2
19830401 19830430   160.4
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     3.0
19831101 19831130    35.4
19831201 19831231    58.1
19840101 19840131   209.8
19840201 19840229    30.8
19840301 19840331   250.8
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930    19.6
19841001 19841031     0.0
