PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
19550801 19550831   355.2
19550901 19550930   147.7
19551001 19551031   222.0
19551101 19551130   342.8
19551201 19551231   138.1
19560101 19560131   207.6
19560201 19560229    24.3
19560301 19560331   131.8
19560401 19560430   401.6
19560501 19560531    63.0
19560601 19560630   357.1
19560701 19560731   256.0
19560801 19560831   358.8
19560901 19560930   162.6
19561001 19561031   236.2
19561101 19561130   289.6
19561201 19561231   339.9
19570101 19570131   174.3
19570201 19570228   106.0
19570301 19570331   163.2
19570401 19570430   333.1
19570501 19570531   400.7
19570601 19570630   189.9
19570701 19570731    76.2
19570801 19570831   119.4
19570901 19570930   173.8
19571001 19571031   261.7
19571101 19571130   246.8
19571201 19571231   268.6
19580101 19580131   115.5
19580201 19580228   119.6
19580301 19580331   232.9
19580401 19580430   129.1
19580501 19580531   526.5
19580601 19580630   240.1
19580701 19580731   276.8
19580801 19580831   393.1
19580901 19580930   115.6
19581001 19581031   328.1
19581101 19581130   205.9
19581201 19581231   142.6
19590101 19590131    49.6
19590201 19590228   168.2
19590301 19590331   105.0
19590401 19590430   222.5
19590501 19590531   145.3
19590601 19590630   256.1
19590701 19590731   256.9
19590801 19590831   330.5
19590901 19590930   179.4
19591001 19591031   147.1
19591101 19591130   113.4
19591201 19591231   180.1
19600101 19600131   127.0
19600201 19600229   185.6
19600301 19600331   105.2
19600401 19600430   281.2
19600501 19600531   330.8
19600601 19600630   235.6
19600701 19600731   269.8
19600801 19600831    99.5
19600901 19600930   135.0
19601001 19601031   235.2
19601101 19601130   263.1
19601201 19601231     9.2
19610101 19610131    76.5
19610201 19610228   109.1
19610301 19610331    74.3
19610401 19610430   191.6
19610501 19610531   227.4
19610601 19610630   296.7
19610701 19610731   195.4
19610801 19610831    99.3
19610901 19610930   179.4
19611001 19611031   183.9
19611101 19611130   138.1
19611201 19611231   168.2
19620101 19620131    54.2
19620201 19620228   212.2
19620301 19620331   261.3
19620401 19620430   107.8
19620501 19620531   226.4
19620601 19620630   575.0
19620701 19620731   252.7
19620801 19620831   250.7
19620901 19620930   213.7
19621001 19621031   227.6
19621101 19621130   179.7
19621201 19621231    73.1
19630101 19630131    61.2
19630201 19630228    77.3
19630301 19630331   203.8
19630401 19630430   158.4
19630501 19630531   126.8
19630601 19630630   109.6
19630701 19630731   175.6
19630801 19630831   219.0
19630901 19630930   267.7
19631001 19631031   103.4
19631101 19631130   151.5
19631201 19631231   106.3
19640101 19640131   308.8
19640201 19640229   187.8
19640301 19640331   173.0
19640401 19640430   137.2
19640501 19640531   267.7
19640601 19640630   164.6
19640701 19640731   366.4
19640801 19640831   439.7
19640901 19640930   316.6
19641001 19641031   185.8
19641101 19641130   154.7
19641201 19641231   246.4
19650101 19650131   147.8
19650201 19650228    75.0
19650301 19650331   270.3
19650401 19650430   217.6
19650501 19650531   351.9
19650601 19650630   330.8
19650701 19650731   242.3
19650801 19650831    91.4
19650901 19650930   269.8
19651001 19651031   142.6
19651101 19651130   206.5
19651201 19651231   121.0
19660101 19660131   128.4
19660201 19660228    58.2
19660301 19660331   182.8
19660401 19660430   294.6
19660501 19660531   341.6
19660601 19660630   153.8
19660701 19660731   272.7
19660801 19660831   156.9
19660901 19660930   140.6
19661001 19661031   135.8
19661101 19661130   168.4
19661201 19661231   107.4
19670101 19670131   124.6
19670201 19670228    69.3
19670301 19670331   131.7
19670401 19670430   200.7
19670501 19670531    94.2
19670601 19670630   127.3
19670701 19670731   162.9
19670801 19670831   200.1
19670901 19670930   198.9
19671001 19671031   148.0
19671101 19671130   217.5
19671201 19671231   235.6
19680101 19680131    77.9
19680201 19680229   176.3
19680301 19680331   122.5
19680401 19680430   273.9
19680501 19680531   419.3
19680601 19680630   361.4
19680701 19680731   239.0
19680801 19680831   379.2
19680901 19680930   297.7
19681001 19681031   395.7
19681101 19681130   403.6
19681201 19681231   113.6
19690101 19690131   187.4
19690201 19690228   215.5
19690301 19690331   169.5
19690401 19690430   275.3
19690501 19690531   203.6
19690601 19690630   162.9
19690701 19690731   294.2
19690801 19690831   269.6
19690901 19690930   307.5
19691001 19691031    91.2
19691101 19691130   117.6
19691201 19691231   235.2
19700101 19700131    72.4
19700201 19700228    70.7
19700301 19700331    88.6
19700401 19700430   276.3
19700501 19700531   285.9
19700601 19700630   160.3
19700701 19700731   524.5
19700801 19700831   445.8
19700901 19700930   305.8
19701001 19701031   268.9
19701101 19701130    75.0
19701201 19701231   197.6
19710101 19710131   112.2
19710201 19710228   123.4
19710301 19710331    75.1
19710401 19710430   219.1
19710501 19710531   280.7
19710601 19710630   351.5
19710701 19710731   159.1
19710801 19710831   301.8
19710901 19710930   284.2
19711001 19711031   413.4
19711101 19711130   213.9
19711201 19711231   144.1
19720101 19720131    97.3
19720201 19720229   102.0
19720301 19720331   164.1
19720401 19720430   226.2
19720501 19720531   152.0
19720601 19720630   162.7
19720701 19720731   443.1
19720801 19720831   219.6
19720901 19720930   282.8
19721001 19721031   128.8
19721101 19721130   129.0
19721201 19721231   174.2
19730101 19730131   208.1
19730201 19730228   132.7
19730301 19730331   217.7
19730401 19730430   273.2
19730501 19730531   464.2
19730601 19730630   235.0
19730701 19730731   161.5
19730801 19730831   225.2
19730901 19730930   307.7
19731001 19731031   173.0
19731101 19731130   196.2
19731201 19731231   233.5
19740101 19740131    68.9
19740201 19740228   121.1
19740301 19740331    63.4
19740401 19740430   175.5
19740501 19740531    45.8
19740601 19740630   283.5
19740701 19740731   343.3
19740801 19740831   305.0
19740901 19740930   346.5
19741001 19741031   147.0
19741101 19741130   122.1
19741201 19741231   376.8
19750101 19750131   210.2
19750201 19750228    33.3
19750301 19750331   249.1
19750401 19750430   207.8
19750501 19750531   497.3
19750601 19750630   261.2
19750701 19750731   363.3
19750801 19750831   232.3
19750901 19750930   195.6
19751001 19751031   175.2
19751101 19751130   272.0
19751201 19751231    85.2
19760101 19760131   151.4
19760201 19760229    44.8
19760301 19760331   167.4
19760401 19760430   249.2
19760501 19760531   320.2
19760601 19760630   228.4
19760701 19760731   233.2
19760801 19760831   256.8
19760901 19760930   109.2
19761001 19761031   162.4
19761101 19761130   130.4
19761201 19761231   433.0
19770101 19770131   150.0
19770201 19770228    62.0
19770301 19770331   236.2
19770401 19770430   346.6
19770501 19770531   276.7
19770601 19770630   185.2
19770701 19770731   280.4
19770801 19770831   224.8
19770901 19770930    90.2
19771001 19771031   268.0
19771101 19771130   232.4
19771201 19771231   222.8
19780101 19780131   107.0
19780201 19780228   171.2
19780301 19780331    71.6
19780401 19780430   200.6
19780501 19780531   194.0
19780601 19780630    55.7
19780701 19780731   370.2
19780801 19780831   298.8
19780901 19780930   139.8
19781001 19781031   245.4
19781101 19781130   248.8
19781201 19781231   163.4
