PRCP       043035 18810101 20180131 missing_value=99999.9 SURAT POST OFFICE                         
19330101 19330131    61.6
19330201 19330228    60.5
19330301 19330331     8.9
19330401 19330430     1.8
19330501 19330531     9.1
19330601 19330630    26.4
19330701 19330731   124.1
19330801 19330831    24.6
19330901 19330930    49.1
19331001 19331031    72.1
19331101 19331130   193.4
19331201 19331231    78.4
19340101 19340131    82.6
19340201 19340228    68.8
19340301 19340331     1.0
19340401 19340430     7.9
19340501 19340531    21.3
19340601 19340630    45.9
19340701 19340731    33.2
19340801 19340831    18.7
19340901 19340930    19.1
19341001 19341031    66.5
19341101 19341130   135.8
19341201 19341231    70.4
19350101 19350131    42.7
19350201 19350228     4.4
19350301 19350331     0.0
19350401 19350430    25.5
19350501 19350531     5.6
19350601 19350630    10.9
19350701 19350731    30.2
19350801 19350831    33.0
19350901 19350930    51.4
19351001 19351031    28.2
19351101 19351130     5.8
19351201 19351231    33.0
19360101 19360131    94.7
19360201 19360229     8.7
19360301 19360331    86.0
19360401 19360430     1.0
19360501 19360531     8.0
19360601 19360630    28.5
19360701 19360731    56.7
19360801 19360831    21.8
19360901 19360930    17.8
19361001 19361031     8.2
19361101 19361130    20.4
19361201 19361231   132.7
19370101 19370131    75.8
19370201 19370228   103.4
19370301 19370331   159.5
19370401 19370430    13.7
19370501 19370531     1.0
19370601 19370630    24.1
19370701 19370731    18.3
19370801 19370831     6.1
19370901 19370930     2.6
19371001 19371031    20.3
19371101 19371130    40.8
19371201 19371231    26.6
19380101 19380131   119.1
19380201 19380228    37.9
19380301 19380331    14.4
19380401 19380430     4.1
19380501 19380531   100.7
19380601 19380630    28.8
19380701 19380731    11.7
19380801 19380831    22.1
19380901 19380930    27.3
19381001 19381031    46.0
19381101 19381130    49.8
19381201 19381231     0.0
19390101 19390131   175.1
19390201 19390228     1.8
19390301 19390331   117.7
19390401 19390430    53.7
19390501 19390531     9.7
19390601 19390630    26.6
19390701 19390731    43.2
19390801 19390831    36.8
19390901 19390930     3.3
19391001 19391031     8.1
19391101 19391130    17.8
