PRCP       016033 18860701 20141231 missing_value=99999.9 OAKDEN HILLS                              
19620401 19620430     0.8
19620501 19620531    37.3
19620601 19620630     0.0
19620701 19620731     5.0
19620801 19620831     2.5
19620901 19620930     0.0
19621001 19621031     5.8
19621101 19621130     0.0
19621201 19621231     3.8
19630101 19630131     0.0
19630201 19630228     0.0
19630301 19630331     0.0
19630401 19630430    40.9
19630501 19630531    51.1
19630601 19630630    56.5
19630701 19630731     3.6
19630801 19630831     6.5
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131     7.1
19640201 19640229    19.1
19640301 19640331     0.0
19640401 19640430     2.3
19640501 19640531     2.3
19640601 19640630     9.4
19640701 19640731     3.8
19640801 19640831     5.6
19640901 19640930    54.8
19641001 19641031    16.8
19641101 19641130     0.0
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    12.7
19650601 19650630     8.6
19650701 19650731    22.9
19650801 19650831    11.0
19650901 19650930    20.1
19651001 19651031     0.0
19651101 19651130     2.8
19651201 19651231    19.1
19660101 19660131    10.7
19660201 19660228    41.1
19660301 19660331     6.9
19660401 19660430     0.0
19660501 19660531    20.9
19660601 19660630    26.1
19660701 19660731     3.6
19660801 19660831    16.3
19660901 19660930    17.6
19661001 19661031    12.4
19661101 19661130     4.8
19661201 19661231    73.4
19670101 19670131    17.8
19670201 19670228    62.8
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    15.0
19670601 19670630     0.5
19670701 19670731     4.6
19670801 19670831     2.8
19670901 19670930     3.3
19671001 19671031     1.3
19671101 19671130     1.0
19671201 19671231     1.0
19680101 19680131    90.0
19680201 19680229    29.5
19680301 19680331     2.8
19680401 19680430    50.8
19680501 19680531    20.7
19680601 19680630    45.4
19680701 19680731    34.3
19680801 19680831    14.5
19680901 19680930     9.2
19681001 19681031     4.3
19681101 19681130    20.6
19681201 19681231     5.5
19690101 19690131    26.7
19690201 19690228    10.0
19690301 19690331    36.1
19690401 19690430     5.1
19690501 19690531    36.1
19690601 19690630    14.6
19690701 19690731    30.4
19690801 19690831    14.9
19690901 19690930    14.2
19691001 19691031     5.1
19691101 19691130     3.5
19691201 19691231     0.0
19700101 19700131     1.3
19700201 19700228     0.0
19700301 19700331     0.8
19700401 19700430     0.5
19700501 19700531     1.8
19700601 19700630     3.6
19700701 19700731     0.5
19700801 19700831    21.8
19700901 19700930    24.0
19701001 19701031    10.4
19701101 19701130    24.2
19701201 19701231     2.5
19710101 19710131     0.0
19710201 19710228     1.0
19710301 19710331    41.4
19710401 19710430    13.5
19710501 19710531     0.0
19710601 19710630    41.2
19710701 19710731    24.3
19710801 19710831    16.9
19710901 19710930    11.0
19711001 19711031     0.0
19711101 19711130    52.9
19711201 19711231     8.9
19720101 19720131    75.5
19720201 19720229     4.3
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531     0.8
19720601 19720630     4.1
19720701 19720731     1.3
19720801 19720831    26.2
19720901 19720930     1.8
19721001 19721031     7.1
19721101 19721130    13.2
19721201 19721231     1.5
19730101 19730131    10.4
19730201 19730228   115.9
19730301 19730331     5.3
19730401 19730430    10.2
19730501 19730531    10.5
19730601 19730630    42.7
19730701 19730731    27.6
19730801 19730831    45.2
19730901 19730930    28.7
19731001 19731031    43.7
19731101 19731130     5.3
19731201 19731231    30.0
19740101 19740131    33.8
19740201 19740228    83.8
19740301 19740331     0.0
19740401 19740430    43.0
19740501 19740531   124.4
19740601 19740630     5.0
19740701 19740731    17.6
19740801 19740831    13.8
19740901 19740930    31.6
19741001 19741031    72.8
19741101 19741130     1.8
19741201 19741231     0.6
19750101 19750131     1.2
19750201 19750228    32.4
19750301 19750331     5.2
19750401 19750430     2.4
19750501 19750531    11.4
19750601 19750630     0.0
19750701 19750731    23.0
19750801 19750831     8.4
19750901 19750930    15.6
19751001 19751031    37.2
19751101 19751130     3.6
19751201 19751231     0.0
19760101 19760131    20.0
19760201 19760229    28.6
19760301 19760331     3.0
19760401 19760430     8.2
19760501 19760531     1.4
19760601 19760630     7.2
19760701 19760731     1.7
19760801 19760831     0.0
19760901 19760930    12.6
19761001 19761031   102.9
19761101 19761130     8.2
19761201 19761231    10.2
19770101 19770131     0.0
19770201 19770228     0.8
19770301 19770331     0.0
19770401 19770430    12.4
19770501 19770531     7.8
19770601 19770630    17.2
19770701 19770731     1.2
19770801 19770831     6.0
19770901 19770930     4.8
19771001 19771031     3.0
19771101 19771130    60.8
19771201 19771231     1.4
19780101 19780131    23.8
19780201 19780228     0.0
19780301 19780331     0.0
19780401 19780430     3.4
19780501 19780531    13.6
19780601 19780630    29.4
19780701 19780731    20.8
19780801 19780831    22.6
