PRCP       041024 19060101 20180131 missing_value=99999.9 DOCTORS CREEK                             
19690401 19690430    12.7
19690501 19690531    99.3
19690601 19690630     5.3
19690701 19690731    11.9
19690801 19690831    79.0
19690901 19690930    38.7
19691001 19691031    74.3
19691101 19691130    51.4
19691201 19691231    60.8
19700101 19700131   213.0
19700201 19700228    33.9
19700301 19700331    57.6
19700401 19700430     8.6
19700501 19700531    28.2
19700601 19700630    27.2
19700701 19700731     1.1
19700801 19700831     1.8
19700901 19700930    43.9
19701001 19701031    28.8
19701101 19701130    50.6
19701201 19701231   223.4
19710101 19710131   180.6
19710201 19710228   208.0
19710301 19710331     9.6
19710401 19710430     5.3
19710501 19710531    33.1
19710601 19710630     5.9
19710701 19710731    31.7
19710801 19710831    42.7
19710901 19710930    46.0
19711001 19711031    79.2
19711101 19711130    52.3
19711201 19711231   134.7
19720101 19720131   127.4
19720201 19720229    73.0
19720301 19720331    64.0
19720401 19720430    50.8
19720501 19720531    16.4
19720601 19720630    26.2
19720701 19720731     1.0
19720801 19720831     7.1
19720901 19720930     2.4
19721001 19721031   193.6
19721101 19721130   103.1
19721201 19721231   100.4
19730101 19730131    83.2
19730201 19730228    89.4
19730301 19730331    26.2
19730401 19730430     2.0
19730501 19730531    25.2
19730601 19730630     5.6
19730701 19730731   134.2
19730801 19730831    42.6
19730901 19730930    31.8
19731001 19731031    65.8
19731101 19731130    59.2
19731201 19731231   122.3
19740101 19740131   274.0
19740201 19740228     1.2
19740301 19740331    58.0
19740401 19740430    22.0
19740501 19740531    50.6
19740601 19740630    25.6
19740701 19740731    16.2
19740801 19740831    28.4
19740901 19740930    64.6
19741001 19741031    58.0
19741101 19741130   180.0
19741201 19741231    96.2
19750101 19750131    77.2
19750201 19750228    94.6
19750301 19750331    87.6
19750401 19750430    22.4
19750501 19750531     2.8
19750601 19750630    62.8
19750701 19750731    36.2
19750801 19750831    48.8
19750901 19750930    60.6
19751001 19751031    62.4
19751101 19751130    75.6
19751201 19751231   176.2
19760101 19760131   165.2
19760201 19760229   165.0
19760301 19760331    84.6
19760401 19760430    21.6
19760501 19760531    32.2
19760601 19760630    22.8
19760701 19760731    37.2
19760801 19760831     0.0
19760901 19760930   100.0
19761001 19761031    52.4
19761101 19761130   190.0
19761201 19761231    68.4
19770101 19770131    32.6
19770201 19770228    73.8
19770301 19770331    61.8
19770401 19770430    25.2
19770501 19770531    74.6
19770601 19770630     9.4
19770701 19770731     0.0
19770801 19770831     8.4
19770901 19770930     6.2
19771001 19771031     8.8
19771101 19771130    92.4
19771201 19771231    21.6
19780101 19780131   166.4
19780201 19780228    70.4
19780301 19780331    51.2
19780401 19780430    57.6
19780501 19780531    39.2
19780601 19780630    53.9
19780701 19780731    58.0
19780801 19780831    79.0
19780901 19780930    75.2
19781001 19781031    38.8
19781101 19781130   114.0
19781201 19781231   146.2
19790101 19790131    24.8
19790201 19790228    59.8
19790301 19790331    91.2
19790401 19790430    35.8
19790501 19790531    61.8
19790601 19790630    70.6
19790701 19790731    40.0
19790801 19790831    11.6
19790901 19790930    29.4
19791001 19791031    47.8
19791101 19791130   116.6
19791201 19791231    75.0
19800101 19800131   160.4
19800201 19800229    81.6
19800301 19800331    53.4
19800401 19800430    19.6
19800501 19800531   101.0
19800601 19800630     6.0
19800701 19800731    40.8
19800801 19800831    17.8
19800901 19800930     1.2
19801001 19801031    94.8
19801101 19801130    38.2
19801201 19801231   115.0
19810101 19810131    58.8
19810201 19810228   315.8
19810301 19810331    14.4
19810401 19810430   114.8
19810501 19810531    45.4
19810601 19810630    80.5
19810701 19810731    54.2
19810801 19810831    24.8
19810901 19810930     4.4
19811001 19811031    10.0
19811101 19811130   104.4
19811201 19811231   257.6
19820101 19820131   156.8
19820201 19820228   184.2
19820301 19820331   123.1
19820401 19820430    27.6
19820501 19820531    33.6
19820601 19820630     1.4
19820701 19820731    13.8
19820801 19820831    11.0
19820901 19820930    69.8
19821001 19821031    53.0
19821101 19821130     8.2
19821201 19821231    91.1
19830101 19830131    84.6
19830201 19830228    17.6
19830301 19830331    72.4
19830401 19830430   119.8
19830501 19830531   168.2
19830601 19830630   154.9
19830701 19830731    54.4
19830801 19830831    33.2
19830901 19830930    11.2
19831001 19831031   128.2
19831101 19831130   131.0
19831201 19831231   116.8
19840101 19840131   103.4
19840201 19840229    24.0
19840301 19840331    41.8
19840401 19840430   119.4
19840501 19840531    22.4
19840601 19840630    58.0
19840701 19840731   142.6
19840801 19840831    52.0
19840901 19840930    52.0
19841001 19841031    48.4
19841101 19841130    50.6
19841201 19841231    59.4
19850101 19850131   127.2
19850201 19850228    27.2
19850301 19850331    41.2
19850401 19850430    64.0
19850501 19850531    26.2
19850601 19850630    48.0
19850701 19850731    38.8
19850801 19850831    60.6
19850901 19850930    41.4
19851001 19851031   107.6
19851101 19851130    33.0
19851201 19851231   105.4
19860101 19860131    64.4
19860201 19860228    90.2
19860301 19860331     3.6
19860401 19860430    16.8
19860501 19860531    98.8
19860601 19860630     0.0
19860701 19860731    46.6
19860801 19860831    52.0
19860901 19860930     6.2
19861001 19861031   157.2
19861101 19861130    58.6
19861201 19861231    59.2
19870101 19870131   108.2
19870201 19870228    38.2
19870301 19870331    46.4
19870401 19870430     7.8
19870501 19870531    76.2
19870601 19870630    17.8
19870701 19870731    48.6
19870801 19870831    34.4
19870901 19870930     0.8
19871001 19871031   106.4
19871101 19871130    53.6
19871201 19871231   144.6
19880101 19880131   114.2
19880201 19880229   117.4
19880301 19880331    27.0
19880401 19880430   189.2
19880501 19880531    21.8
19880601 19880630    43.4
19880701 19880731    91.8
19880801 19880831    47.2
19880901 19880930    64.6
19881001 19881031     9.2
19881101 19881130    36.4
19881201 19881231    72.2
19890101 19890131    77.0
19890201 19890228    43.0
19890301 19890331    76.4
19890401 19890430   109.6
19890501 19890531    54.6
19890601 19890630    28.0
19890701 19890731    36.8
19890801 19890831    53.0
19890901 19890930    18.2
19891001 19891031    73.6
19891101 19891130   187.4
19891201 19891231    55.8
19900101 19900131    48.0
19900201 19900228    64.2
19900301 19900331    58.0
19900401 19900430    83.2
19900501 19900531    92.0
19900601 19900630    35.0
19900701 19900731    32.4
19900801 19900831    17.0
19900901 19900930    23.6
19901001 19901031    45.8
19901101 19901130    24.4
19901201 19901231    36.0
19910101 19910131   113.4
19910201 19910228    56.6
19910301 19910331    11.2
19910401 19910430     1.0
19910501 19910531    21.6
19910601 19910630     5.2
19910701 19910731    34.4
19910801 19910831     0.0
19910901 19910930     3.4
19911001 19911031    34.6
19911101 19911130    86.6
19911201 19911231   183.2
19920101 19920131    77.4
19920201 19920229   156.4
19920301 19920331    40.4
19920401 19920430    28.4
19920501 19920531    41.8
19920601 19920630     4.4
19920701 19920731    31.2
19920801 19920831    41.8
19920901 19920930    58.4
19921001 19921031    18.0
19921101 19921130    88.4
19921201 19921231    55.0
19930101 19930131    38.6
19930201 19930228    15.0
19930301 19930331    32.8
19930401 19930430     0.6
19930501 19930531    56.4
19930601 19930630     9.2
19930701 19930731    68.0
19930801 19930831     9.4
19930901 19930930    38.8
19931001 19931031    42.0
19931101 19931130    32.0
19931201 19931231    91.0
19940101 19940131    56.0
19940201 19940228   145.2
19940301 19940331   107.2
19940401 19940430    11.8
19940501 19940531    16.6
19940601 19940630    27.2
19940701 19940731    10.6
19940801 19940831     0.6
19940901 19940930    13.0
19941001 19941031    46.0
19941101 19941130    15.4
19941201 19941231    20.2
19950101 19950131    55.4
19950201 19950228   178.4
19950301 19950331   145.4
19950401 19950430     3.8
19950501 19950531    35.2
