PRCP       021073 19100101 20160331 missing_value=99999.9 CLOVERLEA                                 
19930601 19930630    42.8
19930701 19930731    78.0
19930801 19930831    39.4
19930901 19930930    63.6
19931001 19931031    69.6
19931101 19931130    23.2
19931201 19931231    52.0
19940101 19940131     6.8
19940201 19940228    14.6
19940301 19940331     0.0
19940401 19940430     3.4
19940501 19940531    18.0
19940601 19940630   109.6
19940701 19940731    29.2
19940801 19940831    14.0
19940901 19940930    23.8
19941001 19941031    40.6
19941101 19941130    56.4
19941201 19941231     7.6
19950101 19950131    41.2
19950201 19950228    22.1
19950301 19950331    17.8
19950401 19950430    50.4
19950501 19950531    44.8
19950601 19950630    92.4
19950701 19950731    99.4
19950801 19950831    38.2
19950901 19950930    29.4
19951001 19951031    77.8
19951101 19951130    29.2
19951201 19951231     8.4
19960101 19960131    56.4
19960201 19960229    16.0
19960301 19960331    10.4
19960401 19960430     9.2
19960501 19960531     3.0
19960601 19960630   114.6
19960701 19960731    68.0
19960801 19960831   107.4
19960901 19960930    93.4
19961001 19961031    26.0
19961101 19961130    15.0
19961201 19961231    14.8
19970101 19970131    24.6
19970201 19970228    84.6
19970301 19970331     3.0
19970401 19970430     0.0
19970501 19970531    64.7
19970601 19970630    18.0
19970701 19970731    21.2
19970801 19970831    69.5
19970901 19970930    89.3
19971001 19971031    77.6
19971101 19971130    41.6
19971201 19971231    43.6
19980101 19980131     7.0
19980201 19980228    29.6
19980301 19980331    14.8
19980401 19980430    66.4
19980501 19980531    15.0
19980601 19980630    91.9
19980701 19980731    47.8
19980801 19980831    43.8
19980901 19980930    53.2
19981001 19981031    36.3
19981101 19981130    36.8
19981201 19981231    21.0
19990101 19990131    19.3
19990201 19990228     4.2
19990301 19990331    41.0
19990401 19990430     9.6
19990501 19990531    47.8
19990601 19990630    41.4
19990701 19990731    32.0
19990801 19990831    51.6
19990901 19990930    62.0
19991001 19991031    77.8
19991101 19991130    40.6
19991201 19991231    48.5
20000101 20000131     0.0
20000201 20000229    54.2
20000301 20000331    24.0
20000401 20000430    69.0
20000501 20000531    68.5
20000601 20000630    54.2
20000701 20000731    47.0
20000801 20000831    42.0
20000901 20000930    40.4
20001001 20001031    75.4
20001101 20001130    44.8
20001201 20001231    13.8
20010101 20010131    17.6
20010201 20010228    17.2
20010301 20010331    33.0
20010401 20010430    28.6
20010501 20010531    60.0
20010601 20010630    48.8
20010701 20010731    40.8
20010801 20010831    65.2
20010901 20010930    92.8
20011001 20011031    67.4
20011101 20011130    38.2
20011201 20011231    14.2
20020101 20020131    16.6
20020201 20020228     0.0
20020301 20020331     8.4
20020401 20020430     2.6
20020501 20020531    39.6
20020601 20020630    71.0
20020701 20020731    40.2
20020801 20020831    14.8
20020901 20020930    25.8
20021001 20021031    20.8
20021101 20021130    25.0
20021201 20021231    32.6
20030101 20030131     9.6
20030201 20030228    78.8
20030301 20030331     2.0
20030401 20030430    11.6
20030501 20030531    37.9
20030601 20030630    88.7
20030701 20030731    42.6
20030801 20030831    78.6
20030901 20030930    30.5
20031001 20031031    37.4
20031101 20031130    13.8
20031201 20031231    20.2
20040101 20040131     5.6
20040201 20040229     5.8
20040301 20040331    19.6
20040401 20040430     4.6
20040501 20040531    37.4
20040601 20040630    69.4
20040701 20040731    49.5
20040801 20040831    68.4
