PRCP       018073 19100101 20070630 missing_value=99999.9 PUNTABIE                                  
19810501 19810531    14.2
19810601 19810630    98.0
19810701 19810731    28.2
19810801 19810831    45.2
19810901 19810930     0.2
19811001 19811031    10.4
19811101 19811130    11.0
19811201 19811231     0.0
19820101 19820131     5.8
19820201 19820228    22.8
19820301 19820331    52.2
19820401 19820430    11.0
19820501 19820531    17.2
19820601 19820630    36.0
19820701 19820731    25.2
19820801 19820831     4.4
19820901 19820930    19.2
19821001 19821031     3.2
19821101 19821130     0.0
19821201 19821231    13.8
19830101 19830131     0.8
19830201 19830228     4.6
19830301 19830331    80.4
19830401 19830430   104.2
19830501 19830531    22.4
19830601 19830630     9.0
19830701 19830731    54.8
19830801 19830831    20.0
19830901 19830930    20.4
19831001 19831031    19.6
19831101 19831130    16.8
19831201 19831231     6.8
19840101 19840131     3.4
19840201 19840229     0.0
19840301 19840331     7.4
19840401 19840430    15.0
19840501 19840531    11.8
19840601 19840630     9.6
19840701 19840731    83.0
19840801 19840831    56.2
19840901 19840930    49.0
19841001 19841031    19.8
19841101 19841130     4.8
19841201 19841231    16.0
19850101 19850131     0.8
19850201 19850228     0.0
19850301 19850331     9.2
19850401 19850430    14.4
19850501 19850531    15.4
19850601 19850630    19.0
19850701 19850731    12.8
19850801 19850831    80.0
19850901 19850930    11.0
19851001 19851031    16.0
19851101 19851130     6.2
19851201 19851231    16.4
19860101 19860131     0.4
19860201 19860228     3.4
19860301 19860331     0.0
19860401 19860430    15.4
19860501 19860531    23.8
19860601 19860630    38.4
19860701 19860731    83.0
19860801 19860831    38.8
19860901 19860930    13.8
19861001 19861031    53.0
19861101 19861130    13.0
19861201 19861231    10.2
19870101 19870131     7.8
19870201 19870228    30.8
19870301 19870331     0.4
19870401 19870430     4.8
19870501 19870531    18.2
19870601 19870630    23.2
19870701 19870731    37.8
19870801 19870831    27.0
19870901 19870930    22.8
19871001 19871031    12.8
19871101 19871130     0.6
19871201 19871231     7.0
19880101 19880131    15.0
19880201 19880229     6.0
19880301 19880331    18.6
19880401 19880430     0.2
19880501 19880531    25.9
19880601 19880630    29.8
19880701 19880731    38.0
19880801 19880831     7.8
19880901 19880930    18.6
19881001 19881031     9.2
19881101 19881130    14.0
19881201 19881231    16.6
19890101 19890131     1.2
19890201 19890228     0.0
19890301 19890331    24.0
19890401 19890430    56.2
19890501 19890531    20.4
19890601 19890630    49.8
19890701 19890731    75.2
19890801 19890831    25.4
19890901 19890930    20.6
19891001 19891031     2.6
19891101 19891130    10.4
19891201 19891231     1.4
19900101 19900131     2.4
19900201 19900228    13.2
19900301 19900331     5.0
19900401 19900430     8.8
19900501 19900531    22.6
19900601 19900630    52.2
19900701 19900731    71.8
19900801 19900831    35.0
19900901 19900930    36.2
19901001 19901031    23.6
19901101 19901130     0.2
19901201 19901231    65.8
19910101 19910131     7.0
19910201 19910228     0.0
19910301 19910331     2.6
19910401 19910430    23.4
19910501 19910531    26.0
19910601 19910630    81.6
19910701 19910731    31.6
19910801 19910831    31.2
19910901 19910930    29.2
19911001 19911031     3.0
19911101 19911130    38.4
19911201 19911231     0.0
19920101 19920131     0.8
19920201 19920229     8.2
19920301 19920331    33.8
19920401 19920430    22.6
19920501 19920531    38.4
19920601 19920630    26.6
19920701 19920731    29.4
19920801 19920831    62.6
19920901 19920930    71.2
19921001 19921031    81.2
19921101 19921130    40.2
19921201 19921231   101.2
19930101 19930131    45.6
19930201 19930228     1.6
19930301 19930331     0.6
19930401 19930430     1.0
19930501 19930531    19.8
19930601 19930630    14.4
19930701 19930731    22.6
19930801 19930831    39.8
19930901 19930930    38.6
19931001 19931031    76.6
19931101 19931130    11.4
19931201 19931231    34.8
19940101 19940131     0.0
19940201 19940228    18.2
19940301 19940331     0.0
19940401 19940430     1.0
19940501 19940531    14.4
19940601 19940630    39.0
19940701 19940731    31.0
19940801 19940831    11.0
19940901 19940930    10.0
19941001 19941031    13.6
19941101 19941130     6.2
19941201 19941231     1.6
19950101 19950131    14.8
19950201 19950228     3.0
19950301 19950331     8.0
19950401 19950430    26.8
19950501 19950531    28.4
19950601 19950630    41.6
19950701 19950731    58.0
19950801 19950831    23.2
19950901 19950930    20.2
19951001 19951031    12.2
19951101 19951130     4.6
19951201 19951231     5.4
19960101 19960131     0.6
19960201 19960229     3.2
19960301 19960331     7.0
19960401 19960430     1.2
19960501 19960531     7.8
19960601 19960630    36.8
19960701 19960731    62.6
19960801 19960831    40.6
19960901 19960930    58.8
19961001 19961031    18.0
19961101 19961130    10.4
19961201 19961231     3.8
19970101 19970131     5.2
19970201 19970228    38.6
19970301 19970331     1.0
19970401 19970430     0.4
19970501 19970531    57.8
19970601 19970630    13.2
19970701 19970731     5.4
19970801 19970831    37.4
19970901 19970930    64.2
19971001 19971031    30.6
19971101 19971130    36.8
19971201 19971231    65.6
19980101 19980131     3.2
19980201 19980228    12.2
19980301 19980331    17.4
19980401 19980430    30.2
19980501 19980531    32.0
19980601 19980630    36.0
19980701 19980731    87.2
19980801 19980831    14.6
19980901 19980930    21.4
19981001 19981031     6.4
19981101 19981130    17.0
19981201 19981231     2.8
19990101 19990131    49.2
19990201 19990228    10.4
19990301 19990331    13.0
19990401 19990430     0.0
19990501 19990531 99999.9
19990601 19990630    14.2
19990701 19990731     5.6
19990801 19990831    12.2
19990901 19990930    57.8
19991001 19991031    53.8
19991101 19991130     9.8
19991201 19991231     2.0
20000101 20000131    28.6
20000201 20000229    26.0
20000301 20000331    22.6
20000401 20000430    10.2
20000501 20000531    18.6
20000601 20000630    26.6
20000701 20000731    32.0
20000801 20000831    77.4
20000901 20000930    36.8
