PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
19370901 19370930     7.3
19371001 19371031   102.7
19371101 19371130   338.0
19371201 19371231   107.3
19380101 19380131   192.1
19380201 19380228    98.3
19380301 19380331   186.0
19380401 19380430    95.0
19380501 19380531   605.9
19380601 19380630   127.2
19380701 19380731   274.6
19380801 19380831    60.5
19380901 19380930    28.2
19381001 19381031   127.9
19381101 19381130    72.3
19381201 19381231     5.1
19390101 19390131    64.5
19390201 19390228    52.4
19390301 19390331   404.9
19390401 19390430   132.7
19390501 19390531   213.4
19390601 19390630   126.3
19390701 19390731   162.6
19390801 19390831    44.4
19390901 19390930     4.6
19391001 19391031   103.8
19391101 19391130    57.2
19391201 19391231    40.8
19400101 19400131   107.4
19400201 19400229   151.9
19400301 19400331   161.8
19400401 19400430   108.4
19400501 19400531   157.7
19400601 19400630   107.8
19400701 19400731   100.4
19400801 19400831    73.5
19400901 19400930    24.9
19401001 19401031    78.1
19401101 19401130   103.7
19401201 19401231    48.3
19410101 19410131   144.6
19410201 19410228   146.6
19410301 19410331   181.0
19410401 19410430   175.7
19410501 19410531   158.3
19410601 19410630   141.4
19410701 19410731    35.4
19410801 19410831    36.3
19410901 19410930    22.3
19411001 19411031    73.6
19411101 19411130    50.6
19411201 19411231    40.2
19420101 19420131    45.5
19420201 19420228   230.0
19420301 19420331    71.9
19420401 19420430   174.1
19420501 19420531    72.9
19420601 19420630   123.7
19420701 19420731    73.3
19420801 19420831   106.7
19420901 19420930    10.4
19421001 19421031   127.2
19421101 19421130    81.0
19421201 19421231   286.6
19430101 19430131    49.8
19430201 19430228   165.1
19430301 19430331    50.2
19430401 19430430   142.9
19430501 19430531   112.8
19430601 19430630    70.1
19430701 19430731    14.7
19430801 19430831   101.3
19430901 19430930    61.2
19431001 19431031   170.8
19431101 19431130   162.1
19431201 19431231   368.2
19440101 19440131   157.7
19440201 19440229    87.8
19440301 19440331    64.6
19440401 19440430     7.7
19440501 19440531    72.1
19440601 19440630   152.2
19440701 19440731   223.7
19440801 19440831    98.6
19440901 19440930    60.0
19441001 19441031    53.1
19441101 19441130    48.9
19441201 19441231    75.8
19450101 19450131    97.8
19450201 19450228   181.3
19450301 19450331    71.0
19450401 19450430   184.5
19450501 19450531   223.6
19450601 19450630   240.3
19450701 19450731    86.7
19450801 19450831    14.2
19450901 19450930    91.6
19451001 19451031    45.6
19451101 19451130   117.6
19451201 19451231    75.7
19460101 19460131    55.6
19460201 19460228    89.6
19460301 19460331   285.2
19460401 19460430    97.0
19460501 19460531    23.4
19460601 19460630    15.8
19460701 19460731     6.6
19460801 19460831    14.8
19460901 19460930    54.4
19461001 19461031    98.4
19461101 19461130     9.5
