PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19260801 19260831   160.1
19260901 19260930    92.6
19261001 19261031   162.5
19261101 19261130    36.8
19261201 19261231    39.4
19270101 19270131    24.5
19270201 19270228    43.7
19270301 19270331    24.0
19270401 19270430     9.7
19270501 19270531   117.4
19270601 19270630    60.1
19270701 19270731   141.3
19270801 19270831   208.8
19270901 19270930    64.4
19271001 19271031   166.0
19271101 19271130    51.5
19271201 19271231    96.7
19280101 19280131    64.6
19280201 19280229   325.7
19280301 19280331   244.4
19280401 19280430    78.9
19280501 19280531   104.8
19280601 19280630   215.4
19280701 19280731   136.8
19280801 19280831    46.3
19280901 19280930   128.7
19281001 19281031   278.7
19281101 19281130    18.5
19281201 19281231    25.2
19290101 19290131    18.8
19290201 19290228    62.3
19290301 19290331    59.6
19290401 19290430   165.4
19290501 19290531   113.6
19290601 19290630   144.5
19290701 19290731    40.4
19290801 19290831   116.1
19290901 19290930    76.5
19291001 19291031    83.8
19291101 19291130    89.1
19291201 19291231    83.2
19300101 19300131     0.0
19300201 19300228    56.6
19300301 19300331    18.5
19300401 19300430    66.7
19300501 19300531   164.9
19300601 19300630    20.2
19300701 19300731    93.1
19300801 19300831   192.0
19300901 19300930    84.6
19301001 19301031   284.1
19301101 19301130    85.1
19301201 19301231   277.7
19310101 19310131    64.4
19310201 19310228    41.3
19310301 19310331   242.8
19310401 19310430   107.2
19310501 19310531   208.1
19310601 19310630   321.7
19310701 19310731   111.9
19310801 19310831   152.5
19310901 19310930   126.1
19311001 19311031   112.6
19311101 19311130   123.3
19311201 19311231     0.0
19320101 19320131     5.7
19320201 19320229    44.0
19320301 19320331   289.1
19320401 19320430   303.1
19320501 19320531    10.5
19320601 19320630   187.4
19320701 19320731   165.6
19320801 19320831   217.8
19320901 19320930    78.1
19321001 19321031    83.9
19321101 19321130    58.2
19321201 19321231    66.8
19330101 19330131    57.5
19330201 19330228     0.0
19330301 19330331    75.3
19330401 19330430    34.4
19330501 19330531   184.1
19330601 19330630    59.4
19330701 19330731   154.4
19330801 19330831   126.8
19330901 19330930   260.6
19331001 19331031   130.7
19331101 19331130    60.6
19331201 19331231   197.2
19340101 19340131   201.2
19340201 19340228    80.3
19340301 19340331    89.5
19340401 19340430   121.9
19340501 19340531     1.7
