PRCP       018057 19070101 20170930 missing_value=99999.9 MOUNT WUDINNA                             
19831101 19831130     7.2
19831201 19831231    17.6
19840101 19840131     1.6
19840201 19840229     0.0
19840301 19840331    17.6
19840401 19840430    25.4
19840501 19840531    27.4
19840601 19840630    10.0
19840701 19840731    54.4
19840801 19840831    70.2
19840901 19840930    37.4
19841001 19841031    28.6
19841101 19841130     9.2
19841201 19841231    12.0
19850101 19850131     1.4
19850201 19850228     0.0
19850301 19850331    26.6
19850401 19850430    45.4
19850501 19850531    10.8
19850601 19850630    24.0
19850701 19850731    23.4
19850801 19850831    95.4
19850901 19850930    15.2
19851001 19851031    35.4
19851101 19851130     7.0
19851201 19851231    25.4
19860101 19860131     3.0
19860201 19860228     5.8
19860301 19860331     0.0
19860401 19860430    12.8
19860501 19860531    25.2
19860601 19860630    28.6
19860701 19860731    46.2
19860801 19860831    41.4
19860901 19860930    33.0
19861001 19861031    42.4
19861101 19861130     9.4
19861201 19861231    43.4
19870101 19870131    27.2
19870201 19870228    25.6
19870301 19870331     1.0
19870401 19870430     6.6
19870501 19870531    34.8
19870601 19870630    24.0
19870701 19870731    41.0
19870801 19870831    25.4
19870901 19870930    19.8
19871001 19871031    12.8
19871101 19871130     7.6
19871201 19871231    14.0
19880101 19880131    10.4
19880201 19880229     2.8
19880301 19880331     8.4
19880401 19880430     1.8
19880501 19880531    21.6
19880601 19880630    21.6
19880701 19880731    31.6
19880801 19880831    12.0
19880901 19880930    23.4
19881001 19881031     8.2
19881101 19881130    30.4
19881201 19881231     4.8
19890101 19890131     1.6
19890201 19890228     0.0
19890301 19890331    18.8
19890401 19890430    17.2
19890501 19890531    55.0
19890601 19890630    77.4
19890701 19890731    75.4
19890801 19890831    32.4
19890901 19890930    25.6
19891001 19891031    12.2
19891101 19891130    24.8
19891201 19891231    20.4
19900101 19900131    18.2
19900201 19900228    13.8
19900301 19900331     3.0
19900401 19900430     6.6
19900501 19900531    20.0
19900601 19900630    36.2
19900701 19900731    65.2
19900801 19900831    37.4
19900901 19900930    32.2
19901001 19901031    26.6
19901101 19901130     1.8
19901201 19901231    60.8
19910101 19910131     6.8
19910201 19910228     0.0
19910301 19910331     4.6
19910401 19910430    21.8
19910501 19910531    15.0
19910601 19910630    84.2
19910701 19910731    31.0
19910801 19910831    33.0
19910901 19910930    43.4
19911001 19911031     1.8
19911101 19911130    45.2
19911201 19911231     0.0
19920101 19920131     1.6
19920201 19920229     9.0
19920301 19920331    54.4
19920401 19920430    31.2
19920501 19920531    54.4
19920601 19920630    17.8
19920701 19920731    24.0
19920801 19920831    56.6
19920901 19920930    88.6
19921001 19921031    74.8
19921101 19921130    49.2
19921201 19921231   140.2
19930101 19930131   133.8
19930201 19930228     2.8
19930301 19930331    10.8
19930401 19930430     0.0
19930501 19930531    25.4
19930601 19930630    21.0
19930701 19930731    26.0
19930801 19930831    34.8
19930901 19930930    37.8
19931001 19931031    49.4
19931101 19931130     9.8
19931201 19931231    27.4
19940101 19940131     0.0
19940201 19940228     9.2
19940301 19940331     0.0
19940401 19940430     0.2
19940501 19940531    11.0
19940601 19940630    37.4
19940701 19940731    36.8
19940801 19940831    21.0
19940901 19940930    11.6
19941001 19941031    16.2
19941101 19941130     9.6
19941201 19941231     4.4
19950101 19950131    29.0
19950201 19950228     3.0
19950301 19950331     6.4
19950401 19950430    16.6
19950501 19950531    31.0
19950601 19950630    50.6
19950701 19950731    60.4
19950801 19950831    12.8
19950901 19950930    29.4
19951001 19951031    14.8
19951101 19951130    16.0
19951201 19951231     4.2
19960101 19960131     2.0
19960201 19960229     6.0
19960301 19960331     4.2
19960401 19960430     8.4
