PRCP       007057 18941101 20101130 missing_value=99999.9 MOUNT MAGNET                              
19430701 19430731    10.7
19430801 19430831    11.2
19430901 19430930     5.8
19431001 19431031     3.5
19431101 19431130     2.8
19431201 19431231     2.5
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     8.1
19440401 19440430     8.4
19440501 19440531     8.4
19440601 19440630     3.0
19440701 19440731    37.3
19440801 19440831    18.6
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     0.5
19441201 19441231     0.5
19450101 19450131     0.0
19450201 19450228    19.0
19450301 19450331     4.9
19450401 19450430     3.9
19450501 19450531    10.1
19450601 19450630    75.3
19450701 19450731    10.1
19450801 19450831    23.2
19450901 19450930    11.5
19451001 19451031     0.0
19451101 19451130     2.0
19451201 19451231     1.3
19460101 19460131     3.8
19460201 19460228    13.2
19460301 19460331     0.0
19460401 19460430    19.3
19460501 19460531    21.6
19460601 19460630    15.2
19460701 19460731    46.3
19460801 19460831    10.5
19460901 19460930     2.3
19461001 19461031     0.0
19461101 19461130     4.3
19461201 19461231     1.5
19470101 19470131    30.2
19470201 19470228   105.4
19470301 19470331    33.8
19470401 19470430     4.8
19470501 19470531    21.9
19470601 19470630    16.1
19470701 19470731    53.1
19470801 19470831    18.6
19470901 19470930    13.7
19471001 19471031    23.7
19471101 19471130     6.4
19471201 19471231     0.0
19480101 19480131     0.0
19480201 19480229   143.9
19480301 19480331    36.6
19480401 19480430     8.4
19480501 19480531     0.0
19480601 19480630    28.9
19480701 19480731    20.9
19480801 19480831    27.3
19480901 19480930     3.3
19481001 19481031     0.0
19481101 19481130    17.7
19481201 19481231     1.0
19490101 19490131     0.0
19490201 19490228    52.3
19490301 19490331     0.0
19490401 19490430     4.8
19490501 19490531     1.0
19490601 19490630    22.3
19490701 19490731    15.8
19490801 19490831    38.7
19490901 19490930    17.0
19491001 19491031     6.6
19491101 19491130    14.3
19491201 19491231     2.3
19500101 19500131     0.0
19500201 19500228     0.8
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    50.4
19500601 19500630    15.8
19500701 19500731     9.0
19500801 19500831     4.3
19500901 19500930     0.0
19501001 19501031     1.8
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    31.0
19510201 19510228    10.2
19510301 19510331     8.4
19510401 19510430    28.6
19510501 19510531    12.5
19510601 19510630    84.3
19510701 19510731    62.8
19510801 19510831     4.9
19510901 19510930     1.0
19511001 19511031     1.0
19511101 19511130     0.0
19511201 19511231     0.5
19520101 19520131    37.6
19520201 19520229    23.0
19520301 19520331     5.6
19520401 19520430     0.5
19520501 19520531    15.6
19520601 19520630     1.6
19520701 19520731    16.8
19520801 19520831     0.5
19520901 19520930     5.3
19521001 19521031     0.5
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     0.8
19530201 19530228     0.0
19530301 19530331   105.2
19530401 19530430    11.4
19530501 19530531    20.1
19530601 19530630     9.7
19530701 19530731    36.7
19530801 19530831    36.0
19530901 19530930     3.8
19531001 19531031    10.4
19531101 19531130     4.8
19531201 19531231    12.2
19540101 19540131    30.4
19540201 19540228     0.5
19540301 19540331     0.0
19540401 19540430     4.3
19540501 19540531    22.5
19540601 19540630    16.0
19540701 19540731     6.7
19540801 19540831    10.0
19540901 19540930     8.6
19541001 19541031     0.8
19541101 19541130     3.5
19541201 19541231     1.8
19550101 19550131    84.5
19550201 19550228    65.6
19550301 19550331    14.8
19550401 19550430     3.5
19550501 19550531    19.8
19550601 19550630    50.9
19550701 19550731    16.4
19550801 19550831    16.6
19550901 19550930    40.0
19551001 19551031    11.1
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     1.8
19560301 19560331     0.5
19560401 19560430     0.5
19560501 19560531    47.4
19560601 19560630    36.9
19560701 19560731    15.0
19560801 19560831    22.0
19560901 19560930     0.8
19561001 19561031    10.4
19561101 19561130    13.9
19561201 19561231     4.0
19570101 19570131    13.7
19570201 19570228    29.0
19570301 19570331    38.8
19570401 19570430     0.3
19570501 19570531     5.2
19570601 19570630    49.1
19570701 19570731     3.4
19570801 19570831    13.7
19570901 19570930     3.5
19571001 19571031     0.5
19571101 19571130     0.0
19571201 19571231     3.2
19580101 19580131    42.9
19580201 19580228     1.8
19580301 19580331    21.7
19580401 19580430     3.8
19580501 19580531    52.1
19580601 19580630     8.6
19580701 19580731    54.0
19580801 19580831    19.3
19580901 19580930    21.9
19581001 19581031     3.0
19581101 19581130    38.1
19581201 19581231    10.9
19590101 19590131    17.2
19590201 19590228    10.9
19590301 19590331     5.9
19590401 19590430    16.7
19590501 19590531     0.3
19590601 19590630    16.4
19590701 19590731    11.7
19590801 19590831     9.7
19590901 19590930     0.0
19591001 19591031     3.3
19591101 19591130     0.0
19591201 19591231     8.3
19600101 19600131     8.1
19600201 19600229   208.6
19600301 19600331    67.6
19600401 19600430    54.8
19600501 19600531    23.7
19600601 19600630    17.1
19600701 19600731    90.1
19600801 19600831     7.7
19600901 19600930    14.8
19601001 19601031     2.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    36.8
19610201 19610228     1.3
19610301 19610331     5.8
19610401 19610430    22.3
19610501 19610531     1.8
19610601 19610630    24.9
19610701 19610731     9.4
19610801 19610831     8.7
19610901 19610930     0.0
19611001 19611031     1.3
19611101 19611130     0.8
19611201 19611231     3.1
19620101 19620131     4.7
19620201 19620228    56.7
19620301 19620331     0.8
19620401 19620430     2.5
19620501 19620531    90.3
19620601 19620630    14.3
19620701 19620731    18.8
19620801 19620831     6.9
19620901 19620930     2.1
19621001 19621031    11.0
19621101 19621130     5.1
19621201 19621231    18.4
19630101 19630131   158.4
19630201 19630228    34.6
19630301 19630331    10.5
19630401 19630430    30.1
19630501 19630531   100.8
19630601 19630630    56.6
19630701 19630731    95.3
19630801 19630831    20.1
19630901 19630930     5.9
19631001 19631031     0.3
19631101 19631130     1.8
19631201 19631231    30.1
19640101 19640131     6.4
19640201 19640229     6.6
19640301 19640331    36.6
19640401 19640430    31.7
19640501 19640531     0.0
19640601 19640630    42.1
19640701 19640731    45.8
19640801 19640831    12.0
19640901 19640930    18.5
19641001 19641031     5.5
19641101 19641130    11.4
19641201 19641231     0.0
19650101 19650131     4.1
19650201 19650228     0.8
19650301 19650331    29.5
19650401 19650430     1.8
19650501 19650531    20.7
19650601 19650630    78.6
19650701 19650731    51.1
19650801 19650831    25.5
19650901 19650930     6.5
19651001 19651031     9.4
19651101 19651130    67.9
19651201 19651231     2.4
19660101 19660131     0.8
19660201 19660228    22.7
19660301 19660331     3.5
19660401 19660430    53.5
19660501 19660531     0.0
19660601 19660630    11.1
19660701 19660731    14.8
19660801 19660831    10.0
19660901 19660930     9.9
19661001 19661031    17.1
19661101 19661130     5.8
19661201 19661231     0.0
19670101 19670131    93.3
19670201 19670228    11.4
19670301 19670331     0.0
19670401 19670430     6.1
19670501 19670531    44.4
19670601 19670630    16.3
19670701 19670731    28.7
19670801 19670831    21.6
19670901 19670930     1.5
19671001 19671031    28.0
19671101 19671130     1.0
19671201 19671231     9.1
19680101 19680131    17.8
19680201 19680229    22.6
19680301 19680331    31.7
19680401 19680430    22.2
19680501 19680531    28.5
19680601 19680630   125.6
19680701 19680731     8.1
19680801 19680831     6.3
19680901 19680930    13.2
19681001 19681031     1.5
19681101 19681130     6.1
19681201 19681231     0.0
19690101 19690131     0.0
19690201 19690228    15.0
19690301 19690331     0.0
19690401 19690430     4.6
19690501 19690531    42.5
