PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
19420501 19420531    70.1
19420601 19420630    26.4
19420701 19420731    35.7
19420801 19420831    37.9
19420901 19420930    57.6
19421001 19421031    21.9
19421101 19421130    79.3
19421201 19421231    18.5
19430101 19430131    15.7
19430201 19430228    30.9
19430301 19430331     3.6
19430401 19430430    22.4
19430501 19430531    17.1
19430601 19430630    26.8
19430701 19430731    29.5
19430801 19430831    51.4
19430901 19430930    32.8
19431001 19431031    26.0
19431101 19431130    15.0
19431201 19431231    28.2
19440101 19440131     0.3
19440201 19440229     4.4
19440301 19440331     2.8
19440401 19440430    23.4
19440501 19440531    50.2
19440601 19440630     7.8
19440701 19440731    27.7
19440801 19440831     3.6
19440901 19440930    13.2
19441001 19441031    12.7
19441101 19441130    20.6
19441201 19441231    17.7
19450101 19450131    15.3
19450201 19450228    47.0
19450301 19450331     5.8
19450401 19450430     1.1
19450501 19450531    39.8
19450601 19450630    15.1
19450701 19450731    15.5
19450801 19450831    40.3
19450901 19450930    42.6
19451001 19451031    67.9
19451101 19451130    41.8
19451201 19451231    44.0
19460101 19460131    31.1
19460201 19460228   115.3
19460301 19460331    60.5
19460401 19460430    17.1
19460501 19460531    36.6
19460601 19460630    20.8
19460701 19460731    45.5
19460801 19460831    23.5
19460901 19460930    12.4
19461001 19461031    20.6
19461101 19461130    36.3
19461201 19461231   114.9
19470101 19470131     0.0
19470201 19470228    23.3
19470301 19470331    98.0
19470401 19470430    23.7
19470501 19470531     4.9
19470601 19470630    17.4
19470701 19470731    46.8
19470801 19470831    33.4
19470901 19470930    51.7
19471001 19471031    29.1
19471101 19471130    57.5
19471201 19471231    31.8
19480101 19480131     2.5
19480201 19480229     8.9
19480301 19480331     5.2
19480401 19480430    77.8
19480501 19480531    21.5
19480601 19480630    20.9
19480701 19480731    29.5
19480801 19480831    27.5
19480901 19480930     8.0
19481001 19481031    34.3
19481101 19481130    52.1
19481201 19481231    38.6
19490101 19490131     5.0
19490201 19490228    27.9
19490301 19490331     2.0
19490401 19490430     5.1
19490501 19490531    52.0
19490601 19490630    28.3
19490701 19490731    33.1
19490801 19490831    22.3
19490901 19490930     7.8
19491001 19491031    33.4
19491101 19491130    44.8
19491201 19491231     0.8
19500101 19500131     0.6
19500201 19500228    22.3
19500301 19500331    24.1
19500401 19500430     8.3
19500501 19500531    37.3
19500601 19500630    34.9
19500701 19500731    22.6
19500801 19500831    26.9
19500901 19500930    19.3
19501001 19501031    37.0
19501101 19501130    21.0
19501201 19501231    18.7
19510101 19510131    12.2
19510201 19510228    13.2
19510301 19510331     0.5
19510401 19510430    35.0
19510501 19510531    59.9
19510601 19510630    57.0
19510701 19510731    57.3
19510801 19510831    47.7
19510901 19510930     5.2
19511001 19511031    51.0
19511101 19511130    10.2
19511201 19511231    26.0
19520101 19520131    30.0
19520201 19520229     5.6
19520301 19520331     0.8
19520401 19520430    40.8
19520501 19520531    55.8
19520601 19520630    37.7
19520701 19520731    34.3
19520801 19520831    18.6
19520901 19520930    35.2
19521001 19521031    57.8
19521101 19521130    38.9
19521201 19521231    13.0
19530101 19530131    13.7
19530201 19530228     5.6
19530301 19530331     4.1
19530401 19530430    16.0
19530501 19530531    12.4
19530601 19530630    39.2
19530701 19530731    27.2
19530801 19530831    55.4
19530901 19530930    17.6
19531001 19531031    34.7
19531101 19531130    20.8
19531201 19531231    46.0
19540101 19540131    15.3
19540201 19540228     2.5
19540301 19540331     1.8
19540401 19540430    79.1
19540501 19540531    10.3
19540601 19540630    48.6
19540701 19540731    22.9
19540801 19540831    10.2
19540901 19540930    11.7
19541001 19541031    41.1
19541101 19541130    24.8
19541201 19541231    20.0
19550101 19550131     5.8
19550201 19550228   117.0
19550301 19550331     7.9
19550401 19550430    57.7
19550501 19550531    91.1
19550601 19550630    88.3
19550701 19550731    20.6
19550801 19550831    43.8
19550901 19550930    17.2
19551001 19551031    30.9
19551101 19551130    21.0
19551201 19551231    28.8
19560101 19560131     8.7
19560201 19560229     0.0
19560301 19560331    34.6
19560401 19560430    25.7
19560501 19560531    47.8
19560601 19560630    37.4
19560701 19560731    35.7
19560801 19560831    35.6
19560901 19560930    31.1
19561001 19561031    33.1
19561101 19561130    10.5
19561201 19561231     5.7
19570101 19570131     0.3
19570201 19570228     0.0
19570301 19570331     4.1
19570401 19570430     6.4
19570501 19570531    13.1
19570601 19570630    20.8
19570701 19570731    29.8
19570801 19570831    20.4
19570901 19570930    31.9
19571001 19571031    38.6
19571101 19571130    15.3
19571201 19571231     5.8
19580101 19580131     5.5
19580201 19580228     5.3
19580301 19580331    23.4
19580401 19580430    14.6
19580501 19580531    47.5
19580601 19580630     6.9
19580701 19580731    39.7
19580801 19580831    60.5
19580901 19580930    55.2
19581001 19581031    52.9
19581101 19581130    17.5
19581201 19581231     8.9
19590101 19590131     0.8
19590201 19590228    11.8
19590301 19590331    54.5
19590401 19590430     5.4
