PRCP       041082 18861201 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
19401101 19401130    92.0
19401201 19401231   133.7
19410101 19410131   146.9
19410201 19410228    38.9
19410301 19410331   137.7
19410401 19410430    15.0
19410501 19410531    11.7
19410601 19410630    43.2
19410701 19410731    13.3
19410801 19410831     1.8
19410901 19410930     4.3
19411001 19411031    27.7
19411101 19411130    39.6
19411201 19411231     9.4
19420101 19420131    57.9
19420201 19420228   145.1
19420301 19420331    28.9
19420401 19420430    11.2
19420501 19420531    33.4
19420601 19420630    18.7
19420701 19420731    70.4
19420801 19420831    19.3
19420901 19420930    21.2
19421001 19421031    61.0
19421101 19421130    41.6
19421201 19421231   196.1
19430101 19430131    87.6
19430201 19430228    28.8
19430301 19430331    31.8
19430401 19430430    25.2
19430501 19430531    26.4
19430601 19430630    24.9
19430701 19430731    13.7
19430801 19430831    48.6
19430901 19430930    63.5
19431001 19431031   106.7
19431101 19431130   140.9
19431201 19431231   151.7
19440101 19440131   174.5
19440201 19440229    57.3
19440301 19440331    19.1
19440401 19440430    16.8
19440501 19440531    41.0
19440601 19440630    30.0
19440701 19440731    63.4
19440801 19440831    44.8
19440901 19440930    76.1
19441001 19441031    26.1
19441101 19441130    40.9
19441201 19441231    72.2
19450101 19450131    47.9
19450201 19450228   111.5
19450301 19450331    14.8
19450401 19450430    53.8
19450501 19450531    67.1
19450601 19450630   132.3
19450701 19450731    36.1
19450801 19450831    69.0
19450901 19450930    27.0
19451001 19451031    54.0
19451101 19451130    66.4
19451201 19451231   125.4
19460101 19460131   183.2
19460201 19460228    65.6
19460301 19460331    32.1
19460401 19460430    14.8
19460501 19460531     4.6
19460601 19460630     1.0
19460701 19460731     3.0
19460801 19460831     7.9
19460901 19460930    87.9
19461001 19461031    55.1
19461101 19461130    32.8
19461201 19461231    68.3
19470101 19470131   149.5
19470201 19470228    46.3
19470301 19470331    93.5
19470401 19470430    12.8
19470501 19470531    36.4
19470601 19470630    16.5
19470701 19470731     5.3
19470801 19470831    13.5
19470901 19470930    65.8
19471001 19471031    83.5
19471101 19471130   111.7
19471201 19471231   154.6
19480101 19480131    23.1
19480201 19480229   107.8
19480301 19480331    89.9
19480401 19480430     4.4
19480501 19480531    56.1
19480601 19480630   150.7
19480701 19480731    54.5
19480801 19480831     2.3
19480901 19480930    49.8
19481001 19481031     0.0
19481101 19481130    39.6
19481201 19481231   136.4
19490101 19490131    63.2
19490201 19490228   116.0
19490301 19490331    63.6
19490401 19490430    11.7
19490501 19490531     6.5
19490601 19490630    51.8
19490701 19490731    52.3
19490801 19490831     9.2
19490901 19490930    51.6
19491001 19491031   236.0
19491101 19491130    76.7
19491201 19491231    44.8
19500101 19500131   109.5
19500201 19500228   121.2
19500301 19500331    21.7
19500401 19500430    80.9
19500501 19500531    33.0
19500601 19500630   172.7
19500701 19500731    93.5
19500801 19500831     1.8
19500901 19500930    10.7
19501001 19501031   190.9
19501101 19501130   120.5
19501201 19501231    31.0
19510101 19510131   219.9
19510201 19510228    62.3
19510301 19510331    49.1
19510401 19510430    26.1
19510501 19510531    42.9
19510601 19510630    51.9
19510701 19510731     1.8
19510801 19510831    15.5
19510901 19510930    19.4
19511001 19511031    37.0
19511101 19511130    10.0
19511201 19511231    66.8
19520101 19520131    39.2
19520201 19520229    80.2
19520301 19520331    32.9
19520401 19520430    59.1
19520501 19520531   121.3
19520601 19520630    65.5
19520701 19520731    16.3
19520801 19520831    64.0
19520901 19520930    40.9
19521001 19521031   205.8
19521101 19521130    43.5
19521201 19521231    21.8
19530101 19530131    60.7
19530201 19530228   101.9
19530301 19530331    68.4
19530401 19530430    27.4
19530501 19530531    30.0
19530601 19530630     4.8
19530701 19530731     3.3
19530801 19530831    61.6
19530901 19530930     1.1
19531001 19531031    34.7
19531101 19531130    36.6
19531201 19531231    52.1
19540101 19540131    48.6
19540201 19540228   178.5
19540301 19540331    21.6
19540401 19540430    29.0
19540501 19540531    21.6
19540601 19540630    21.2
19540701 19540731    39.2
19540801 19540831    58.9
19540901 19540930    61.7
19541001 19541031   119.9
19541101 19541130    68.9
19541201 19541231    41.0
19550101 19550131    88.0
19550201 19550228    75.3
19550301 19550331    69.9
19550401 19550430    63.0
19550501 19550531    90.2
19550601 19550630     8.7
19550701 19550731    24.9
19550801 19550831    18.2
19550901 19550930    50.1
19551001 19551031   105.9
19551101 19551130    42.8
19551201 19551231    65.5
19560101 19560131   264.8
19560201 19560229   173.2
19560301 19560331    21.3
19560401 19560430    79.3
19560501 19560531   110.5
19560601 19560630    46.1
19560701 19560731    39.6
19560801 19560831     0.3
19560901 19560930    16.4
19561001 19561031    44.8
19561101 19561130    32.5
19561201 19561231   197.5
19570101 19570131    12.9
19570201 19570228    24.2
19570301 19570331    53.6
19570401 19570430     6.9
19570501 19570531     6.1
19570601 19570630    38.6
19570701 19570731    64.0
19570801 19570831    11.1
19570901 19570930     5.3
19571001 19571031    70.5
19571101 19571130    15.0
19571201 19571231    20.0
19580101 19580131    85.9
19580201 19580228   110.5
19580301 19580331   127.3
19580401 19580430    77.7
19580501 19580531     4.1
19580601 19580630    66.9
