PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
19391101 19391130    31.5
19391201 19391231    23.8
19400101 19400131    27.7
19400201 19400229    16.8
19400301 19400331    59.4
19400401 19400430   127.0
19400501 19400531    59.6
19400601 19400630    21.4
19400701 19400731    23.5
19400801 19400831   140.6
19400901 19400930    75.2
19401001 19401031    51.1
19401101 19401130    70.7
19401201 19401231   206.5
19410101 19410131   152.2
19410201 19410228   117.7
19410301 19410331    40.1
19410401 19410430    58.3
19410501 19410531    28.0
19410601 19410630    73.1
19410701 19410731    51.3
19410801 19410831    36.6
19410901 19410930     8.9
19411001 19411031    87.8
19411101 19411130    22.3
19411201 19411231    29.8
19420101 19420131    18.7
19420201 19420228    81.6
19420301 19420331   390.4
19420401 19420430    24.9
19420501 19420531    25.4
19420601 19420630    63.0
19420701 19420731   157.4
19420801 19420831    27.9
19420901 19420930     6.6
19421001 19421031   355.9
19421101 19421130   143.5
19421201 19421231    63.5
19430101 19430131    98.4
19430201 19430228    18.8
19430301 19430331    41.6
19430401 19430430    43.8
19430501 19430531   301.5
19430601 19430630    22.5
19430701 19430731    13.5
19430801 19430831   159.3
19430901 19430930    73.9
19431001 19431031    62.2
19431101 19431130   151.4
19431201 19431231   118.9
19440101 19440131   108.3
19440201 19440229    84.9
19440301 19440331    45.3
19440401 19440430    58.3
19440501 19440531    56.7
19440601 19440630    28.7
19440701 19440731    91.1
19440801 19440831   138.8
19440901 19440930    55.6
19441001 19441031    15.8
19441101 19441130     4.6
19441201 19441231    23.7
19450101 19450131    58.9
19450201 19450228   143.7
19450301 19450331    33.5
19450401 19450430    85.0
19450501 19450531    85.2
19450601 19450630   341.6
19450701 19450731    96.0
19450801 19450831    37.3
19450901 19450930     6.1
19451001 19451031    61.3
19451101 19451130    73.3
19451201 19451231    78.5
19460101 19460131    27.7
19460201 19460228    61.6
19460301 19460331   452.4
19460401 19460430   520.3
19460501 19460531    28.2
19460601 19460630    81.7
19460701 19460731     1.5
19460801 19460831     3.1
19460901 19460930    56.9
19461001 19461031    14.9
19461101 19461130    88.7
19461201 19461231    71.3
19470101 19470131    61.0
19470201 19470228   256.6
19470301 19470331    79.2
19470401 19470430    90.1
19470501 19470531   123.6
19470601 19470630    59.5
19470701 19470731    15.6
19470801 19470831    16.6
19470901 19470930    31.6
19471001 19471031    75.2
19471101 19471130    93.7
19471201 19471231   198.5
19480101 19480131   121.9
19480201 19480229    72.3
19480301 19480331   167.3
19480401 19480430    40.7
19480501 19480531   120.9
19480601 19480630   106.3
19480701 19480731    17.2
19480801 19480831    33.3
19480901 19480930   147.1
19481001 19481031    26.3
19481101 19481130    27.1
19481201 19481231    79.0
19490101 19490131   177.5
19490201 19490228   216.9
19490301 19490331   253.2
19490401 19490430   130.1
19490501 19490531    43.3
19490601 19490630   278.0
19490701 19490731   158.1
19490801 19490831    87.8
19490901 19490930   145.0
19491001 19491031    58.1
19491101 19491130    89.3
19491201 19491231    54.4
19500101 19500131   133.7
19500201 19500228   200.9
19500301 19500331    44.9
19500401 19500430   143.5
19500501 19500531   120.7
19500601 19500630   521.0
19500701 19500731   129.2
19500801 19500831   115.5
19500901 19500930    44.3
19501001 19501031   132.8
19501101 19501130   170.9
19501201 19501231    58.0
19510101 19510131   509.0
19510201 19510228    47.6
19510301 19510331    83.3
19510401 19510430    30.8
19510501 19510531    20.2
19510601 19510630   279.7
19510701 19510731    29.4
19510801 19510831    33.7
19510901 19510930    27.8
19511001 19511031    22.4
19511101 19511130     5.8
19511201 19511231    42.4
19520101 19520131    26.5
19520201 19520229   190.8
19520301 19520331    72.5
19520401 19520430   115.4
19520501 19520531    55.1
19520601 19520630    80.5
19520701 19520731    92.7
19520801 19520831   338.0
19520901 19520930     2.3
19521001 19521031   105.9
19521101 19521130    38.1
19521201 19521231    60.1
19530101 19530131   118.2
19530201 19530228   180.3
19530301 19530331   144.2
