PRCP       041079 19100101 20080430 missing_value=99999.9 PASSCHENDAELE                             
19690301 19690331     6.8
19690401 19690430     7.1
19690501 19690531    78.8
19690601 19690630    38.7
19690701 19690731    34.0
19690801 19690831    48.6
19690901 19690930    66.9
19691001 19691031    97.9
19691101 19691130    56.9
19691201 19691231    84.6
19700101 19700131   121.9
19700201 19700228    43.5
19700301 19700331    62.4
19700401 19700430    56.8
19700501 19700531    14.0
19700601 19700630    10.0
19700701 19700731     1.5
19700801 19700831    28.3
19700901 19700930   104.1
19701001 19701031    71.1
19701101 19701130    40.9
19701201 19701231   202.2
19710101 19710131    99.1
19710201 19710228   120.7
19710301 19710331    23.1
19710401 19710430    29.1
19710501 19710531    19.0
19710601 19710630    29.9
19710701 19710731    67.8
19710801 19710831    91.5
19710901 19710930    47.1
19711001 19711031    48.3
19711101 19711130   132.3
19711201 19711231    88.9
19720101 19720131   172.8
19720201 19720229    67.6
19720301 19720331    50.1
19720401 19720430    23.9
19720501 19720531    27.3
19720601 19720630    12.7
19720701 19720731     7.7
19720801 19720831   104.3
19720901 19720930    48.5
19721001 19721031   193.8
19721101 19721130    48.4
19721201 19721231    91.0
19730101 19730131   127.1
19730201 19730228    81.7
19730301 19730331    28.2
19730401 19730430     1.0
19730501 19730531    26.2
19730601 19730630    24.4
19730701 19730731   119.4
19730801 19730831    68.1
19730901 19730930    61.7
19731001 19731031    50.7
19731101 19731130   110.5
19731201 19731231    46.7
19740101 19740131   185.8
19740201 19740228    13.6
19740301 19740331    80.2
19740401 19740430    29.7
19740501 19740531    50.6
19740601 19740630    45.1
19740701 19740731    26.5
19740801 19740831    58.4
19740901 19740930    46.2
19741001 19741031    84.0
19741101 19741130   167.6
19741201 19741231    62.4
19750101 19750131    74.0
19750201 19750228   167.0
19750301 19750331   185.2
19750401 19750430     7.6
19750501 19750531     7.0
19750601 19750630    58.8
19750701 19750731    61.8
19750801 19750831    68.2
19750901 19750930    65.2
19751001 19751031   132.4
19751101 19751130    92.2
19751201 19751231   194.8
19760101 19760131    90.2
19760201 19760229   266.2
19760301 19760331    59.8
19760401 19760430    18.8
19760501 19760531    46.6
19760601 19760630    78.6
19760701 19760731    50.6
19760801 19760831    29.5
19760901 19760930    64.2
19761001 19761031    55.1
19761101 19761130   168.4
19761201 19761231    76.4
19770101 19770131    23.2
19770201 19770228    89.2
19770301 19770331   133.2
19770401 19770430    34.8
19770501 19770531    84.8
19770601 19770630    24.4
19770701 19770731     6.8
19770801 19770831    18.0
19770901 19770930    28.4
19771001 19771031    56.2
19771101 19771130    86.9
19771201 19771231    42.8
19780101 19780131   131.0
19780201 19780228    22.6
19780301 19780331    87.2
19780401 19780430    49.2
19780501 19780531    71.6
19780601 19780630    83.4
19780701 19780731    99.7
19780801 19780831    49.0
19780901 19780930   151.2
19781001 19781031    80.7
19781101 19781130    95.6
19781201 19781231   165.0
19790101 19790131    29.1
19790201 19790228    36.5
19790301 19790331   152.0
19790401 19790430    31.2
19790501 19790531    70.2
19790601 19790630    69.9
19790701 19790731    22.8
19790801 19790831    17.2
19790901 19790930    30.0
19791001 19791031   108.2
19791101 19791130   116.0
19791201 19791231    25.0
19800101 19800131    56.6
19800201 19800229    46.8
19800301 19800331    12.4
19800401 19800430     2.4
19800501 19800531   155.6
19800601 19800630    22.8
19800701 19800731    23.1
19800801 19800831    27.6
19800901 19800930     0.8
19801001 19801031    59.0
19801101 19801130    21.0
19801201 19801231   113.8
19810101 19810131    20.2
19810201 19810228   165.1
19810301 19810331    44.3
19810401 19810430    39.6
19810501 19810531    71.4
19810601 19810630    82.0
19810701 19810731    75.9
19810801 19810831    25.9
19810901 19810930    17.3
19811001 19811031    55.8
19811101 19811130   129.8
19811201 19811231   131.8
19820101 19820131    36.8
19820201 19820228    76.0
19820301 19820331   106.8
19820401 19820430    47.8
19820501 19820531    24.2
19820601 19820630     8.0
19820701 19820731    22.8
19820801 19820831    18.0
19820901 19820930    77.2
19821001 19821031    92.0
19821101 19821130    47.1
19821201 19821231   228.4
19830101 19830131    51.8
19830201 19830228    63.2
19830301 19830331    47.0
19830401 19830430   131.0
19830501 19830531   226.2
19830601 19830630    81.8
19830701 19830731    62.6
19830801 19830831    48.2
19830901 19830930    69.6
19831001 19831031   143.6
19831101 19831130   124.2
19831201 19831231    94.0
19840101 19840131   151.6
19840201 19840229   130.8
19840301 19840331    86.4
19840401 19840430   145.8
19840501 19840531    27.8
19840601 19840630    38.0
19840701 19840731   190.2
19840801 19840831    36.8
19840901 19840930    70.0
19841001 19841031    23.7
19841101 19841130    84.3
19841201 19841231    72.8
19850101 19850131    57.0
19850201 19850228    61.2
19850301 19850331    22.0
19850401 19850430   111.0
19850501 19850531    49.6
19850601 19850630    59.6
19850701 19850731    65.8
19850801 19850831    70.4
19850901 19850930    55.4
19851001 19851031    55.8
19851101 19851130    71.8
19851201 19851231   180.6
19860101 19860131    37.4
19860201 19860228   160.8
19860301 19860331     7.4
19860401 19860430     3.2
19860501 19860531    69.2
19860601 19860630     5.2
19860701 19860731    84.3
19860801 19860831    77.9
19860901 19860930     4.2
19861001 19861031   136.6
19861101 19861130   106.6
19861201 19861231    73.1
19870101 19870131   284.2
19870201 19870228    30.0
19870301 19870331   136.8
19870401 19870430    12.4
19870501 19870531    78.8
19870601 19870630    41.4
19870701 19870731    34.6
19870801 19870831   126.3
19870901 19870930    21.2
19871001 19871031   101.4
19871101 19871130    43.8
19871201 19871231   151.1
19880101 19880131   132.6
19880201 19880229   164.1
19880301 19880331     9.4
19880401 19880430   318.1
19880501 19880531    10.1
19880601 19880630    60.0
19880701 19880731    80.0
19880801 19880831    75.0
19880901 19880930    71.4
19881001 19881031     3.0
19881101 19881130    74.0
19881201 19881231    90.7
19890101 19890131   124.8
19890201 19890228 99999.9
19890301 19890331 99999.9
19890401 19890430 99999.9
19890501 19890531 99999.9
19890601 19890630 99999.9
19890701 19890731 99999.9
19890801 19890831 99999.9
19890901 19890930 99999.9
19891001 19891031 99999.9
19891101 19891130 99999.9
19891201 19891231 99999.9
19900101 19900131 99999.9
19900201 19900228 99999.9
19900301 19900331 99999.9
19900401 19900430 99999.9
19900501 19900531 99999.9
19900601 19900630 99999.9
19900701 19900731 99999.9
19900801 19900831 99999.9
19900901 19900930 99999.9
19901001 19901031 99999.9
19901101 19901130 99999.9
19901201 19901231 99999.9
19910101 19910131 99999.9
19910201 19910228 99999.9
19910301 19910331 99999.9
19910401 19910430 99999.9
19910501 19910531 99999.9
19910601 19910630 99999.9
19910701 19910731 99999.9
19910801 19910831 99999.9
19910901 19910930 99999.9
19911001 19911031 99999.9
19911101 19911130 99999.9
19911201 19911231 99999.9
19920101 19920131 99999.9
19920201 19920229 99999.9
19920301 19920331 99999.9
19920401 19920430 99999.9
19920501 19920531 99999.9
19920601 19920630 99999.9
19920701 19920731 99999.9
19920801 19920831 99999.9
19920901 19920930 99999.9
19921001 19921031 99999.9
19921101 19921130 99999.9
19921201 19921231 99999.9
19930101 19930131 99999.9
19930201 19930228 99999.9
19930301 19930331 99999.9
19930401 19930430 99999.9
19930501 19930531 99999.9
19930601 19930630 99999.9
19930701 19930731 99999.9
19930801 19930831 99999.9
19930901 19930930 99999.9
19931001 19931031 99999.9
19931101 19931130 99999.9
19931201 19931231 99999.9
19940101 19940131 99999.9
19940201 19940228 99999.9
19940301 19940331 99999.9
19940401 19940430 99999.9
19940501 19940531 99999.9
19940601 19940630 99999.9
19940701 19940731 99999.9
19940801 19940831 99999.9
19940901 19940930 99999.9
19941001 19941031 99999.9
19941101 19941130 99999.9
19941201 19941231 99999.9
19950101 19950131 99999.9
19950201 19950228 99999.9
19950301 19950331 99999.9
19950401 19950430 99999.9
19950501 19950531 99999.9
19950601 19950630 99999.9
19950701 19950731 99999.9
19950801 19950831 99999.9
19950901 19950930 99999.9
19951001 19951031 99999.9
19951101 19951130 99999.9
19951201 19951231 99999.9
19960101 19960131 99999.9
19960201 19960229 99999.9
19960301 19960331 99999.9
19960401 19960430    31.4
19960501 19960531   198.4
19960601 19960630     9.2
19960701 19960731    49.4
19960801 19960831    74.7
19960901 19960930    41.4
19961001 19961031    69.0
19961101 19961130    57.6
19961201 19961231   186.8
19970101 19970131    48.0
19970201 19970228   116.1
19970301 19970331    18.8
19970401 19970430    11.3
19970501 19970531    40.7
19970601 19970630    28.4
19970701 19970731     8.0
19970801 19970831     2.4
19970901 19970930    84.6
19971001 19971031   122.2
19971101 19971130   170.5
19971201 19971231    52.2
19980101 19980131    93.8
19980201 19980228    89.2
19980301 19980331     1.6
19980401 19980430    55.4
19980501 19980531    38.2
19980601 19980630   105.6
19980701 19980731   184.6
19980801 19980831    72.7
19980901 19980930    83.4
19981001 19981031   114.4
19981101 19981130    81.2
19981201 19981231    49.6
19990101 19990131    71.4
19990201 19990228    73.4
19990301 19990331   157.8
19990401 19990430    36.8
19990501 19990531    44.2
19990601 19990630    16.0
19990701 19990731    47.6
19990801 19990831    59.6
19990901 19990930    24.0
19991001 19991031   136.6
19991101 19991130    91.8
19991201 19991231   107.8
20000101 20000131    67.0
20000201 20000229    40.2
20000301 20000331    34.2
20000401 20000430     6.8
20000501 20000531    59.4
20000601 20000630    16.4
20000701 20000731    24.0
20000801 20000831    21.4
20000901 20000930    10.2
20001001 20001031    48.8
20001101 20001130   104.8
20001201 20001231    62.0
20010101 20010131    53.0
20010201 20010228   140.1
20010301 20010331   121.2
20010401 20010430    67.4
20010501 20010531    27.8
20010601 20010630    17.6
20010701 20010731    69.4
20010801 20010831    22.4
20010901 20010930    21.6
20011001 20011031    71.8
20011101 20011130   138.8
20011201 20011231    62.4
20020101 20020131    43.0
20020201 20020228    46.6
20020301 20020331   136.8
20020401 20020430     5.0
20020501 20020531    21.0
20020601 20020630    30.9
20020701 20020731     2.8
20020801 20020831    29.4
20020901 20020930    15.2
20021001 20021031    43.5
20021101 20021130    48.2
20021201 20021231   107.8
20030101 20030131    17.0
20030201 20030228   134.6
20030301 20030331    67.1
20030401 20030430    47.8
20030501 20030531    15.0
20030601 20030630    62.8
20030701 20030731    35.2
20030801 20030831    17.8
20030901 20030930     0.8
20031001 20031031   127.0
20031101 20031130    22.4
20031201 20031231   144.9
20040101 20040131   194.8
20040201 20040229    75.8
20040301 20040331 99999.9
20040401 20040430    56.2
20040501 20040531    42.2
20040601 20040630    11.6
20040701 20040731    18.2
20040801 20040831    43.8
20040901 20040930    59.8
20041001 20041031    93.0
20041101 20041130   200.0
20041201 20041231   124.8
20050101 20050131    40.6
20050201 20050228   100.2
20050301 20050331    22.4
20050401 20050430     1.2
20050501 20050531    31.4
20050601 20050630   136.2
