PRCP       007053 19070101 20121231 missing_value=99999.9 MOUNT AUGUSTUS                            
19770501 19770531    17.0
19770601 19770630     4.0
19770701 19770731     0.7
19770801 19770831     0.1
19770901 19770930     0.4
19771001 19771031     0.4
19771101 19771130     0.8
19771201 19771231    16.6
19780101 19780131     4.0
19780201 19780228    75.2
19780301 19780331    10.2
19780401 19780430    60.8
19780501 19780531     0.2
19780601 19780630     4.5
19780701 19780731    14.3
19780801 19780831    40.2
19780901 19780930     0.1
19781001 19781031     2.0
19781101 19781130     0.0
19781201 19781231     4.4
19790101 19790131     0.0
19790201 19790228    50.7
19790301 19790331     3.4
19790401 19790430    17.4
19790501 19790531    14.8
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831    29.4
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231     0.0
19800101 19800131    88.5
19800201 19800229    15.1
19800301 19800331     9.2
19800401 19800430    46.5
19800501 19800531    50.1
19800601 19800630   107.6
19800701 19800731    55.7
19800801 19800831     0.0
19800901 19800930     0.7
19801001 19801031     1.3
19801101 19801130     0.1
19801201 19801231     0.2
19810101 19810131     0.0
19810201 19810228    51.2
19810301 19810331   109.0
19810401 19810430     2.6
19810501 19810531    33.6
19810601 19810630    18.1
19810701 19810731     0.0
19810801 19810831     2.2
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231    10.0
19820101 19820131    71.0
19820201 19820228    50.0
19820301 19820331     0.0
19820401 19820430     8.6
19820501 19820531    67.8
19820601 19820630    27.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130    65.0
19821201 19821231    54.0
19830101 19830131     4.0
19830201 19830228     1.6
19830301 19830331    59.8
19830401 19830430    50.0
19830501 19830531     0.0
19830601 19830630    35.5
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    33.0
19831201 19831231    37.4
19840101 19840131    18.0
19840201 19840229    24.0
19840301 19840331   206.6
19840401 19840430    25.8
19840501 19840531   118.7
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     4.0
19840901 19840930    19.0
19841001 19841031     0.0
19841101 19841130     0.0
19841201 19841231     0.0
19850101 19850131    11.0
19850201 19850228   154.7
19850301 19850331     0.0
19850401 19850430    45.0
19850501 19850531     0.0
19850601 19850630     4.6
19850701 19850731    36.2
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     0.0
19851201 19851231     0.0
19860101 19860131    25.0
19860201 19860228    78.8
19860301 19860331    26.0
19860401 19860430     0.0
19860501 19860531     0.0
19860601 19860630   210.4
19860701 19860731     6.0
19860801 19860831     0.0
19860901 19860930     5.6
19861001 19861031     0.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131    95.6
19870201 19870228    19.6
19870301 19870331     6.0
19870401 19870430     9.0
19870501 19870531    23.7
19870601 19870630    60.4
19870701 19870731    13.4
19870801 19870831     4.0
19870901 19870930     1.0
19871001 19871031     0.0
19871101 19871130     2.2
19871201 19871231     8.0
19880101 19880131     7.4
19880201 19880229    58.0
19880301 19880331    14.0
19880401 19880430    60.4
19880501 19880531    32.6
19880601 19880630     0.0
19880701 19880731     0.6
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    18.9
19881201 19881231    48.4
19890101 19890131    17.4
19890201 19890228    26.8
19890301 19890331    15.8
19890401 19890430    61.0
19890501 19890531    52.8
19890601 19890630   136.3
19890701 19890731     9.4
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     5.6
19891201 19891231     0.0
19900101 19900131   192.6
19900201 19900228     1.0
19900301 19900331    61.6
19900401 19900430     0.0
19900501 19900531     0.0
19900601 19900630     5.4
19900701 19900731    14.2
19900801 19900831    31.0
19900901 19900930     3.2
19901001 19901031     3.8
19901101 19901130     0.0
19901201 19901231     0.0
19910101 19910131     3.2
19910201 19910228     4.0
19910301 19910331     5.5
19910401 19910430     2.8
19910501 19910531    11.2
19910601 19910630    49.8
19910701 19910731    23.6
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     2.2
19911101 19911130     0.0
19911201 19911231     0.0
19920101 19920131    38.4
19920201 19920229     0.0
19920301 19920331    36.5
19920401 19920430   116.8
19920501 19920531    63.5
19920601 19920630    10.8
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     0.0
19921001 19921031     5.6
19921101 19921130     0.0
19921201 19921231     4.4
19930101 19930131     0.2
19930201 19930228    58.0
19930301 19930331     6.4
19930401 19930430     6.6
19930501 19930531     1.4
19930601 19930630    45.6
19930701 19930731     2.6
19930801 19930831    16.2
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     7.2
19931201 19931231     5.2
19940101 19940131    10.2
19940201 19940228    56.6
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     1.2
19940601 19940630    22.0
19940701 19940731     4.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     0.0
19941201 19941231     0.3
19950101 19950131    10.6
19950201 19950228   236.8
19950301 19950331    18.6
19950401 19950430    49.2
19950501 19950531    11.0
19950601 19950630    36.2
19950701 19950731    20.2
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     0.0
19951101 19951130     0.0
19951201 19951231    42.0
19960101 19960131     0.0
19960201 19960229    55.0
19960301 19960331     0.0
19960401 19960430    62.4
19960501 19960531     0.0
19960601 19960630    84.6
19960701 19960731    43.8
19960801 19960831     0.0
19960901 19960930     0.0
