PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
19480301 19480331    37.6
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630    14.0
19480701 19480731     3.1
19480801 19480831     0.0
19480901 19480930     2.0
19481001 19481031     2.3
19481101 19481130     0.0
19481201 19481231    59.3
19490101 19490131    49.1
19490201 19490228    59.8
19490301 19490331   211.2
19490401 19490430     0.0
19490501 19490531    13.5
19490601 19490630     2.6
19490701 19490731     0.0
19490801 19490831     0.5
19490901 19490930    26.6
19491001 19491031   136.5
19491101 19491130    17.0
19491201 19491231    38.6
19500101 19500131    66.4
19500201 19500228    11.4
19500301 19500331   498.3
19500401 19500430    20.1
19500501 19500531    14.0
19500601 19500630    38.7
19500701 19500731    11.4
19500801 19500831     1.3
19500901 19500930    34.4
19501001 19501031    74.0
19501101 19501130    94.1
19501201 19501231   126.0
19510101 19510131     3.0
19510201 19510228    24.1
19510301 19510331     4.6
19510401 19510430     7.1
19510501 19510531     4.1
19510601 19510630    29.7
19510701 19510731     0.0
19510801 19510831     0.3
19510901 19510930     3.3
19511001 19511031     2.3
19511101 19511130     0.0
19511201 19511231    11.7
19520101 19520131     3.0
19520201 19520229    28.7
19520301 19520331     0.0
19520401 19520430    99.4
19520501 19520531    42.5
19520601 19520630     6.6
19520701 19520731    14.3
19520801 19520831    35.7
19520901 19520930     0.3
19521001 19521031    53.3
19521101 19521130    10.8
19521201 19521231    16.5
19530101 19530131    87.0
19530201 19530228   185.2
19530301 19530331     1.5
19530401 19530430    11.4
19530501 19530531    11.2
19530601 19530630     0.0
19530701 19530731     4.1
19530801 19530831    12.5
19530901 19530930     2.8
19531001 19531031     3.0
19531101 19531130     2.4
19531201 19531231     0.0
19540101 19540131    82.8
19540201 19540228   201.4
19540301 19540331     0.0
19540401 19540430    25.9
19540501 19540531     0.0
19540601 19540630     7.9
19540701 19540731     8.2
19540801 19540831    20.3
19540901 19540930     3.1
19541001 19541031    46.0
19541101 19541130     4.6
19541201 19541231    49.5
19550101 19550131    67.6
19550201 19550228    21.5
19550301 19550331    69.6
19550401 19550430     1.3
19550501 19550531    25.6
19550601 19550630    17.0
19550701 19550731    74.9
19550801 19550831    41.4
19550901 19550930     1.8
19551001 19551031    34.5
19551101 19551130    16.1
19551201 19551231     1.5
19560101 19560131    24.0
19560201 19560229   170.9
19560301 19560331   157.5
19560401 19560430     4.8
19560501 19560531     7.3
19560601 19560630    38.3
19560701 19560731    73.7
19560801 19560831     0.0
19560901 19560930     1.6
19561001 19561031     3.5
19561101 19561130     0.6
19561201 19561231    31.4
19570101 19570131    34.8
19570201 19570228    56.7
19570301 19570331    78.0
19570401 19570430    41.9
19570501 19570531     0.0
19570601 19570630    31.8
19570701 19570731     3.1
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     5.1
19571101 19571130     0.0
19571201 19571231    15.5
19580101 19580131    35.8
19580201 19580228     0.8
19580301 19580331     7.8
19580401 19580430    12.1
19580501 19580531    17.1
19580601 19580630     1.8
19580701 19580731     0.8
19580801 19580831     0.0
19580901 19580930     1.0
19581001 19581031    38.7
19581101 19581130    45.8
19581201 19581231    13.4
19590101 19590131    41.7
19590201 19590228     0.0
19590301 19590331    34.9
19590401 19590430    11.7
19590501 19590531     5.6
19590601 19590630     0.0
19590701 19590731     3.3
19590801 19590831    25.7
19590901 19590930     1.3
19591001 19591031     6.1
19591101 19591130     1.3
19591201 19591231     3.0
19600101 19600131    19.8
19600201 19600229    92.7
19600301 19600331    15.5
19600401 19600430     2.5
19600501 19600531    32.0
19600601 19600630     2.0
19600701 19600731    17.1
19600801 19600831     3.5
19600901 19600930     6.3
19601001 19601031     2.3
19601101 19601130    19.3
19601201 19601231    17.8
19610101 19610131    38.1
19610201 19610228    22.1
19610301 19610331     2.3
19610401 19610430     8.6
19610501 19610531     0.0
19610601 19610630     8.6
19610701 19610731    12.9
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     1.8
19611101 19611130    32.5
19611201 19611231    36.9
19620101 19620131    70.6
19620201 19620228     0.0
19620301 19620331    40.7
19620401 19620430     4.1
19620501 19620531     1.0
19620601 19620630    41.4
19620701 19620731    24.9
19620801 19620831     3.0
19620901 19620930     4.1
19621001 19621031     3.6
19621101 19621130     0.0
19621201 19621231    66.7
19630101 19630131    17.1
