PRCP       037049 18870101 20171031 missing_value=99999.9 WARRNAMBOOL DOWNS                         
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    14.7
19411101 19411130    16.1
19411201 19411231    17.5
19420101 19420131     2.5
19420201 19420228     0.0
19420301 19420331     0.0
19420401 19420430    13.6
19420501 19420531    62.3
19420601 19420630     1.3
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930    10.1
19421001 19421031    29.7
19421101 19421130     0.0
19421201 19421231   131.0
19430101 19430131    30.5
19430201 19430228    96.9
19430301 19430331    10.9
19430401 19430430    12.9
19430501 19430531     1.3
19430601 19430630     0.0
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    17.8
19431001 19431031     2.9
19431101 19431130     9.4
19431201 19431231    29.8
19440101 19440131    12.4
19440201 19440229   173.7
19440301 19440331     3.3
19440401 19440430     5.3
19440501 19440531    58.4
19440601 19440630     0.0
19440701 19440731    39.2
19440801 19440831     0.0
19440901 19440930     2.8
19441001 19441031     2.0
19441101 19441130     0.0
19441201 19441231   112.0
19450101 19450131    37.6
19450201 19450228    91.4
19450301 19450331     3.0
19450401 19450430     4.8
19450501 19450531    28.0
19450601 19450630    11.7
19450701 19450731    46.3
19450801 19450831     0.0
19450901 19450930     0.8
19451001 19451031     3.0
19451101 19451130    20.3
19451201 19451231     2.0
19460101 19460131   191.8
19460201 19460228    29.5
19460301 19460331     2.5
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130    14.5
19461201 19461231    36.9
19470101 19470131    40.6
19470201 19470228   108.4
19470301 19470331    29.2
19470401 19470430     0.0
19470501 19470531     6.1
19470601 19470630     8.9
19470701 19470731     0.0
19470801 19470831    49.0
19470901 19470930    42.0
19471001 19471031    41.8
19471101 19471130    19.3
19471201 19471231     6.4
19480101 19480131    10.2
19480201 19480229    20.8
19480301 19480331     3.8
19480401 19480430     0.0
19480501 19480531     0.0
19480601 19480630     9.4
19480701 19480731     6.4
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031    11.4
19481101 19481130     0.0
19481201 19481231    29.3
19490101 19490131    44.2
19490201 19490228    30.8
19490301 19490331   270.7
19490401 19490430     1.5
19490501 19490531     0.5
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031   134.1
19491101 19491130    14.5
19491201 19491231    48.3
19500101 19500131   216.1
19500201 19500228   108.8
19500301 19500331   413.0
19500401 19500430   180.4
19500501 19500531    66.8
19500601 19500630    36.3
19500701 19500731    53.8
19500801 19500831     0.0
19500901 19500930    43.1
19501001 19501031    84.4
19501101 19501130   130.6
19501201 19501231    54.6
19510101 19510131   356.5
19510201 19510228     7.6
19510301 19510331    52.3
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    37.1
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     1.3
19511001 19511031    15.3
19511101 19511130     7.6
19511201 19511231     3.8
19520101 19520131     0.0
19520201 19520229    36.1
19520301 19520331     2.5
19520401 19520430    32.5
19520501 19520531    63.5
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     9.1
19520901 19520930     4.1
19521001 19521031    23.1
19521101 19521130     0.0
19521201 19521231    25.0
19530101 19530131   184.7
19530201 19530228   131.4
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     8.6
19530901 19530930     0.0
19531001 19531031     4.3
19531101 19531130     0.0
19531201 19531231     0.0
19540101 19540131   220.0
19540201 19540228    62.5
19540301 19540331    18.0
