PRCP       009519 19030901 20180131 missing_value=99999.9 CAPE NATURALISTE                          
19720801 19720831   211.1
19720901 19720930    50.8
19721001 19721031    62.3
19721101 19721130     4.3
19721201 19721231     0.8
19730101 19730131     9.4
19730201 19730228     3.6
19730301 19730331     3.0
19730401 19730430    99.0
19730501 19730531   123.5
19730601 19730630   215.1
19730701 19730731   203.8
19730801 19730831   119.8
19730901 19730930   136.5
19731001 19731031    48.3
19731101 19731130    18.2
19731201 19731231     3.3
19740101 19740131    21.8
19740201 19740228     8.8
19740301 19740331     0.6
19740401 19740430    65.8
19740501 19740531   211.2
19740601 19740630   189.0
19740701 19740731   250.0
19740801 19740831    89.2
19740901 19740930    33.8
19741001 19741031    67.7
19741101 19741130    16.2
19741201 19741231     3.4
19750101 19750131     1.0
19750201 19750228     0.0
19750301 19750331    26.2
19750401 19750430    28.3
19750501 19750531   125.8
19750601 19750630   154.8
19750701 19750731   212.4
19750801 19750831    68.5
19750901 19750930    97.1
19751001 19751031    47.2
19751101 19751130    51.9
19751201 19751231     3.2
19760101 19760131    57.8
19760201 19760229     1.6
19760301 19760331     1.2
19760401 19760430    54.2
19760501 19760531   100.1
19760601 19760630    69.4
19760701 19760731   134.9
19760801 19760831    83.0
19760901 19760930    68.8
19761001 19761031    53.4
19761101 19761130    56.2
19761201 19761231    11.6
19770101 19770131    10.6
19770201 19770228     1.4
19770301 19770331     6.3
19770401 19770430     8.6
19770501 19770531   121.1
19770601 19770630   129.0
19770701 19770731    98.6
19770801 19770831   105.9
19770901 19770930    39.0
19771001 19771031    93.8
19771101 19771130    17.0
19771201 19771231     3.0
19780101 19780131     1.0
19780201 19780228    17.8
19780301 19780331     5.4
19780401 19780430    20.4
19780501 19780531   128.0
19780601 19780630   193.0
19780701 19780731   123.2
19780801 19780831    61.0
19780901 19780930   118.2
19781001 19781031    31.0
19781101 19781130    26.4
19781201 19781231    23.0
19790101 19790131     4.6
19790201 19790228    17.2
19790301 19790331    21.6
19790401 19790430    41.2
19790501 19790531    91.0
19790601 19790630   127.8
19790701 19790731   105.0
19790801 19790831    61.4
19790901 19790930    53.8
19791001 19791031    61.2
19791101 19791130    50.4
19791201 19791231     5.0
19800101 19800131     0.6
19800201 19800229    18.0
19800301 19800331     8.0
19800401 19800430    71.8
19800501 19800531    88.7
19800601 19800630   210.8
19800701 19800731   261.1
19800801 19800831    97.7
19800901 19800930    62.9
19801001 19801031    53.9
19801101 19801130    28.3
19801201 19801231    21.2
19810101 19810131     0.2
19810201 19810228     0.6
19810301 19810331     9.8
19810401 19810430    46.5
19810501 19810531   154.2
19810601 19810630   152.4
19810701 19810731   115.6
19810801 19810831   102.0
19810901 19810930    67.0
19811001 19811031    30.4
19811101 19811130   100.2
19811201 19811231    17.6
19820101 19820131    55.2
19820201 19820228     9.8
19820301 19820331     9.0
19820401 19820430     0.2
19820501 19820531    61.6
19820601 19820630   191.8
19820701 19820731   186.4
19820801 19820831    66.3
19820901 19820930    82.8
19821001 19821031    42.8
19821101 19821130     8.2
19821201 19821231    14.8
19830101 19830131     6.6
19830201 19830228    54.2
19830301 19830331     5.6
19830401 19830430    33.8
19830501 19830531    60.8
19830601 19830630   193.7
19830701 19830731   153.0
19830801 19830831   158.7
19830901 19830930   132.8
19831001 19831031    21.4
19831101 19831130    24.0
19831201 19831231    21.8
19840101 19840131     1.6
19840201 19840229     5.2
19840301 19840331    18.2
19840401 19840430    29.0
19840501 19840531   161.8
19840601 19840630   165.8
19840701 19840731   111.6
19840801 19840831   133.6
19840901 19840930    94.6
19841001 19841031    42.8
19841101 19841130    68.2
19841201 19841231    21.6
19850101 19850131     5.2
19850201 19850228     0.2
19850301 19850331     5.2
19850401 19850430    76.2
19850501 19850531    73.7
19850601 19850630   137.7
19850701 19850731   100.8
19850801 19850831   159.2
19850901 19850930    81.4
19851001 19851031    35.8
19851101 19851130    33.4
19851201 19851231    13.6
19860101 19860131     1.6
19860201 19860228    25.2
19860301 19860331    43.6
19860401 19860430    30.4
19860501 19860531   134.4
19860601 19860630   112.1
19860701 19860731   214.5
19860801 19860831   113.0
19860901 19860930    94.6
19861001 19861031    46.0
