PRCP       026026 19010101 20180131 missing_value=99999.9 ROBE                                      
19400401 19400430    93.2
19400501 19400531    35.3
19400601 19400630    36.4
19400701 19400731    93.5
19400801 19400831    26.6
19400901 19400930    27.8
19401001 19401031     9.8
19401101 19401130    52.7
19401201 19401231     7.9
19410101 19410131    52.9
19410201 19410228    18.6
19410301 19410331    68.6
19410401 19410430    47.4
19410501 19410531    33.3
19410601 19410630    19.2
19410701 19410731    92.5
19410801 19410831    32.0
19410901 19410930    73.7
19411001 19411031    19.1
19411101 19411130     8.5
19411201 19411231    10.0
19420101 19420131    38.7
19420201 19420228     0.0
19420301 19420331    16.6
19420401 19420430    18.1
19420501 19420531   147.0
19420601 19420630   130.7
19420701 19420731    79.7
19420801 19420831   100.1
19420901 19420930    84.0
19421001 19421031    62.3
19421101 19421130    12.9
19421201 19421231    16.1
19430101 19430131    12.8
19430201 19430228    37.1
19430301 19430331     3.3
19430401 19430430    70.0
19430501 19430531    59.4
19430601 19430630    87.7
19430701 19430731   129.2
19430801 19430831   110.7
19430901 19430930    94.3
19431001 19431031    28.9
19431101 19431130    36.6
19431201 19431231    16.4
19440101 19440131     4.9
19440201 19440229    30.2
19440301 19440331    13.4
19440401 19440430    70.9
19440501 19440531    97.1
19440601 19440630    35.1
19440701 19440731    97.4
19440801 19440831    11.3
19440901 19440930    66.4
19441001 19441031    62.0
19441101 19441130    42.6
19441201 19441231    45.0
19450101 19450131    14.0
19450201 19450228    40.1
19450301 19450331     6.4
19450401 19450430     4.6
19450501 19450531    42.9
19450601 19450630    93.6
19450701 19450731    74.9
19450801 19450831    84.7
19450901 19450930    74.7
19451001 19451031    92.6
19451101 19451130    51.0
19451201 19451231    49.3
19460101 19460131    91.2
19460201 19460228    89.2
19460301 19460331    81.1
19460401 19460430    23.7
19460501 19460531    80.3
19460601 19460630    58.8
19460701 19460731   154.2
19460801 19460831    49.8
19460901 19460930    56.8
19461001 19461031    27.6
19461101 19461130    21.7
19461201 19461231    19.4
19470101 19470131    13.0
19470201 19470228    17.9
19470301 19470331    93.0
19470401 19470430    67.2
19470501 19470531    59.3
19470601 19470630   101.5
19470701 19470731   166.9
19470801 19470831    71.1
19470901 19470930    97.5
19471001 19471031    72.0
19471101 19471130    73.3
19471201 19471231    29.9
19480101 19480131     6.9
19480201 19480229    18.2
19480301 19480331    13.1
19480401 19480430   110.9
19480501 19480531    62.2
19480601 19480630    49.3
19480701 19480731   111.8
19480801 19480831    98.4
19480901 19480930    36.4
19481001 19481031    80.9
19481101 19481130    48.4
19481201 19481231    15.9
19490101 19490131    28.8
19490201 19490228    64.5
19490301 19490331     9.2
19490401 19490430    10.5
19490501 19490531    71.1
19490601 19490630    41.8
19490701 19490731    72.9
19490801 19490831    28.0
19490901 19490930    31.7
19491001 19491031   111.9
19491101 19491130    63.5
19491201 19491231     6.7
19500101 19500131     8.6
19500201 19500228    21.7
19500301 19500331    15.4
19500401 19500430    20.7
19500501 19500531   108.3
19500601 19500630    37.8
19500701 19500731   114.7
19500801 19500831    91.9
19500901 19500930    55.2
19501001 19501031    75.3
19501101 19501130    32.5
19501201 19501231     3.9
19510101 19510131    13.0
19510201 19510228    29.4
19510301 19510331     1.3
19510401 19510430    81.7
19510501 19510531   140.7
19510601 19510630    51.2
19510701 19510731   163.4
19510801 19510831   120.8
19510901 19510930    24.0
19511001 19511031    77.9
19511101 19511130    14.5
19511201 19511231    28.9
19520101 19520131    38.1
19520201 19520229    37.0
19520301 19520331     2.8
19520401 19520430    90.5
19520501 19520531    80.6
19520601 19520630   116.3
19520701 19520731    93.7
19520801 19520831    89.9
19520901 19520930    65.6
19521001 19521031    54.7
19521101 19521130    88.8
19521201 19521231    40.6
19530101 19530131     5.8
19530201 19530228    15.9
19530301 19530331     3.0
19530401 19530430    30.3
19530501 19530531    45.5
19530601 19530630   157.9
19530701 19530731   145.1
19530801 19530831   134.3
19530901 19530930    86.2
19531001 19531031    35.3
19531101 19531130    54.9
19531201 19531231    41.2
19540101 19540131    16.9
19540201 19540228     5.9
19540301 19540331    12.0
19540401 19540430   120.2
19540501 19540531    62.8
19540601 19540630    93.9
19540701 19540731    65.9
19540801 19540831    38.4
19540901 19540930    53.9
19541001 19541031    44.2
19541101 19541130    36.5
19541201 19541231    19.4
19550101 19550131    14.1
19550201 19550228    26.1
19550301 19550331     2.9
19550401 19550430    91.4
19550501 19550531   111.9
19550601 19550630   115.8
19550701 19550731    47.7
19550801 19550831   153.2
19550901 19550930    60.6
19551001 19551031    81.8
19551101 19551130    37.4
19551201 19551231    19.3
19560101 19560131    29.0
19560201 19560229     0.0
19560301 19560331    17.4
19560401 19560430   117.8
19560501 19560531    77.7
19560601 19560630   140.2
19560701 19560731   134.9
19560801 19560831   138.2
19560901 19560930    86.1
19561001 19561031    60.5
19561101 19561130    17.6
19561201 19561231    38.3
19570101 19570131     1.3
19570201 19570228     2.9
19570301 19570331    31.5
19570401 19570430    63.3
19570501 19570531    73.7
19570601 19570630    51.8
19570701 19570731    78.6
19570801 19570831    40.3
19570901 19570930    78.9
19571001 19571031    49.3
19571101 19571130    37.9
19571201 19571231    34.8
19580101 19580131     1.3
19580201 19580228    10.8
19580301 19580331    17.9
19580401 19580430    15.1
19580501 19580531   136.4
19580601 19580630    66.3
19580701 19580731   110.7
