PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
19240501 19240531    88.2
19240601 19240630    99.3
19240701 19240731    36.8
19240801 19240831    49.2
19240901 19240930    81.0
19241001 19241031    60.4
19241101 19241130    29.0
19241201 19241231     4.1
19250101 19250131     7.2
19250201 19250228    20.8
19250301 19250331     4.3
19250401 19250430    64.3
19250501 19250531   118.6
19250601 19250630    46.6
19250701 19250731   100.6
19250801 19250831    44.6
19250901 19250930    77.3
19251001 19251031     9.5
19251101 19251130    20.7
19251201 19251231     0.8
19260101 19260131     1.5
19260201 19260228     7.6
19260301 19260331    15.2
19260401 19260430    54.9
19260501 19260531   115.2
19260601 19260630    73.0
19260701 19260731    89.8
19260801 19260831   102.5
19260901 19260930    44.9
19261001 19261031    48.7
19261101 19261130     9.7
19261201 19261231    22.5
19270101 19270131     8.7
19270201 19270228    72.1
19270301 19270331    31.0
19270401 19270430    11.3
19270501 19270531    55.3
19270601 19270630    57.7
19270701 19270731   122.0
19270801 19270831    90.4
19270901 19270930    22.4
19271001 19271031     9.6
19271101 19271130    29.8
19271201 19271231    40.7
19280101 19280131    22.9
19280201 19280229    53.6
19280301 19280331     9.4
19280401 19280430    35.5
19280501 19280531    31.7
19280601 19280630    92.6
19280701 19280731   103.1
19280801 19280831    24.4
19280901 19280930    36.7
19281001 19281031    74.1
19281101 19281130    10.6
19281201 19281231     8.7
19290101 19290131    19.6
19290201 19290228     0.6
19290301 19290331     9.2
19290401 19290430    23.7
19290501 19290531    38.2
19290601 19290630   137.7
19290701 19290731    87.0
19290801 19290831    75.4
19290901 19290930    36.2
19291001 19291031    69.5
19291101 19291130    28.0
19291201 19291231    19.5
19300101 19300131     0.0
19300201 19300228    75.7
19300301 19300331     7.2
19300401 19300430    34.8
19300501 19300531    36.5
19300601 19300630    26.0
19300701 19300731   162.1
19300801 19300831   184.2
19300901 19300930    91.5
19301001 19301031    19.9
19301101 19301130    15.2
19301201 19301231     3.1
19310101 19310131     8.0
19310201 19310228     6.4
19310301 19310331    27.5
19310401 19310430    20.1
19310501 19310531    99.8
19310601 19310630   204.3
19310701 19310731   119.9
19310801 19310831    75.5
19310901 19310930    71.2
19311001 19311031    22.3
19311101 19311130    59.1
19311201 19311231     5.0
19320101 19320131     0.8
19320201 19320229    65.8
19320301 19320331    52.6
19320401 19320430   106.4
19320501 19320531    35.4
19320601 19320630   106.5
19320701 19320731    99.1
19320801 19320831   108.1
19320901 19320930    50.5
19321001 19321031    50.0
19321101 19321130     7.0
19321201 19321231     5.7
19330101 19330131    27.6
19330201 19330228     1.6
19330301 19330331    11.8
19330401 19330430    33.6
19330501 19330531   108.9
19330601 19330630    73.3
19330701 19330731    94.1
19330801 19330831    76.2
19330901 19330930    70.4
19331001 19331031    30.9
19331101 19331130    19.3
19331201 19331231    20.3
19340101 19340131     8.6
19340201 19340228     2.8
19340301 19340331    19.1
19340401 19340430    54.2
19340501 19340531    12.4
19340601 19340630    71.0
19340701 19340731    86.6
19340801 19340831   126.5
19340901 19340930   100.1
19341001 19341031    61.3
19341101 19341130    45.5
19341201 19341231     7.7
19350101 19350131     9.5
19350201 19350228     5.7
19350301 19350331    50.6
19350401 19350430    51.9
19350501 19350531   101.0
