PRCP       032040 18930101 20180131 missing_value=99999.9 TOWNSVILLE AERO                           
19660801 19660831    16.1
19660901 19660930     0.3
19661001 19661031     9.7
19661101 19661130    52.3
19661201 19661231    18.1
19670101 19670131   107.9
19670201 19670228   186.3
19670301 19670331   189.1
19670401 19670430     3.0
19670501 19670531     5.9
19670601 19670630   106.8
19670701 19670731     0.8
19670801 19670831     7.3
19670901 19670930     0.0
19671001 19671031    17.8
19671101 19671130     9.7
19671201 19671231   132.2
19680101 19680131   348.5
19680201 19680229   904.2
19680301 19680331    46.3
19680401 19680430    32.3
19680501 19680531    71.8
19680601 19680630     0.0
19680701 19680731    12.0
19680801 19680831     0.0
19680901 19680930     6.1
19681001 19681031    13.4
19681101 19681130     4.1
19681201 19681231    44.1
19690101 19690131   173.5
19690201 19690228    63.3
19690301 19690331    52.2
19690401 19690430     0.8
19690501 19690531     9.4
19690601 19690630    36.9
19690701 19690731     0.0
19690801 19690831     0.3
19690901 19690930     0.0
19691001 19691031    27.2
19691101 19691130    38.1
19691201 19691231    62.5
19700101 19700131    44.3
19700201 19700228    91.7
19700301 19700331   274.9
19700401 19700430    20.3
19700501 19700531     0.3
19700601 19700630     3.6
19700701 19700731     0.3
19700801 19700831    53.3
19700901 19700930     3.2
19701001 19701031     4.9
19701101 19701130    76.3
19701201 19701231   149.4
19710101 19710131   103.0
19710201 19710228   194.9
19710301 19710331   253.4
19710401 19710430    36.0
19710501 19710531    28.8
19710601 19710630    42.1
19710701 19710731     9.7
19710801 19710831    43.3
19710901 19710930     0.0
19711001 19711031    20.4
19711101 19711130    27.4
19711201 19711231   347.4
19720101 19720131   600.1
19720201 19720229   170.9
19720301 19720331   209.6
19720401 19720430     0.6
19720501 19720531    23.3
19720601 19720630    11.4
19720701 19720731     0.8
19720801 19720831     0.0
19720901 19720930     5.5
19721001 19721031     0.0
19721101 19721130    30.8
19721201 19721231    37.4
19730101 19730131   219.5
19730201 19730228   464.8
19730301 19730331   199.2
19730401 19730430    30.4
19730501 19730531    10.6
19730601 19730630     4.7
19730701 19730731     1.9
19730801 19730831     0.5
19730901 19730930    55.3
19731001 19731031    58.1
19731101 19731130   115.7
19731201 19731231   370.6
19740101 19740131   877.8
19740201 19740228   441.8
19740301 19740331   141.2
19740401 19740430    43.0
19740501 19740531    48.1
19740601 19740630     2.7
19740701 19740731     0.1
19740801 19740831    53.7
19740901 19740930     5.1
19741001 19741031     3.6
19741101 19741130    36.7
19741201 19741231    51.9
19750101 19750131   239.0
19750201 19750228    66.7
19750301 19750331   270.1
19750401 19750430    17.2
19750501 19750531     1.6
19750601 19750630     3.8
19750701 19750731     2.6
19750801 19750831    35.6
19750901 19750930    81.4
19751001 19751031   252.8
19751101 19751130    18.7
19751201 19751231   458.0
19760101 19760131   283.1
19760201 19760229   495.0
19760301 19760331   222.4
19760401 19760430    15.2
19760501 19760531     2.4
19760601 19760630     0.6
19760701 19760731     3.0
19760801 19760831     0.9
19760901 19760930     3.2
19761001 19761031    22.9
19761101 19761130    70.6
19761201 19761231   317.8
19770101 19770131    97.6
19770201 19770228   478.4
19770301 19770331   271.8
19770401 19770430    84.6
19770501 19770531   180.8
19770601 19770630     0.2
19770701 19770731     0.4
19770801 19770831    22.2
19770901 19770930    20.4
19771001 19771031     2.4
19771101 19771130    33.4
19771201 19771231   127.6
19780101 19780131   436.6
19780201 19780228   210.2
19780301 19780331    76.4
19780401 19780430   115.2
19780501 19780531    37.0
19780601 19780630     2.6
19780701 19780731    21.8
19780801 19780831    29.0
19780901 19780930    18.4
19781001 19781031    13.4
19781101 19781130    49.0
19781201 19781231    60.8
19790101 19790131   183.6
19790201 19790228   217.4
19790301 19790331   309.6
19790401 19790430    53.2
19790501 19790531     5.0
19790601 19790630    34.4
19790701 19790731     9.4
19790801 19790831     0.4
19790901 19790930    10.8
19791001 19791031    15.8
19791101 19791130     0.4
19791201 19791231   185.0
19800101 19800131   257.4
19800201 19800229    94.8
19800301 19800331   153.6
19800401 19800430    21.4
19800501 19800531    82.2
19800601 19800630     4.0
19800701 19800731    10.0
19800801 19800831     2.4
19800901 19800930     0.0
19801001 19801031    18.2
19801101 19801130     2.0
19801201 19801231    75.8
19810101 19810131   744.8
19810201 19810228   320.8
19810301 19810331    18.0
19810401 19810430    97.4
19810501 19810531   118.2
19810601 19810630    17.6
19810701 19810731    16.4
19810801 19810831    27.6
19810901 19810930     1.4
19811001 19811031     5.4
19811101 19811130   333.4
19811201 19811231    60.6
19820101 19820131   173.6
19820201 19820228   181.6
19820301 19820331   113.4
19820401 19820430   109.4
19820501 19820531    25.8
19820601 19820630     9.4
19820701 19820731     1.6
19820801 19820831     5.4
19820901 19820930    27.0
19821001 19821031     0.0
19821101 19821130     7.4
19821201 19821231    46.4
19830101 19830131   146.6
19830201 19830228     4.2
19830301 19830331   177.6
19830401 19830430   152.2
19830501 19830531   152.0
19830601 19830630    71.0
19830701 19830731     0.0
19830801 19830831     5.0
19830901 19830930     1.8
19831001 19831031    15.6
19831101 19831130    44.2
19831201 19831231    11.6
19840101 19840131   343.9
19840201 19840229   298.8
19840301 19840331    98.0
19840401 19840430    26.4
19840501 19840531     0.0
19840601 19840630     1.6
19840701 19840731    59.2
19840801 19840831     5.6
19840901 19840930    20.6
19841001 19841031    19.6
19841101 19841130    39.0
19841201 19841231    48.4
19850101 19850131    32.8
19850201 19850228    98.0
19850301 19850331    85.6
19850401 19850430    26.2
19850501 19850531    27.8
19850601 19850630    21.8
19850701 19850731    27.8
19850801 19850831     3.8
19850901 19850930     0.6
19851001 19851031   100.2
19851101 19851130   158.2
19851201 19851231    46.8
19860101 19860131   254.6
19860201 19860228   113.8
19860301 19860331    29.6
19860401 19860430    27.8
19860501 19860531    52.4
19860601 19860630     1.4
19860701 19860731     2.4
19860801 19860831    26.4
19860901 19860930    37.8
19861001 19861031    26.4
19861101 19861130    26.4
19861201 19861231    25.0
19870101 19870131   216.2
19870201 19870228    85.6
19870301 19870331    47.2
19870401 19870430     6.6
19870501 19870531    15.2
19870601 19870630    13.2
19870701 19870731     9.8
19870801 19870831     6.6
19870901 19870930     1.8
19871001 19871031    18.6
19871101 19871130    56.6
19871201 19871231   290.2
19880101 19880131    14.6
19880201 19880229   208.4
19880301 19880331    10.0
19880401 19880430    65.6
19880501 19880531    13.2
19880601 19880630     1.0
19880701 19880731    43.0
19880801 19880831     4.8
19880901 19880930     0.0
19881001 19881031     6.6
19881101 19881130    87.8
19881201 19881231   355.6
