PRCP       089033 18790501 20180131 missing_value=99999.9 WICKLIFFE                                 
19270201 19270228    15.1
19270301 19270331    25.6
19270401 19270430    10.0
19270501 19270531    57.8
19270601 19270630    18.7
19270701 19270731    43.2
19270801 19270831    71.6
19270901 19270930    25.1
19271001 19271031    16.6
19271101 19271130    50.3
19271201 19271231    42.4
19280101 19280131    76.2
19280201 19280229   108.1
19280301 19280331    66.4
19280401 19280430    38.7
19280501 19280531    43.5
19280601 19280630    46.5
19280701 19280731    30.6
19280801 19280831    17.9
19280901 19280930    53.1
19281001 19281031   102.2
19281101 19281130    22.1
19281201 19281231     6.9
19290101 19290131    22.4
19290201 19290228    13.7
19290301 19290331    55.6
19290401 19290430    47.0
19290501 19290531    40.8
19290601 19290630    65.4
19290701 19290731    41.9
19290801 19290831    48.6
19290901 19290930    44.0
19291001 19291031    47.5
19291101 19291130    36.3
19291201 19291231    48.3
19300101 19300131     2.4
19300201 19300228    78.8
19300301 19300331     4.4
19300401 19300430    37.4
19300501 19300531    28.9
19300601 19300630    27.2
19300701 19300731    55.8
19300801 19300831    90.8
19300901 19300930    61.3
19301001 19301031    65.6
19301101 19301130    48.2
19301201 19301231    87.0
19310101 19310131    35.6
19310201 19310228    12.2
19310301 19310331    54.4
19310401 19310430    66.4
19310501 19310531    78.0
19310601 19310630    75.5
19310701 19310731    59.4
19310801 19310831    57.1
19310901 19310930    40.0
19311001 19311031    17.3
19311101 19311130    36.4
19311201 19311231    20.6
19320101 19320131     0.8
19320201 19320229    66.9
19320301 19320331    93.0
19320401 19320430    84.4
19320501 19320531    24.0
19320601 19320630    60.7
19320701 19320731    52.1
19320801 19320831    76.8
19320901 19320930    43.8
19321001 19321031    51.6
19321101 19321130    23.1
19321201 19321231    42.4
19330101 19330131    17.4
19330201 19330228     3.1
19330301 19330331    29.5
19330401 19330430    42.7
19330501 19330531    46.7
19330601 19330630    31.8
19330701 19330731    41.1
19330801 19330831    56.8
19330901 19330930    64.0
19331001 19331031    47.9
19331101 19331130    60.0
19331201 19331231    62.3
19340101 19340131    34.5
19340201 19340228    27.3
19340301 19340331    30.7
19340401 19340430   137.3
19340501 19340531     7.1
19340601 19340630    17.8
19340701 19340731    54.3
19340801 19340831    58.6
19340901 19340930    82.3
19341001 19341031    82.8
19341101 19341130    97.9
19341201 19341231    29.9
19350101 19350131    28.3
19350201 19350228    38.2
19350301 19350331    47.8
19350401 19350430    72.4
19350501 19350531    49.5
19350601 19350630    38.7
19350701 19350731    67.0
19350801 19350831    76.5
19350901 19350930    75.2
19351001 19351031    41.9
19351101 19351130    20.1
19351201 19351231    31.0
19360101 19360131    18.4
19360201 19360229     2.1
19360301 19360331    16.2
19360401 19360430    28.2
19360501 19360531    46.2
19360601 19360630    52.2
19360701 19360731    87.1
19360801 19360831    79.4
19360901 19360930    29.5
19361001 19361031    69.2
19361101 19361130    19.0
19361201 19361231    61.6
19370101 19370131    65.7
19370201 19370228    38.4
19370301 19370331    19.2
19370401 19370430     9.2
19370501 19370531    44.4
19370601 19370630    17.1
19370701 19370731    27.1
19370801 19370831    58.6
19370901 19370930    59.2
19371001 19371031    78.2
19371101 19371130    14.0
19371201 19371231   139.0
19380101 19380131    15.3
19380201 19380228    31.2
19380301 19380331    24.0
19380401 19380430    26.6
19380501 19380531    11.3
19380601 19380630    81.2
19380701 19380731    41.4
19380801 19380831    30.4
19380901 19380930    31.4
19381001 19381031    18.6
19381101 19381130    32.4
19381201 19381231    18.3
19390101 19390131     8.0
19390201 19390228    35.1
19390301 19390331     7.5
19390401 19390430    60.2
19390501 19390531    62.1
19390601 19390630   102.7
19390701 19390731    61.0
19390801 19390831   137.8
19390901 19390930    59.7
19391001 19391031    71.5
19391101 19391130    84.3
19391201 19391231    20.6
19400101 19400131    28.1
19400201 19400229     8.6
19400301 19400331     9.7
19400401 19400430    80.3
19400501 19400531    38.0
19400601 19400630    33.5
19400701 19400731    45.8
19400801 19400831    24.7
19400901 19400930    30.2
19401001 19401031    17.8
19401101 19401130    67.3
19401201 19401231    48.1
19410101 19410131    96.6
19410201 19410228    22.7
19410301 19410331    39.6
19410401 19410430    62.4
19410501 19410531    31.5
19410601 19410630    66.1
19410701 19410731    64.6
19410801 19410831    71.8
19410901 19410930    92.0
19411001 19411031    51.5
19411101 19411130    24.9
19411201 19411231    33.7
19420101 19420131    28.9
19420201 19420228    18.9
19420301 19420331    24.9
19420401 19420430    52.1
19420501 19420531   124.6
19420601 19420630    47.0
19420701 19420731    64.6
19420801 19420831   108.5
19420901 19420930    92.2
19421001 19421031    53.0
19421101 19421130    49.0
19421201 19421231    17.1
19430101 19430131    23.7
19430201 19430228    44.5
19430301 19430331     7.2
19430401 19430430    50.3
19430501 19430531    44.1
19430601 19430630    61.8
19430701 19430731    73.6
19430801 19430831    76.4
19430901 19430930    71.4
19431001 19431031    45.6
19431101 19431130    31.3
19431201 19431231    14.2
19440101 19440131    21.2
19440201 19440229    21.0
19440301 19440331     8.6
19440401 19440430    59.8
19440501 19440531    90.9
19440601 19440630    21.1
19440701 19440731    50.5
19440801 19440831    15.4
19440901 19440930    39.1
19441001 19441031    70.1
19441101 19441130    33.2
19441201 19441231    44.8
19450101 19450131    26.8
19450201 19450228    33.6
19450301 19450331     5.4
19450401 19450430    12.3
19450501 19450531    51.2
19450601 19450630    31.3
19450701 19450731    52.7
19450801 19450831    74.8
19450901 19450930    52.3
19451001 19451031    61.1
19451101 19451130    50.0
19451201 19451231    17.8
19460101 19460131    93.8
19460201 19460228   133.0
19460301 19460331   189.2
19460401 19460430    34.1
19460501 19460531    22.2
19460601 19460630    43.7
19460701 19460731    85.8
19460801 19460831    69.5
19460901 19460930    48.9
19461001 19461031    27.3
19461101 19461130    20.9
19461201 19461231    28.9
19470101 19470131    12.7
19470201 19470228    30.0
19470301 19470331   128.3
19470401 19470430    45.5
19470501 19470531    14.4
19470601 19470630    82.6
19470701 19470731    87.6
19470801 19470831    50.6
19470901 19470930    42.7
19471001 19471031    66.9
19471101 19471130    44.6
19471201 19471231    65.0
19480101 19480131    24.9
19480201 19480229     7.7
19480301 19480331     9.3
19480401 19480430    86.3
19480501 19480531    58.1
19480601 19480630    39.5
19480701 19480731    35.0
19480801 19480831    38.6
19480901 19480930    56.7
19481001 19481031   105.1
19481101 19481130    39.2
19481201 19481231    20.5
19490101 19490131    20.2
19490201 19490228    84.7
19490301 19490331    20.3
19490401 19490430     7.9
19490501 19490531    36.7
19490601 19490630    38.0
19490701 19490731    38.4
19490801 19490831    25.0
19490901 19490930    29.8
19491001 19491031   114.1
19491101 19491130    77.5
19491201 19491231    17.0
19500101 19500131    17.2
19500201 19500228    65.4
