PRCP       040428 18951101 20141130 missing_value=99999.9 BRIAN PASTURES                            
19850101 19850131    73.3
19850201 19850228    11.1
19850301 19850331    77.2
19850401 19850430    42.2
19850501 19850531    22.2
19850601 19850630    71.2
19850701 19850731    34.0
19850801 19850831    31.4
19850901 19850930    34.6
19851001 19851031    61.4
19851101 19851130    65.4
19851201 19851231   249.4
19860101 19860131   122.8
19860201 19860228    97.0
19860301 19860331    20.0
19860401 19860430    15.6
19860501 19860531    76.2
19860601 19860630     3.0
19860701 19860731    41.2
19860801 19860831    67.4
19860901 19860930    13.2
19861001 19861031    94.2
19861101 19861130    48.2
19861201 19861231   101.4
19870101 19870131   125.2
19870201 19870228    95.0
19870301 19870331    54.2
19870401 19870430     4.4
19870501 19870531    31.0
19870601 19870630    10.6
19870701 19870731    58.8
19870801 19870831    16.4
19870901 19870930     3.4
19871001 19871031   145.8
19871101 19871130    41.2
19871201 19871231    67.6
19880101 19880131    23.2
19880201 19880229    16.0
19880301 19880331    12.8
19880401 19880430    89.6
19880501 19880531    25.0
19880601 19880630    41.2
19880701 19880731    71.8
19880801 19880831    88.8
19880901 19880930    24.8
19881001 19881031    31.6
19881101 19881130    21.4
19881201 19881231   182.2
19890101 19890131    67.0
19890201 19890228    52.8
19890301 19890331    62.4
19890401 19890430    51.2
19890501 19890531    53.0
19890601 19890630    11.2
19890701 19890731    48.4
19890801 19890831    75.0
19890901 19890930     5.0
19891001 19891031    69.8
19891101 19891130   101.0
19891201 19891231    47.8
19900101 19900131    69.4
19900201 19900228    23.6
19900301 19900331    90.8
19900401 19900430   104.2
19900501 19900531   113.6
19900601 19900630    27.8
19900701 19900731    22.0
19900801 19900831     4.4
19900901 19900930    22.8
19901001 19901031    62.4
19901101 19901130    41.4
19901201 19901231    44.2
19910101 19910131    86.8
19910201 19910228   122.0
19910301 19910331    71.0
19910401 19910430     0.4
19910501 19910531    32.6
19910601 19910630    15.6
19910701 19910731    18.6
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031    74.2
19911101 19911130    40.0
