PRCP       024515 18890801 20171231 missing_value=99999.9 LANGHORNE CREEK                           
19530601 19530630    59.9
19530701 19530731    47.5
19530801 19530831    58.0
19530901 19530930    41.8
19531001 19531031    21.4
19531101 19531130    32.4
19531201 19531231    46.2
19540101 19540131    21.5
19540201 19540228     1.8
19540301 19540331     3.8
19540401 19540430    76.2
19540501 19540531    18.0
19540601 19540630    45.5
19540701 19540731    20.5
19540801 19540831    24.5
19540901 19540930    20.9
19541001 19541031    47.5
19541101 19541130    26.2
19541201 19541231    31.9
19550101 19550131     2.0
19550201 19550228    62.3
19550301 19550331     0.8
19550401 19550430    51.1
19550501 19550531    90.9
19550601 19550630   111.6
19550701 19550731    28.5
19550801 19550831    61.2
19550901 19550930    16.9
19551001 19551031    66.7
19551101 19551130    26.2
19551201 19551231    24.7
19560101 19560131    17.8
19560201 19560229     3.8
19560301 19560331    29.8
19560401 19560430    53.8
19560501 19560531    74.9
19560601 19560630    58.0
19560701 19560731    50.2
19560801 19560831    60.4
19560901 19560930    40.9
19561001 19561031    54.2
19561101 19561130     8.7
19561201 19561231     3.3
19570101 19570131     0.5
19570201 19570228     0.0
19570301 19570331    12.9
19570401 19570430     9.4
19570501 19570531    21.7
19570601 19570630    22.8
19570701 19570731    52.6
19570801 19570831    23.6
19570901 19570930    43.2
19571001 19571031    33.8
19571101 19571130    11.4
19571201 19571231     5.3
19580101 19580131     3.8
19580201 19580228     2.3
19580301 19580331    25.5
19580401 19580430    18.0
19580501 19580531    76.4
19580601 19580630    15.6
19580701 19580731    37.1
19580801 19580831    63.0
19580901 19580930    79.8
19581001 19581031    56.9
19581101 19581130    15.2
19581201 19581231    10.2
19590101 19590131    19.8
19590201 19590228    20.6
19590301 19590331    47.0
19590401 19590430     5.1
19590501 19590531    14.9
19590601 19590630    14.2
19590701 19590731    28.0
19590801 19590831    37.3
19590901 19590930    59.4
19591001 19591031    40.2
19591101 19591130    17.1
19591201 19591231    45.9
19600101 19600131    11.5
19600201 19600229    41.2
19600301 19600331     7.9
19600401 19600430    85.1
19600501 19600531   102.9
19600601 19600630    16.6
19600701 19600731    37.6
19600801 19600831    37.1
19600901 19600930    54.8
19601001 19601031     3.8
19601101 19601130    45.5
19601201 19601231     9.1
19610101 19610131     5.6
19610201 19610228     8.9
19610301 19610331     8.4
19610401 19610430    70.3
19610501 19610531    26.6
19610601 19610630    33.5
19610701 19610731    70.9
19610801 19610831    22.0
19610901 19610930    15.6
19611001 19611031     9.1
19611101 19611130    26.2
19611201 19611231     7.5
19620101 19620131    18.0
19620201 19620228    12.5
19620301 19620331    17.6
19620401 19620430     8.8
19620501 19620531    44.9
19620601 19620630    20.2
19620701 19620731    25.9
19620801 19620831    49.2
19620901 19620930    15.8
19621001 19621031    71.9
19621101 19621130     5.9
19621201 19621231    44.5
19630101 19630131    86.4
19630201 19630228     4.8
19630301 19630331     1.3
19630401 19630430    61.8
19630501 19630531    55.2
19630601 19630630    58.2
19630701 19630731    57.9
19630801 19630831    50.6
19630901 19630930    22.8
19631001 19631031    43.7
19631101 19631130     3.6
19631201 19631231     2.5
19640101 19640131     6.7
19640201 19640229     7.9
19640301 19640331     4.0
19640401 19640430    46.5
19640501 19640531    24.4
19640601 19640630    40.1
19640701 19640731    59.4
19640801 19640831    35.4
19640901 19640930    60.1
19641001 19641031    45.5
19641101 19641130    98.8
19641201 19641231    23.4
19650101 19650131     1.3
19650201 19650228     0.0
19650301 19650331     6.5
19650401 19650430    24.1
19650501 19650531    33.6
19650601 19650630    37.4
19650701 19650731    39.0
19650801 19650831    48.0
19650901 19650930    31.5
19651001 19651031     5.3
19651101 19651130    27.5
19651201 19651231    53.4
19660101 19660131    10.1
19660201 19660228    20.4
19660301 19660331    13.7
19660401 19660430     6.6
